"tax_id","genus","family","class","order","phylum","kingdom","superkingdom"
"10","Cellvibrio","Cellvibrionaceae","Gammaproteobacteria","Cellvibrionales","Pseudomonadota",NA,"Bacteria"
"100010","Leptospora",NA,"Dothideomycetes",NA,"Ascomycota","Fungi","Eukaryota"
"100034","Massariosphaeria",NA,"Dothideomycetes","Pleosporales","Ascomycota","Fungi","Eukaryota"
"100048","Trematosphaeria","Trematosphaeriaceae","Dothideomycetes","Pleosporales","Ascomycota","Fungi","Eukaryota"
"100051","Delitschia","Delitschiaceae","Dothideomycetes","Pleosporales","Ascomycota","Fungi","Eukaryota"
"100169","Pterocarpus","Fabaceae","Magnoliopsida","Fabales","Streptophyta","Viridiplantae","Eukaryota"
"1003030","Cerataulina","Hemiaulaceae","Mediophyceae","Hemiaulales","Bacillariophyta",NA,"Eukaryota"
"1003260","Lophophytum","Balanophoraceae","Magnoliopsida","Santalales","Streptophyta","Viridiplantae","Eukaryota"
"1003313","Acanthoceras","Acanthocerataceae","Coscinodiscophyceae","Chaetocerotales","Bacillariophyta",NA,"Eukaryota"
"1003337","Angomonas","Trypanosomatidae","Kinetoplastea","Trypanosomatida","Euglenozoa",NA,"Eukaryota"
"1004300","Hydrotalea","Chitinophagaceae","Chitinophagia","Chitinophagales","Bacteroidota",NA,"Bacteria"
"1004301","Flavihumibacter","Chitinophagaceae","Chitinophagia","Chitinophagales","Bacteroidota",NA,"Bacteria"
"1004303","Ferruginibacter","Chitinophagaceae","Chitinophagia","Chitinophagales","Bacteroidota",NA,"Bacteria"
"100474","Batrachochytrium",NA,"Chytridiomycetes","Rhizophydiales","Chytridiomycota","Fungi","Eukaryota"
"100502","Ophiopogon","Asparagaceae","Magnoliopsida","Asparagales","Streptophyta","Viridiplantae","Eukaryota"
"1005038","Fimbriimonas","Fimbriimonadaceae","Fimbriimonadia","Fimbriimonadales","Armatimonadota",NA,"Bacteria"
"1005722","Phormidesmis","Leptolyngbyaceae","Cyanophyceae","Pseudanabaenales","Cyanobacteriota",NA,"Bacteria"
"1007","Saprospira","Saprospiraceae","Saprospiria","Saprospirales","Bacteroidota",NA,"Bacteria"
"1007082","Nitrosarchaeum","Nitrosopumilaceae","Nitrososphaeria","Nitrosopumilales","Nitrososphaerota",NA,"Archaea"
"100715","Chloroherpeton","Chloroherpetonaceae","Chlorobiia","Chlorobiales","Chlorobiota",NA,"Bacteria"
"100815","Madurella",NA,"Sordariomycetes","Sordariales","Ascomycota","Fungi","Eukaryota"
"100860","Aphanomyces","Saprolegniaceae",NA,"Saprolegniales","Oomycota",NA,"Eukaryota"
"100883","Coprobacillus","Coprobacillaceae","Erysipelotrichia","Erysipelotrichales","Bacillota",NA,"Bacteria"
"1008950","Trailliaedoxa","Rubiaceae","Magnoliopsida","Gentianales","Streptophyta","Viridiplantae","Eukaryota"
"101","Flectobacillus","Spirosomaceae","Cytophagia","Cytophagales","Bacteroidota",NA,"Bacteria"
"1011","Sporocytophaga","Cytophagaceae","Cytophagia","Cytophagales","Bacteroidota",NA,"Bacteria"
"101100","Dissophora","Mortierellaceae","Mortierellomycetes","Mortierellales","Mucoromycota","Fungi","Eukaryota"
"101191","Methanomethylovorans","Methanosarcinaceae","Methanomicrobia","Methanosarcinales","Euryarchaeota",NA,"Archaea"
"1013","Weeksella","Weeksellaceae","Flavobacteriia","Flavobacteriales","Bacteroidota",NA,"Bacteria"
"1016","Capnocytophaga","Flavobacteriaceae","Flavobacteriia","Flavobacteriales","Bacteroidota",NA,"Bacteria"
"101612","Dimerocostus","Costaceae","Magnoliopsida","Zingiberales","Streptophyta","Viridiplantae","Eukaryota"
"101616","Musella","Musaceae","Magnoliopsida","Zingiberales","Streptophyta","Viridiplantae","Eukaryota"
"101628","Podococcus","Arecaceae","Magnoliopsida","Arecales","Streptophyta","Viridiplantae","Eukaryota"
"1017183","Camelimonas","Chelatococcaceae","Alphaproteobacteria","Hyphomicrobiales","Pseudomonadota",NA,"Bacteria"
"1017280","Pseudoflavonifractor","Oscillospiraceae","Clostridia","Eubacteriales","Bacillota",NA,"Bacteria"
"101851","Glarea","Helotiaceae","Leotiomycetes","Helotiales","Ascomycota","Fungi","Eukaryota"
"10194","Brachionus","Brachionidae","Eurotatoria","Ploima","Rotifera","Metazoa","Eukaryota"
"1021","Beggiatoa","Thiotrichaceae","Gammaproteobacteria","Thiotrichales","Pseudomonadota",NA,"Bacteria"
"102106","Collinsella","Coriobacteriaceae","Coriobacteriia","Coriobacteriales","Actinomycetota",NA,"Bacteria"
