"","timepoint","name","Azithromycin_binary","mean","median","std_dev","se","CI_lower","CI_upper"
"1","Day 0-2","fungal_rpm","Azithro",2.24597359806485,2.41203290542517,1.52716381221805,0.076742869068728,2.09555757469014,2.39638962143955
"2","Day 0-2","fungal_rpm","No ABX",1.99971307593259,2.04372437689642,1.65891185951027,0.089835113827034,1.8236362528316,2.17578989903357
"3","Day 0-2","fungal_rpm","Other
ABX",2.06023044711967,2.15855073973862,1.60869695969629,0.0943034858880597,1.87539561477907,2.24506527946027
"4","Day 0-2","manual_diversity","Azithro",0.760938393933668,0.676505939013202,0.647751366496215,0.0325507309107263,0.697138961348645,0.824737826518692
"5","Day 0-2","manual_diversity","No ABX",0.707883555730649,0.511837626170983,0.698712989454184,0.0378374297466136,0.633722193427286,0.782044918034011
"6","Day 0-2","manual_diversity","Other
ABX",0.81351273412773,0.716009252031303,0.677495049296533,0.0397154631489002,0.735670426355886,0.891355041899574
"7","Day 0-2","sc2_rpm","Azithro",1.22239896011508,0.509746585295333,1.48901753967761,0.0748259467480114,1.07574010448897,1.36905781574118
"8","Day 0-2","sc2_rpm","No ABX",1.18252666408847,0.546916764250018,1.43408273645372,0.0776599342081606,1.03031319304047,1.33474013513646
"9","Day 0-2","sc2_rpm","Other
ABX",1.26406899805885,0.609443683741414,1.49340496156968,0.0875449492644861,1.09248089750046,1.43565709861724
"10","Day 0-2","total_bacterial_rpm","Azithro",2.7976703004157,2.68912463615161,1.15839568499489,0.0582115734226479,2.68357561650731,2.91176498432409
"11","Day 0-2","total_bacterial_rpm","No ABX",3.12422888528074,3.10359755112367,1.12957404481838,0.0611698640350185,3.00433595177211,3.24412181878938
"12","Day 0-2","total_bacterial_rpm","Other
ABX",2.97085522165251,2.8452978727942,1.14407459460266,0.0670668404864573,2.83940421429905,3.10230622900596
"13","Day 4-6","fungal_rpm","Azithro",2.60514748654609,2.70811373320116,1.55637054827337,0.144505377645213,2.32191694636147,2.8883780267307
"14","Day 4-6","fungal_rpm","No ABX",1.96515603007571,1.96316895935481,1.63564449138124,0.118975630028446,1.73196379521995,2.19834826493146
"15","Day 4-6","fungal_rpm","Other
ABX",2.00174464647524,2.04638324020179,1.62832744961866,0.138112931666057,1.73104330040977,2.27244599254071
"16","Day 4-6","manual_diversity","Azithro",0.868305294973249,0.721961612142233,0.731100891579022,0.0678810136516553,0.735258508216005,1.00135208173049
"17","Day 4-6","manual_diversity","No ABX",0.740486306825598,0.543116004780974,0.692389169237658,0.0503639012444311,0.641773060386513,0.839199553264682
"18","Day 4-6","manual_diversity","Other
ABX",0.806204041139695,0.785691034064659,0.65765568100595,0.0557816268170389,0.696872052578299,0.915536029701091
"19","Day 4-6","sc2_rpm","Azithro",0.792660847824114,0.158595335834472,1.24602674925199,0.11569067929,0.565907116415713,1.01941457923251
"20","Day 4-6","sc2_rpm","No ABX",0.918715850210843,0.335241212529371,1.2172521890172,0.0885420681908255,0.745173396556825,1.09225830386486
"21","Day 4-6","sc2_rpm","Other
ABX",0.882523013648162,0.285776966178097,1.22645018169355,0.104026146691646,0.678631766132537,1.08641426116379
"22","Day 4-6","total_bacterial_rpm","Azithro",2.75759733143589,2.69336686541381,1.13807194210452,0.105667327079456,2.55048937036015,2.96470529251162
"23","Day 4-6","total_bacterial_rpm","No ABX",3.16551426815897,3.11909085242172,1.16837199081651,0.0849865569489352,2.99894061653905,3.33208791977888
"24","Day 4-6","total_bacterial_rpm","Other
ABX",2.85999894967072,2.76466415092725,1.14198880340286,0.0968622260864783,2.67014898654122,3.04984891280022
