"","group_id","timepoint","shannon"
"1","Azithromycin","Day 0-2",1.33217904021012
"2","Azithromycin","Day 0-2",0.693147180559945
"3","Azithromycin","Day 0-2",0.693147180559945
"4","Other ABX","Day 0-2",1.55958115625988
"5","No ABX","Day 4-6",0
"6","Other ABX","Day 0-2",0.693147180559945
"7","No ABX","Day 0-2",0
"8","Azithromycin","Day 0-2",1.03619878481928
"9","Azithromycin","Day 0-2",1.33217904021012
"10","Azithromycin","Day 0-2",0
"11","Other ABX","Day 0-2",0
"12","Other ABX","Day 0-2",0.636514168294813
"13","Azithromycin","Day 0-2",1.95868526115974
"14","Other ABX","Day 4-6",1.03972077083992
"15","Other ABX","Day 0-2",1.82704229357761
"16","Other ABX","Day 0-2",0.562335144618808
"17","Azithromycin","Day 0-2",1.32088834314932
"18","Azithromycin","Day 0-2",0
"19","Azithromycin","Day 0-2",0
"20","Azithromycin","Day 0-2",1.15805104969053
"21","Azithromycin","Day 0-2",1.242453324894
"22","Other ABX","Day 0-2",0.636514168294813
"23","Azithromycin","Day 4-6",2.20478541691352
"24","Azithromycin","Day 4-6",1.09861228866811
"25","Azithromycin","Day 0-2",0.693147180559945
"26","Azithromycin","Day 0-2",1.47507631105469
"27","Azithromycin","Day 0-2",1.74786809746676
"28","Azithromycin","Day 0-2",1.03972077083992
"29","Azithromycin","Day 0-2",1.4361807370912
"30","No ABX","Day 0-2",0.930671318779186
"31","Other ABX","Day 4-6",1.30148106838743
"32","Azithromycin","Day 0-2",0.355712859746894
"33","Azithromycin","Day 0-2",0
"34","No ABX","Day 4-6",1.27400513615791
"35","Azithromycin","Day 0-2",1.32966134885476
"36","Other ABX","Day 0-2",1.01140426470735
"37","Other ABX","Day 4-6",1.03972077083992
"38","Azithromycin","Day 0-2",1.00424247305408
"39","No ABX","Day 0-2",0.562335144618808
"40","Azithromycin","Day 0-2",0.500402423538188
"41","No ABX","Day 0-2",0
"42","Azithromycin","Day 0-2",1.07899220787758
"43","Azithromycin","Day 0-2",0
"44","Other ABX","Day 0-2",1.67623493913473
"45","Other ABX","Day 0-2",0.693147180559945
"46","Other ABX","Day 0-2",0.796311640173813
"47","Azithromycin","Day 4-6",1.09861228866811
"48","No ABX","Day 0-2",0.636514168294813
"49","No ABX","Day 4-6",0.950270539233235
"50","Azithromycin","Day 0-2",1.65497401199698
"51","Other ABX","Day 0-2",0
"52","Azithromycin","Day 0-2",1.49417513828931
"53","Azithromycin","Day 4-6",1.8905242751844
"54","Other ABX","Day 0-2",1.09861228866811
"55","Other ABX","Day 0-2",1.2130075659799
"56","Azithromycin","Day 0-2",0.636514168294813
"57","Other ABX","Day 0-2",1.75097347342799
"58","Other ABX","Day 0-2",0
"59","Azithromycin","Day 0-2",1.49417513828931
"60","Other ABX","Day 0-2",1.41427906512471
"61","Azithromycin","Day 0-2",1.63079910458564
"62","Other ABX","Day 0-2",0.683738905848754
"63","Azithromycin","Day 0-2",1.09861228866811
"64","Other ABX","Day 0-2",0.687092027379972
"65","Other ABX","Day 0-2",0
"66","Azithromycin","Day 0-2",0.636514168294813
"67","Azithromycin","Day 0-2",1.70048016806075
"68","Azithromycin","Day 0-2",0
"69","No ABX","Day 4-6",0.562335144618808
"70","Azithromycin","Day 4-6",0.796311640173813
"71","Azithromycin","Day 4-6",1.710493230055
"72","Azithromycin","Day 0-2",0
"73","Other ABX","Day 0-2",0.636514168294813
"74","Other ABX","Day 0-2",1.07004731469048
"75","Azithromycin","Day 0-2",1.6094379124341
"76","No ABX","Day 0-2",1.38629436111989
"77","No ABX","Day 0-2",0
"78","Azithromycin","Day 0-2",0.688138813713588
"79","Azithromycin","Day 0-2",0
"80","Azithromycin","Day 0-2",0
"81","No ABX","Day 0-2",0
"82","Azithromycin","Day 0-2",1.03972077083992
"83","Azithromycin","Day 0-2",1.8047484896413
"84","No ABX","Day 4-6",1.09861228866811
"85","Azithromycin","Day 4-6",1.37849742178298
"86","Azithromycin","Day 4-6",1.35359135213461
"87","Other ABX","Day 0-2",0.693147180559945
"88","Azithromycin","Day 4-6",0
"89","Azithromycin","Day 0-2",1.06085694715802
"90","Azithromycin","Day 0-2",0
"91","Other ABX","Day 4-6",1.59344328565909
"92","No ABX","Day 0-2",1.79175946922806
"93","Azithromycin","Day 0-2",1.74786809746676
"94","Azithromycin","Day 0-2",0
"95","Other ABX","Day 4-6",0
"96","Azithromycin","Day 0-2",1.67262544615032
"97","Azithromycin","Day 0-2",0
"98","Azithromycin","Day 4-6",1.30309240376172
"99","Azithromycin","Day 0-2",1.83781938162066
"100","Azithromycin","Day 0-2",1.6094379124341
"101","Other ABX","Day 0-2",0.907535294105009
"102","Azithromycin","Day 4-6",2.25138562052574
"103","No ABX","Day 0-2",1.66505209085226
"104","Azithromycin","Day 0-2",0.955699891112534
"105","Azithromycin","Day 4-6",0
