"","late_compare_new","mls_gene_count"
"1","5 ± 1 Days
of Exposure",2
"2","7-10 Days
After Cessation",2
"3","5 ± 1 Days
of Exposure",2
"4","5 ± 1 Days
of Exposure",4
"5","5 ± 1 Days
of Exposure",2
"6","5 ± 1 Days
of Exposure",2
"7","5 ± 1 Days
of Exposure",2
"8","5 ± 1 Days
of Exposure",4
"9","5 ± 1 Days
of Exposure",0
"10","5 ± 1 Days
of Exposure",1
"11","5 ± 1 Days
of Exposure",6
"12","5 ± 1 Days
of Exposure",1
"13","5 ± 1 Days
of Exposure",0
"14","5 ± 1 Days
of Exposure",1
"15","5 ± 1 Days
of Exposure",2
"16","5 ± 1 Days
of Exposure",1
"17","5 ± 1 Days
of Exposure",2
"18","7-10 Days
After Cessation",1
"19","5 ± 1 Days
of Exposure",2
"20","5 ± 1 Days
of Exposure",4
"21","5 ± 1 Days
of Exposure",0
"22","5 ± 1 Days
of Exposure",2
"23","7-10 Days
After Cessation",1
"24","5 ± 1 Days
of Exposure",1
"25","7-10 Days
After Cessation",4
"26","5 ± 1 Days
of Exposure",2
"27","5 ± 1 Days
of Exposure",2
"28","7-10 Days
After Cessation",6
"29","5 ± 1 Days
of Exposure",1
"30","5 ± 1 Days
of Exposure",2
"31","5 ± 1 Days
of Exposure",4
"32","5 ± 1 Days
of Exposure",1
"33","5 ± 1 Days
of Exposure",3
"34","7-10 Days
After Cessation",1
"35","5 ± 1 Days
of Exposure",0
"36","5 ± 1 Days
of Exposure",1
"37","5 ± 1 Days
of Exposure",3
"38","5 ± 1 Days
of Exposure",1
"39","7-10 Days
After Cessation",0
"40","5 ± 1 Days
of Exposure",2
"41","5 ± 1 Days
of Exposure",2
"42","5 ± 1 Days
of Exposure",3
"43","5 ± 1 Days
of Exposure",2
"44","7-10 Days
After Cessation",5
"45","5 ± 1 Days
of Exposure",3
"46","5 ± 1 Days
of Exposure",2
"47","5 ± 1 Days
of Exposure",4
"48","5 ± 1 Days
of Exposure",4
"49","5 ± 1 Days
of Exposure",1
"50","5 ± 1 Days
of Exposure",3
"51","7-10 Days
After Cessation",2
"52","5 ± 1 Days
of Exposure",5
"53","5 ± 1 Days
of Exposure",5
"54","5 ± 1 Days
of Exposure",2
"55","5 ± 1 Days
of Exposure",1
"56","5 ± 1 Days
of Exposure",0
"57","7-10 Days
After Cessation",3
"58","5 ± 1 Days
of Exposure",3
"59","5 ± 1 Days
of Exposure",2
"60","7-10 Days
After Cessation",0
"61","7-10 Days
After Cessation",4
"62","5 ± 1 Days
of Exposure",3
