"","late_compare_new","class_perc"
"1","5 ± 1 Days
of Exposure",17.0454545454545
"2","7-10 Days
After Cessation",24.390243902439
"3","5 ± 1 Days
of Exposure",10.2564102564103
"4","5 ± 1 Days
of Exposure",16.5969316596932
"5","5 ± 1 Days
of Exposure",78.9473684210526
"6","5 ± 1 Days
of Exposure",21
"7","5 ± 1 Days
of Exposure",74.7252747252747
"8","5 ± 1 Days
of Exposure",87.8378378378378
"9","5 ± 1 Days
of Exposure",0
"10","5 ± 1 Days
of Exposure",4
"11","5 ± 1 Days
of Exposure",58.1395348837209
"12","5 ± 1 Days
of Exposure",60
"13","5 ± 1 Days
of Exposure",0
"14","5 ± 1 Days
of Exposure",7.09677419354839
"15","5 ± 1 Days
of Exposure",81.5384615384615
"16","5 ± 1 Days
of Exposure",18.1818181818182
"17","5 ± 1 Days
of Exposure",39.6151669496321
"18","7-10 Days
After Cessation",37.5
"19","5 ± 1 Days
of Exposure",9.30232558139535
"20","5 ± 1 Days
of Exposure",69.8924731182796
"21","5 ± 1 Days
of Exposure",0
"22","5 ± 1 Days
of Exposure",21.0526315789474
"23","7-10 Days
After Cessation",5.55555555555556
"24","5 ± 1 Days
of Exposure",11.1111111111111
"25","7-10 Days
After Cessation",30.7237813884786
"26","5 ± 1 Days
of Exposure",57.1428571428571
"27","5 ± 1 Days
of Exposure",65.6716417910448
"28","7-10 Days
After Cessation",51.2605042016807
"29","5 ± 1 Days
of Exposure",11.7647058823529
"30","5 ± 1 Days
of Exposure",31.5789473684211
"31","5 ± 1 Days
of Exposure",48.1884057971014
"32","5 ± 1 Days
of Exposure",23.5714285714286
"33","5 ± 1 Days
of Exposure",14
"34","7-10 Days
After Cessation",23.0769230769231
"35","5 ± 1 Days
of Exposure",0
"36","5 ± 1 Days
of Exposure",3.7037037037037
"37","5 ± 1 Days
of Exposure",25.5952380952381
"38","5 ± 1 Days
of Exposure",28.5714285714286
"39","7-10 Days
After Cessation",0
"40","5 ± 1 Days
of Exposure",48.3870967741936
"41","5 ± 1 Days
of Exposure",14.4578313253012
"42","5 ± 1 Days
of Exposure",23.0769230769231
"43","5 ± 1 Days
of Exposure",16.1290322580645
"44","7-10 Days
After Cessation",97.7272727272727
"45","5 ± 1 Days
of Exposure",51.271186440678
"46","5 ± 1 Days
of Exposure",50
"47","5 ± 1 Days
of Exposure",31.5457413249211
"48","5 ± 1 Days
of Exposure",61.0250297973778
"49","5 ± 1 Days
of Exposure",2.77777777777778
"50","5 ± 1 Days
of Exposure",58.14266487214
"51","7-10 Days
After Cessation",39.6276595744681
"52","5 ± 1 Days
of Exposure",38.2086167800454
"53","5 ± 1 Days
of Exposure",58.7704918032787
"54","5 ± 1 Days
of Exposure",40
"55","5 ± 1 Days
of Exposure",16.1691542288557
"56","5 ± 1 Days
of Exposure",0
"57","7-10 Days
After Cessation",37.5
"58","5 ± 1 Days
of Exposure",65.301724137931
"59","5 ± 1 Days
of Exposure",71.7171717171717
"60","7-10 Days
After Cessation",0
"61","7-10 Days
After Cessation",47.6190476190476
"62","5 ± 1 Days
of Exposure",85.7142857142857
