"","Negative_control1","Negative_control2","Negative_control3","Negative_control4","Negative_control5","Negative_control6","Negative_control7","Negative_control8","Negative_control9","Negative_control10","Negative_control11","Negative_control12","Negative_control13","Negative_control14","Negative_control15","Negative_control16","Negative_control17","Negative_control18","Negative_control19","Negative_control20","Negative_control21","Negative_control22"
"tem-117",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceob",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rpob2",0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0
"sul2",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mexy",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aph(3')-ia",0,0,0,2,0,0,0,0,0,0,6,0,3,4,0,0,0,0,0,0,0,4
"mexi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tolc",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acrd",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arna",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin",0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,9,0,0,3,0
"acrb",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"smef",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vgaalc",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"ant(2'')-ia",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aph(3')-via",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pmrf",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dfrc",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"mexd",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"mexf",0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,12,0,0,0,0,0
"mgra",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"nora",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0
"pmpm",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"mexb",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"muxb",0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,10,0,0,0,0
"pseudomonas aeruginosa cpxr",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"smed",0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0
"tet(c)",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0
"acre",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"amrb",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"mtra",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"smee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,20,0,0,0,0
"tem-59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"aada27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"emry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"mexa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"aac(6')-ib7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"mexw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"pc1 beta-lactamase (blaz)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0
"aph(3')-iia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"lnua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"msra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"qaca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"vgaa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"ermx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
