"","x","predicted","std.error","conf.low","conf.high","group","TG"
"1",0,1.71345993179096,0.139275220141716,1.44048551637431,1.98643434720761,"1","1-3"
"2",1,1.9439055693824,0.148757042422998,1.65234712378662,2.23546401497817,"1","1-3"
"3",2,2.17435120649713,0.193978333207183,1.79416065962994,2.55454175336432,"1","1-3"
"4",3,2.40479684314909,0.25669903584931,1.90167597801829,2.90791770827989,"1","1-3"
"5",4,2.63524248005366,0.327000094569365,1.99433407175651,3.27615088835081,"1","1-3"
"6",5,2.86568811730579,0.400913450794415,2.07991219283106,3.65146404178051,"1","1-3"
"7",0,2.25951406430856,0.180022629672784,1.90667619374771,2.61235193486941,"1","4-5"
"8",1,2.44383990318912,0.179722048551534,2.09159116080036,2.79608864557789,"1","4-5"
"9",2,2.62816575017864,0.193069506784432,2.24975647036824,3.00657502998904,"1","4-5"
"10",3,2.81249161071628,0.217567467459751,2.38606721028758,3.23891601114498,"1","4-5"
"11",4,2.99681748560707,0.249958645579442,2.50690754264695,3.48672742856719,"1","4-5"
"12",5,3.18114336953434,0.287588263086618,2.61748073150814,3.74480600756055,"1","4-5"
