"","msra","ermx","ermc","mel","mphc","erma"
"Staphylococcus (plasmid)",2.68,0,2.86,0,0,0
"Trueperella pyogenes (chromosome)",0,1.01,0,0,0,0
"Staphylococcus (chromosome or plasmid)",1.01,0,0.25,0,0,0
"Corynebacterium diphtheriae (chromosome)",0,46.49,0,0,0,0
"Streptococcus (no genomic information)",0,0,0,0.39,0,0
"Staphylococcus aureus (chromosome or plasmid)",3.41,0,6.43,0,4.82,0
"Staphylococcus saprophyticus (chromosome or plasmid)",0.02,0,0,0,0,0
"Staphylococcus haemolyticus (chromosome or plasmid)",0,0,0.06,0,0,0
"Staphylococcus epidermidis (chromosome or plasmid)",0.17,0,6.76,0,0,0
"Staphylococcus aureus (plasmid)",0,0,18.45,0,0,0
"Corynebacterium jeikeium (chromosome)",0,0.03,0,0,0,0
"Streptococcus pneumoniae (chromosome)",0,0,0,0.53,0,0
"Streptococcus pyogenes (chromosome)",0,0,0,0,0,11.28
"Bifidobacterium longum (chromosome)",0,15.23,0,0,0,0
"Streptococcus (chromosome)",0,0,0,0,0,1.51
