"","name","percent","day","compartment","virus"
"1","Anelloviridae.nasal",2.22222222222222,1,"nasal","Anelloviridae"
"2","Anelloviridae.pbmc",10.3860294117647,1,"pbmc","Anelloviridae"
"3","Enterovirus.nasal",2.02898550724638,1,"nasal","Enterovirus"
"4","Human alphaherpesvirus 1 (HSV1).nasal",5.1207729468599,1,"nasal","Human alphaherpesvirus 1 (HSV1)"
"5","Human alphaherpesvirus 2 (HSV2).nasal",0.483091787439614,1,"nasal","Human alphaherpesvirus 2 (HSV2)"
"6","Human betaherpesvirus 5 (CMV).nasal",0.386473429951691,1,"nasal","Human betaherpesvirus 5 (CMV)"
"7","Human betaherpesvirus 5 (CMV).pbmc",1.10294117647059,1,"pbmc","Human betaherpesvirus 5 (CMV)"
"8","Human gammaherpesvirus 4 (EBV).nasal",3.38164251207729,1,"nasal","Human gammaherpesvirus 4 (EBV)"
"9","Human gammaherpesvirus 4 (EBV).pbmc",18.8419117647059,1,"pbmc","Human gammaherpesvirus 4 (EBV)"
"10","Anelloviridae.nasal",2.0684168655529,2,"nasal","Anelloviridae"
"11","Anelloviridae.pbmc",10.2641509433962,2,"pbmc","Anelloviridae"
"12","Enterovirus.nasal",2.30708035003978,2,"nasal","Enterovirus"
"13","Human alphaherpesvirus 1 (HSV1).nasal",5.40970564836913,2,"nasal","Human alphaherpesvirus 1 (HSV1)"
"14","Human alphaherpesvirus 2 (HSV2).nasal",0.397772474144789,2,"nasal","Human alphaherpesvirus 2 (HSV2)"
"15","Human betaherpesvirus 5 (CMV).nasal",0.636435958631663,2,"nasal","Human betaherpesvirus 5 (CMV)"
"16","Human betaherpesvirus 5 (CMV).pbmc",1.13207547169811,2,"pbmc","Human betaherpesvirus 5 (CMV)"
"17","Human gammaherpesvirus 4 (EBV).nasal",3.18217979315831,2,"nasal","Human gammaherpesvirus 4 (EBV)"
"18","Human gammaherpesvirus 4 (EBV).pbmc",20.0754716981132,2,"pbmc","Human gammaherpesvirus 4 (EBV)"
"19","Anelloviridae.nasal",2.19298245614035,3,"nasal","Anelloviridae"
"20","Anelloviridae.pbmc",10.3042876901798,3,"pbmc","Anelloviridae"
"21","Enterovirus.nasal",2.41228070175439,3,"nasal","Enterovirus"
"22","Human alphaherpesvirus 1 (HSV1).nasal",5.84795321637427,3,"nasal","Human alphaherpesvirus 1 (HSV1)"
"23","Human alphaherpesvirus 2 (HSV2).nasal",0.511695906432749,3,"nasal","Human alphaherpesvirus 2 (HSV2)"
"24","Human betaherpesvirus 5 (CMV).nasal",0.657894736842105,3,"nasal","Human betaherpesvirus 5 (CMV)"
"25","Human betaherpesvirus 5 (CMV).pbmc",1.2448132780083,3,"pbmc","Human betaherpesvirus 5 (CMV)"
"26","Human gammaherpesvirus 4 (EBV).nasal",3.43567251461988,3,"nasal","Human gammaherpesvirus 4 (EBV)"
"27","Human gammaherpesvirus 4 (EBV).pbmc",19.5712309820194,3,"pbmc","Human gammaherpesvirus 4 (EBV)"
"28","Anelloviridae.nasal",2.13492741246798,4,"nasal","Anelloviridae"
"29","Anelloviridae.pbmc",10.5179282868526,4,"pbmc","Anelloviridae"
"30","Enterovirus.nasal",2.2203245089667,4,"nasal","Enterovirus"
"31","Human alphaherpesvirus 1 (HSV1).nasal",5.55081127241674,4,"nasal","Human alphaherpesvirus 1 (HSV1)"
"32","Human alphaherpesvirus 2 (HSV2).nasal",0.512382578992314,4,"nasal","Human alphaherpesvirus 2 (HSV2)"
"33","Human betaherpesvirus 5 (CMV).nasal",0.683176771989752,4,"nasal","Human betaherpesvirus 5 (CMV)"
"34","Human betaherpesvirus 5 (CMV).pbmc",1.11553784860558,4,"pbmc","Human betaherpesvirus 5 (CMV)"
"35","Human gammaherpesvirus 4 (EBV).nasal",3.67207514944492,4,"nasal","Human gammaherpesvirus 4 (EBV)"
"36","Human gammaherpesvirus 4 (EBV).pbmc",20.4780876494024,4,"pbmc","Human gammaherpesvirus 4 (EBV)"
"37","Anelloviridae.nasal",1.89633375474083,5,"nasal","Anelloviridae"
"38","Anelloviridae.pbmc",11.2514351320321,5,"pbmc","Anelloviridae"
"39","Enterovirus.nasal",2.78128950695322,5,"nasal","Enterovirus"
"40","Human alphaherpesvirus 1 (HSV1).nasal",7.71175726927939,5,"nasal","Human alphaherpesvirus 1 (HSV1)"
"41","Human alphaherpesvirus 2 (HSV2).nasal",1.51706700379267,5,"nasal","Human alphaherpesvirus 2 (HSV2)"
"42","Human betaherpesvirus 5 (CMV).nasal",0.884955752212389,5,"nasal","Human betaherpesvirus 5 (CMV)"
"43","Human betaherpesvirus 5 (CMV).pbmc",1.26291618828932,5,"pbmc","Human betaherpesvirus 5 (CMV)"
"44","Human gammaherpesvirus 4 (EBV).nasal",3.91908975979772,5,"nasal","Human gammaherpesvirus 4 (EBV)"
"45","Human gammaherpesvirus 4 (EBV).pbmc",21.239954075775,5,"pbmc","Human gammaherpesvirus 4 (EBV)"
"46","Anelloviridae.nasal",2.52844500632111,6,"nasal","Anelloviridae"
"47","Anelloviridae.pbmc",12.093023255814,6,"pbmc","Anelloviridae"
"48","Enterovirus.nasal",2.78128950695322,6,"nasal","Enterovirus"
"49","Human alphaherpesvirus 1 (HSV1).nasal",7.58533501896334,6,"nasal","Human alphaherpesvirus 1 (HSV1)"
"50","Human alphaherpesvirus 2 (HSV2).nasal",1.51706700379267,6,"nasal","Human alphaherpesvirus 2 (HSV2)"
"51","Human betaherpesvirus 5 (CMV).nasal",1.01137800252845,6,"nasal","Human betaherpesvirus 5 (CMV)"
"52","Human betaherpesvirus 5 (CMV).pbmc",1.16279069767442,6,"pbmc","Human betaherpesvirus 5 (CMV)"
"53","Human gammaherpesvirus 4 (EBV).nasal",4.551201011378,6,"nasal","Human gammaherpesvirus 4 (EBV)"
"54","Human gammaherpesvirus 4 (EBV).pbmc",20.9302325581395,6,"pbmc","Human gammaherpesvirus 4 (EBV)"
"55","Anelloviridae.nasal",2.83018867924528,7,"nasal","Anelloviridae"
"56","Anelloviridae.pbmc",12.9261363636364,7,"pbmc","Anelloviridae"
"57","Enterovirus.nasal",2.35849056603774,7,"nasal","Enterovirus"
"58","Human alphaherpesvirus 1 (HSV1).nasal",8.0188679245283,7,"nasal","Human alphaherpesvirus 1 (HSV1)"
"59","Human alphaherpesvirus 2 (HSV2).nasal",2.20125786163522,7,"nasal","Human alphaherpesvirus 2 (HSV2)"
"60","Human betaherpesvirus 5 (CMV).nasal",0.628930817610063,7,"nasal","Human betaherpesvirus 5 (CMV)"
"61","Human betaherpesvirus 5 (CMV).pbmc",1.42045454545455,7,"pbmc","Human betaherpesvirus 5 (CMV)"
"62","Human gammaherpesvirus 4 (EBV).nasal",5.0314465408805,7,"nasal","Human gammaherpesvirus 4 (EBV)"
"63","Human gammaherpesvirus 4 (EBV).pbmc",17.6136363636364,7,"pbmc","Human gammaherpesvirus 4 (EBV)"
"64","Anelloviridae.nasal",2.80561122244489,8,"nasal","Anelloviridae"
"65","Anelloviridae.pbmc",13.4892086330935,8,"pbmc","Anelloviridae"
"66","Enterovirus.nasal",3.0060120240481,8,"nasal","Enterovirus"
"67","Human alphaherpesvirus 1 (HSV1).nasal",8.41683366733467,8,"nasal","Human alphaherpesvirus 1 (HSV1)"
"68","Human alphaherpesvirus 2 (HSV2).nasal",2.40480961923848,8,"nasal","Human alphaherpesvirus 2 (HSV2)"
"69","Human betaherpesvirus 5 (CMV).nasal",1.00200400801603,8,"nasal","Human betaherpesvirus 5 (CMV)"
"70","Human betaherpesvirus 5 (CMV).pbmc",1.43884892086331,8,"pbmc","Human betaherpesvirus 5 (CMV)"
"71","Human gammaherpesvirus 4 (EBV).nasal",4.80961923847695,8,"nasal","Human gammaherpesvirus 4 (EBV)"
"72","Human gammaherpesvirus 4 (EBV).pbmc",16.9064748201439,8,"pbmc","Human gammaherpesvirus 4 (EBV)"
"73","Anelloviridae.nasal",2.9810298102981,9,"nasal","Anelloviridae"
"74","Anelloviridae.pbmc",14.4607843137255,9,"pbmc","Anelloviridae"
"75","Enterovirus.nasal",3.2520325203252,9,"nasal","Enterovirus"
"76","Human alphaherpesvirus 1 (HSV1).nasal",10.5691056910569,9,"nasal","Human alphaherpesvirus 1 (HSV1)"
"77","Human alphaherpesvirus 2 (HSV2).nasal",2.9810298102981,9,"nasal","Human alphaherpesvirus 2 (HSV2)"
"78","Human betaherpesvirus 5 (CMV).nasal",1.0840108401084,9,"nasal","Human betaherpesvirus 5 (CMV)"
"79","Human betaherpesvirus 5 (CMV).pbmc",1.7156862745098,9,"pbmc","Human betaherpesvirus 5 (CMV)"
"80","Human gammaherpesvirus 4 (EBV).nasal",4.6070460704607,9,"nasal","Human gammaherpesvirus 4 (EBV)"
"81","Human gammaherpesvirus 4 (EBV).pbmc",15.4411764705882,9,"pbmc","Human gammaherpesvirus 4 (EBV)"
"82","Anelloviridae.nasal",2.7027027027027,10,"nasal","Anelloviridae"
"83","Anelloviridae.pbmc",14.7887323943662,10,"pbmc","Anelloviridae"
"84","Enterovirus.nasal",3.08880308880309,10,"nasal","Enterovirus"
"85","Human alphaherpesvirus 1 (HSV1).nasal",10.8108108108108,10,"nasal","Human alphaherpesvirus 1 (HSV1)"
"86","Human alphaherpesvirus 2 (HSV2).nasal",1.93050193050193,10,"nasal","Human alphaherpesvirus 2 (HSV2)"
"87","Human betaherpesvirus 5 (CMV).nasal",1.15830115830116,10,"nasal","Human betaherpesvirus 5 (CMV)"
"88","Human betaherpesvirus 5 (CMV).pbmc",1.76056338028169,10,"pbmc","Human betaherpesvirus 5 (CMV)"
"89","Human gammaherpesvirus 4 (EBV).nasal",4.24710424710425,10,"nasal","Human gammaherpesvirus 4 (EBV)"
"90","Human gammaherpesvirus 4 (EBV).pbmc",11.9718309859155,10,"pbmc","Human gammaherpesvirus 4 (EBV)"
"91","Anelloviridae.nasal",0.602409638554217,11,"nasal","Anelloviridae"
"92","Anelloviridae.pbmc",11.0526315789474,11,"pbmc","Anelloviridae"
"93","Enterovirus.nasal",4.81927710843374,11,"nasal","Enterovirus"
"94","Human alphaherpesvirus 1 (HSV1).nasal",11.4457831325301,11,"nasal","Human alphaherpesvirus 1 (HSV1)"
"95","Human alphaherpesvirus 2 (HSV2).nasal",2.40963855421687,11,"nasal","Human alphaherpesvirus 2 (HSV2)"
"96","Human betaherpesvirus 5 (CMV).nasal",1.80722891566265,11,"nasal","Human betaherpesvirus 5 (CMV)"
"97","Human betaherpesvirus 5 (CMV).pbmc",2.63157894736842,11,"pbmc","Human betaherpesvirus 5 (CMV)"
"98","Human gammaherpesvirus 4 (EBV).nasal",3.01204819277108,11,"nasal","Human gammaherpesvirus 4 (EBV)"
"99","Human gammaherpesvirus 4 (EBV).pbmc",9.47368421052632,11,"pbmc","Human gammaherpesvirus 4 (EBV)"
"100","Anelloviridae.nasal",0.564971751412429,12,"nasal","Anelloviridae"
"101","Anelloviridae.pbmc",11.5789473684211,12,"pbmc","Anelloviridae"
"102","Enterovirus.nasal",4.51977401129944,12,"nasal","Enterovirus"
