"","name","percent","count","sum","day","upper_CI","lower_CI","compartment","virus"
"1","Anelloviridae.nasal",2.22222222222222,1035,23,1,0.0336989792472265,0.014465106354803,"nasal","Anelloviridae"
"2","Anelloviridae.pbmc",10.3860294117647,1088,113,1,0.12389662373948,0.0866817984785525,"pbmc","Anelloviridae"
"3","Enterovirus.nasal",2.02898550724638,1035,21,1,0.0313971364065704,0.0129253947999066,"nasal","Enterovirus"
"4","Human alphaherpesvirus 1 (HSV1).nasal",3.44149459193707,1017,35,1,0.048051156791663,0.0244343880985787,"nasal","Human alphaherpesvirus 1 (HSV1)"
"5","Human alphaherpesvirus 2 (HSV2).nasal",0.0967117988394584,1034,1,1,0.00625691025053353,5.04857667036404e-05,"nasal","Human alphaherpesvirus 2 (HSV2)"
"6","Human betaherpesvirus 5 (CMV).nasal",0.386473429951691,1035,4,1,0.0105814486939255,0.00123874945812038,"nasal","Human betaherpesvirus 5 (CMV)"
"7","Human betaherpesvirus 5 (CMV).pbmc",1.10294117647059,1088,12,1,0.0197584131804992,0.00598624789832832,"pbmc","Human betaherpesvirus 5 (CMV)"
"8","Human gammaherpesvirus 4 (EBV).nasal",3.38164251207729,1035,35,1,0.0472219997348288,0.024007735135492,"nasal","Human gammaherpesvirus 4 (EBV)"
"9","Human gammaherpesvirus 4 (EBV).pbmc",18.8419117647059,1088,205,1,0.213215911325073,0.165858051001628,"pbmc","Human gammaherpesvirus 4 (EBV)"
"10","Anelloviridae.nasal",2.0684168655529,1257,26,2,0.030603723746144,0.0138302747657435,"nasal","Anelloviridae"
"11","Anelloviridae.pbmc",10.2641509433962,1325,136,2,0.12055083445654,0.0870824235197423,"pbmc","Anelloviridae"
"12","Enterovirus.nasal",2.30708035003978,1257,29,2,0.0334017505557183,0.0157830067395934,"nasal","Enterovirus"
"13","Human alphaherpesvirus 1 (HSV1).nasal",3.33333333333333,1230,41,2,0.045370356205248,0.0243185153513864,"nasal","Human alphaherpesvirus 1 (HSV1)"
"14","Human alphaherpesvirus 2 (HSV2).nasal",0.0796178343949045,1256,1,2,0.00515455433538505,4.15620262672461e-05,"nasal","Human alphaherpesvirus 2 (HSV2)"
"15","Human betaherpesvirus 5 (CMV).nasal",0.636435958631663,1257,8,2,0.0130316049371197,0.00296225714645002,"nasal","Human betaherpesvirus 5 (CMV)"
"16","Human betaherpesvirus 5 (CMV).pbmc",1.13207547169811,1325,15,2,0.0190607044879281,0.00658759247767031,"pbmc","Human betaherpesvirus 5 (CMV)"
"17","Human gammaherpesvirus 4 (EBV).nasal",3.18217979315831,1257,40,2,0.0434953153856731,0.0231166432367531,"nasal","Human gammaherpesvirus 4 (EBV)"
"18","Human gammaherpesvirus 4 (EBV).pbmc",20.0754716981132,1325,266,2,0.223565466884788,0.179704305897526,"pbmc","Human gammaherpesvirus 4 (EBV)"
"19","Anelloviridae.nasal",2.19298245614035,1368,30,3,0.0315594916232975,0.0151016442935248,"nasal","Anelloviridae"
"20","Anelloviridae.pbmc",10.3042876901798,1446,149,3,0.120146771301813,0.0880887679901578,"pbmc","Anelloviridae"
"21","Enterovirus.nasal",2.41228070175439,1368,33,3,0.0341063621609779,0.0169224377635824,"nasal","Enterovirus"
"22","Human alphaherpesvirus 1 (HSV1).nasal",3.52059925093633,1335,47,3,0.046924666804034,0.0262545230542792,"nasal","Human alphaherpesvirus 1 (HSV1)"
"23","Human alphaherpesvirus 2 (HSV2).nasal",0.0732600732600733,1365,1,3,0.00474416567061847,3.82430509060238e-05,"nasal","Human alphaherpesvirus 2 (HSV2)"
"24","Human betaherpesvirus 5 (CMV).nasal",0.657894736842105,1368,9,3,0.0129313186923024,0.00321405998826031,"nasal","Human betaherpesvirus 5 (CMV)"
"25","Human betaherpesvirus 5 (CMV).pbmc",1.2448132780083,1446,18,3,0.0200119502039686,0.00762020340784317,"pbmc","Human betaherpesvirus 5 (CMV)"
"26","Human gammaherpesvirus 4 (EBV).nasal",3.43567251461988,1368,47,3,0.0458001394792642,0.0256188422973082,"nasal","Human gammaherpesvirus 4 (EBV)"
"27","Human gammaherpesvirus 4 (EBV).pbmc",19.5712309820194,1446,283,3,0.217315111346076,0.175749180516726,"pbmc","Human gammaherpesvirus 4 (EBV)"
"28","Anelloviridae.nasal",2.13492741246798,1171,25,4,0.031830986591233,0.0141560819760945,"nasal","Anelloviridae"
"29","Anelloviridae.pbmc",10.5179282868526,1255,132,4,0.123799315916011,0.0890252391797947,"pbmc","Anelloviridae"
"30","Enterovirus.nasal",2.2203245089667,1171,26,4,0.0328373570932977,0.0148488938376923,"nasal","Enterovirus"
"31","Human alphaherpesvirus 1 (HSV1).nasal",3.23709536307962,1143,37,4,0.0448010751044941,0.0232053829640108,"nasal","Human alphaherpesvirus 1 (HSV1)"
"32","Human alphaherpesvirus 2 (HSV2).nasal",0.171086398631309,1169,2,4,0.0068754796890514,0.000296392057527889,"nasal","Human alphaherpesvirus 2 (HSV2)"
"33","Human betaherpesvirus 5 (CMV).nasal",0.683176771989752,1171,8,4,0.0139843878029464,0.00318004349378179,"nasal","Human betaherpesvirus 5 (CMV)"
