"","name","plate","trajectory_group","count","freq"
"1","HSV1.ea","1_1","5",1,0.1
"2","HSV1.ea","1_3","4",2,0.166666666666667
"3","HSV1.ea","1_3","5",5,0.416666666666667
"4","HSV1.ea","1_4","4",1,0.0384615384615385
"5","HSV1.ea","1_6","5",2,0.153846153846154
"6","HSV1.ea","2_12","4",5,0.714285714285714
"7","HSV1.ea","2_4","4",5,0.15625
"8","HSV1.ea","2_4","5",2,0.0625
"9","HSV1.ea","2_5","4",5,0.263157894736842
"10","HSV1.ea","2_6","4",5,0.131578947368421
"11","HSV1.ea","2_6","5",4,0.105263157894737
"12","HSV1.ea","2_7","3",1,0.024390243902439
"13","HSV1.ea","2_7","4",15,0.365853658536585
"14","HSV1.ea","2_8","4",1,0.0588235294117647
"15","HSV1.ea","2_9",NA,NA,0
"16","HSV1.ea","3_10","4",1,0.0434782608695652
"17","HSV1.ea","3_10","5",4,0.173913043478261
"18","HSV1.ea","3_11","4",5,0.0675675675675676
"19","HSV1.ea","3_11","5",5,0.0675675675675676
"20","HSV1.ea","3_12","1",1,0.025
"21","HSV1.ea","3_12","2",1,0.025
"22","HSV1.ea","3_12","4",15,0.375
"23","HSV1.ea","3_12","5",7,0.175
"24","CMV.ea","1_1",NA,NA,0
"25","CMV.ea","1_3",NA,NA,0
"26","CMV.ea","1_4",NA,NA,0
"27","CMV.ea","1_6",NA,NA,0
"28","CMV.ea","2_12",NA,NA,0
"29","CMV.ea","2_4",NA,NA,0
"30","CMV.ea","2_5","4",3,0.157894736842105
"31","CMV.ea","2_6","4",1,0.0263157894736842
"32","CMV.ea","2_7","4",4,0.0975609756097561
"33","CMV.ea","2_8",NA,NA,0
"34","CMV.ea","2_9",NA,NA,0
"35","CMV.ea","3_10",NA,NA,0
"36","CMV.ea","3_11","4",2,0.027027027027027
"37","CMV.ea","3_12","4",3,0.075
"38","EBV.ea","1_1",NA,NA,0
"39","EBV.ea","1_3",NA,NA,0
"40","EBV.ea","1_4",NA,NA,0
"41","EBV.ea","1_6","5",1,0.0769230769230769
"42","EBV.ea","2_12",NA,NA,0
"43","EBV.ea","2_4",NA,NA,0
"44","EBV.ea","2_5","4",2,0.105263157894737
"45","EBV.ea","2_6",NA,NA,0
"46","EBV.ea","2_7","4",1,0.024390243902439
"47","EBV.ea","2_8",NA,NA,0
"48","EBV.ea","2_9",NA,NA,0
"49","EBV.ea","3_10",NA,NA,0
"50","EBV.ea","3_11","4",3,0.0405405405405405
"51","EBV.ea","3_11","5",3,0.0405405405405405
"52","EBV.ea","3_12","4",1,0.025
"53","EBV.ea","3_12","5",2,0.05
