name,nt_e_value3,omic
Human gammaherpesvirus 4 (EBV),5.388898453732831e-46,PBMC
Human gammaherpesvirus 4 (EBV),1.574345329142937e-53,PBMC
Human gammaherpesvirus 4 (EBV),5.436257251684087e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human immunodeficiency virus 1,5.802297599818694e-56,PBMC
Human gammaherpesvirus 4 (EBV),1.4962356560944725e-136,PBMC
Human betaherpesvirus 5 (CMV),3.017171522601757e-52,PBMC
Human betaherpesvirus 6,1.3433834696603864e-90,PBMC
Human gammaherpesvirus 4 (EBV),4.458615279480711e-56,PBMC
Human betaherpesvirus 6,2.42884611514224e-100,PBMC
Human gammaherpesvirus 4 (EBV),1.1874080803829607e-78,PBMC
Human immunodeficiency virus 1,7.077827926089994e-47,PBMC
Human gammaherpesvirus 4 (EBV),9.676092245777308e-56,PBMC
Human gammaherpesvirus 4 (EBV),7.84151540528117e-57,PBMC
Human gammaherpesvirus 4 (EBV),1.9498445997580415e-41,PBMC
Anelloviridae,4.160063884776239e-51,PBMC
Human gammaherpesvirus 4 (EBV),1.1251229929657704e-50,PBMC
Human gammaherpesvirus 4 (EBV),4.090722316216698e-52,PBMC
Enterovirus,5.970352865838317e-74,PBMC
Anelloviridae,2.3420706947938165e-38,PBMC
Anelloviridae,6.718928197763036e-48,PBMC
Human gammaherpesvirus 4 (EBV),1.2117136492719595e-79,PBMC
Human betaherpesvirus 5 (CMV),1.1194378834671686e-186,PBMC
Human betaherpesvirus 5 (CMV),4.634469197362846e-105,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human betaherpesvirus 5 (CMV),4.613175745603659e-140,PBMC
Human gammaherpesvirus 4 (EBV),2.3670094946869177e-71,PBMC
Human gammaherpesvirus 4 (EBV),1.7518624342085542e-63,PBMC
Human gammaherpesvirus 4 (EBV),2.2792921774337344e-46,PBMC
Human gammaherpesvirus 4 (EBV),6.187283275532334e-57,PBMC
Human betaherpesvirus 5 (CMV),8.241381150129962e-138,PBMC
Human gammaherpesvirus 4 (EBV),4.508167045414563e-168,PBMC
Human gammaherpesvirus 4 (EBV),1.199499303149361e-128,PBMC
Human gammaherpesvirus 4 (EBV),5.146358070137281e-43,PBMC
Human gammaherpesvirus 4 (EBV),6.0841512229170646e-49,PBMC
Anelloviridae,9.824263447582708e-56,PBMC
Human betaherpesvirus 5 (CMV),3.2960971217745827e-193,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),9.824263447582708e-56,PBMC
Human immunodeficiency virus 1,2.3157944032250705e-54,PBMC
Anelloviridae,6.17305291888686e-36,PBMC
Human gammaherpesvirus 4 (EBV),1.0136779508886422e-54,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,8.959834752883507e-40,PBMC
Human gammaherpesvirus 4 (EBV),1.1950883147362645e-56,PBMC
Human gammaherpesvirus 4 (EBV),8.346415482773274e-43,PBMC
Human gammaherpesvirus 4 (EBV),3.0130060241861155e-110,PBMC
Human gammaherpesvirus 4 (EBV),2.627241526468855e-40,PBMC
Anelloviridae,1.0209394837077142e-273,PBMC
Human betaherpesvirus 5 (CMV),9.18332596483583e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,3.6625560887919764e-38,PBMC
Human gammaherpesvirus 4 (EBV),5.689839291528655e-66,PBMC
Human gammaherpesvirus 4 (EBV),1.995262314968932e-160,PBMC
Human gammaherpesvirus 4 (EBV),3.026913428101268e-191,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),9.18332596483583e-57,PBMC
Anelloviridae,8.433347577642792e-57,PBMC
Anelloviridae,2.3157944032250705e-54,PBMC
Anelloviridae,9.427341160284759e-35,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,2.1627185237269184e-290,PBMC
Human gammaherpesvirus 4 (EBV),8.483987109860017e-43,PBMC
Human betaherpesvirus 5 (CMV),1.0739894123412594e-152,PBMC
Human gammaherpesvirus 4 (EBV),8.30998041044437e-63,PBMC
Anelloviridae,1.7068682499156882e-97,PBMC
Human gammaherpesvirus 4 (EBV),1.1202114309051193e-52,PBMC
Human gammaherpesvirus 4 (EBV),9.418895965228188e-193,PBMC
Human betaherpesvirus 5 (CMV),5.50807696405421e-138,PBMC
Human gammaherpesvirus 4 (EBV),6.698846094165162e-222,PBMC
Human gammaherpesvirus 4 (EBV),3.1095675818497953e-66,PBMC
Human betaherpesvirus 6,4.680583528968175e-65,PBMC
Human gammaherpesvirus 4 (EBV),1.24680920515561e-50,PBMC
Human gammaherpesvirus 4 (EBV),5.688529308438355e-105,PBMC
Human gammaherpesvirus 4 (EBV),1.9440167385130113e-49,PBMC
Human gammaherpesvirus 4 (EBV),2.0234850496919657e-56,PBMC
Human gammaherpesvirus 4 (EBV),1.3031667784523268e-158,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,3.0881614691845065e-45,PBMC
Human gammaherpesvirus 4 (EBV),2.892677383120101e-54,PBMC
Human gammaherpesvirus 4 (EBV),1.3870751779668166e-86,PBMC
Human betaherpesvirus 6,2.0007830521523974e-52,PBMC
Human gammaherpesvirus 4 (EBV),3.485780210560328e-53,PBMC
Anelloviridae,1.5448986725154298e-41,PBMC
Human betaherpesvirus 5 (CMV),7.516228940182137e-165,PBMC
Anelloviridae,6.6038925747854666e-71,PBMC
Human gammaherpesvirus 4 (EBV),6.295061828572071e-162,PBMC
Human betaherpesvirus 5 (CMV),2.6302679918953063e-146,PBMC
Human betaherpesvirus 6,1.8084229089365147e-55,PBMC
Human betaherpesvirus 6,1.2122717925364884e-45,PBMC
Anelloviridae,6.902398038402398e-112,PBMC
Human gammaherpesvirus 4 (EBV),3.5727283815192664e-122,PBMC
Human gammaherpesvirus 4 (EBV),1.4845676750522654e-69,PBMC
Human gammaherpesvirus 4 (EBV),7.154841214168946e-54,PBMC
Human gammaherpesvirus 4 (EBV),3.139062769137661e-55,PBMC
Human betaherpesvirus 6,6.588704043340781e-48,PBMC
Human gammaherpesvirus 4 (EBV),7.284504232923316e-46,PBMC
Human gammaherpesvirus 4 (EBV),1.135010815672333e-117,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.4660393372343564e-52,PBMC
Human gammaherpesvirus 4 (EBV),5.0780853966488946e-57,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.880049817442871e-54,PBMC
Anelloviridae,9.824263447582708e-56,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),8.002026771193294e-83,PBMC
Human betaherpesvirus 6,9.151662592812774e-47,PBMC
Human gammaherpesvirus 4 (EBV),8.266087535038511e-51,PBMC
Human gammaherpesvirus 4 (EBV),8.609937521846051e-154,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,2.0067810900181654e-69,PBMC
Human gammaherpesvirus 4 (EBV),1.8853847936139348e-58,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.2475015504212612e-60,PBMC
Human gammaherpesvirus 4 (EBV),3.4040818970099814e-56,PBMC
Human betaherpesvirus 5 (CMV),2.9991625189876777e-205,PBMC
Human gammaherpesvirus 4 (EBV),3.1253596436133493e-63,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),3.1260793671239367e-55,PBMC
Human betaherpesvirus 6,1.2861748112359035e-53,PBMC
Human gammaherpesvirus 4 (EBV),6.877015449442127e-63,PBMC
Human gammaherpesvirus 4 (EBV),8.156427871327944e-84,PBMC
Human gammaherpesvirus 4 (EBV),9.345445303153502e-89,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),2.946456270865024e-44,PBMC
Human gammaherpesvirus 4 (EBV),6.823386941416746e-121,PBMC
Human betaherpesvirus 6,8.287050779069796e-48,PBMC
Human gammaherpesvirus 4 (EBV),1.4584783945478813e-100,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Anelloviridae,3.0768051937597698e-33,PBMC
Anelloviridae,2.9716660317380192e-50,PBMC
Anelloviridae,1.2938978761506273e-50,PBMC
Human betaherpesvirus 5 (CMV),3.917418771077863e-113,PBMC
Human gammaherpesvirus 4 (EBV),4.1677340679767296e-57,PBMC
Human gammaherpesvirus 4 (EBV),5.977230446886975e-81,PBMC
