name,percent,day,compartment,virus
Anelloviridae.nasal,2.2222222222222223,1,nasal,Anelloviridae
Enterovirus.nasal,2.0289855072463765,1,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,3.44149459193707,1,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0.09671179883945842,1,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0.3864734299516908,1,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.3816425120772946,1,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,94.29951690821255,1,nasal,SARS-CoV-2
Anelloviridae.nasal,2.0684168655529036,2,nasal,Anelloviridae
Enterovirus.nasal,2.307080350039777,2,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,3.3333333333333335,2,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0.07961783439490447,2,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0.6364359586316627,2,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.182179793158314,2,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,94.03341288782816,2,nasal,SARS-CoV-2
Anelloviridae.nasal,2.1929824561403506,3,nasal,Anelloviridae
Enterovirus.nasal,2.4122807017543857,3,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,3.5205992509363293,3,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0.07326007326007326,3,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0.6578947368421052,3,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.435672514619883,3,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,93.2017543859649,3,nasal,SARS-CoV-2
Anelloviridae.nasal,2.134927412467976,4,nasal,Anelloviridae
Enterovirus.nasal,2.220324508966695,4,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,3.2370953630796153,4,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0.1710863986313088,4,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0.6831767719897524,4,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.6720751494449186,4,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,92.22886421861656,4,nasal,SARS-CoV-2
Anelloviridae.nasal,1.8963337547408345,5,nasal,Anelloviridae
Enterovirus.nasal,2.781289506953224,5,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,5.317769130998703,5,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0.25380710659898476,5,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0.8849557522123894,5,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.919089759797725,5,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,90.0126422250316,5,nasal,SARS-CoV-2
Anelloviridae.nasal,2.5284450063211126,6,nasal,Anelloviridae
Enterovirus.nasal,2.781289506953224,6,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,4.9414824447334205,6,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0.12706480304955528,6,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,1.0113780025284451,6,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,4.551201011378002,6,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,89.25410872313527,6,nasal,SARS-CoV-2
Anelloviridae.nasal,2.8301886792452833,7,nasal,Anelloviridae
Enterovirus.nasal,2.358490566037736,7,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,6.099518459069021,7,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0.15822784810126583,7,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0.628930817610063,7,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,5.031446540880504,7,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,88.36477987421384,7,nasal,SARS-CoV-2
Anelloviridae.nasal,2.80561122244489,8,nasal,Anelloviridae
Enterovirus.nasal,3.006012024048096,8,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,6.924643584521386,8,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0.2012072434607646,8,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,1.002004008016032,8,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,4.809619238476954,8,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,88.77755511022045,8,nasal,SARS-CoV-2
Anelloviridae.nasal,2.9810298102981028,9,nasal,Anelloviridae
Enterovirus.nasal,3.2520325203252036,9,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,8.83977900552486,9,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,9,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,1.084010840108401,9,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,4.607046070460704,9,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,89.97289972899729,9,nasal,SARS-CoV-2
Anelloviridae.nasal,2.7027027027027026,10,nasal,Anelloviridae
Enterovirus.nasal,3.088803088803089,10,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,7.968127490039841,10,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,10,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,1.1583011583011582,10,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,4.247104247104247,10,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,89.57528957528957,10,nasal,SARS-CoV-2
Anelloviridae.nasal,0.6024096385542169,11,nasal,Anelloviridae
Enterovirus.nasal,4.819277108433735,11,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,8.695652173913043,11,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,11,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,1.8072289156626504,11,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.0120481927710845,11,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,86.74698795180723,11,nasal,SARS-CoV-2
Anelloviridae.nasal,0.5649717514124294,12,nasal,Anelloviridae
Enterovirus.nasal,4.519774011299435,12,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,11.11111111111111,12,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0.5649717514124294,12,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,2.2598870056497176,12,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,4.519774011299435,12,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,81.92090395480226,12,nasal,SARS-CoV-2
Anelloviridae.nasal,0.8733624454148471,13,nasal,Anelloviridae
Enterovirus.nasal,3.4934497816593884,13,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,11.210762331838566,13,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0.43668122270742354,13,nasal,Human alphaherpesvirus 2 (HSV2)
