name,enrollment_site,count,freq,total
Anelloviridae.pbmc,Arizona,6,3.125,192
Anelloviridae.pbmc,Baylor,9,4.6875,192
Anelloviridae.pbmc,Boston/BWH,6,3.125,192
Anelloviridae.pbmc,Case Western,6,3.125,192
Anelloviridae.pbmc,Drexel/Tower Health,12,6.25,192
Anelloviridae.pbmc,Emory,27,14.0625,192
Anelloviridae.pbmc,Florida,12,6.25,192
Anelloviridae.pbmc,ISMMS (Mt Sinai),9,4.6875,192
Anelloviridae.pbmc,OHSU (Oregon),6,3.125,192
Anelloviridae.pbmc,OUHSC (Oklahoma),8,4.166666666666666,192
Anelloviridae.pbmc,Stanford,15,7.8125,192
Anelloviridae.pbmc,UCLA,31,16.145833333333336,192
Anelloviridae.pbmc,UCSF,28,14.583333333333334,192
Anelloviridae.pbmc,UT Austin,1,0.5208333333333333,192
Anelloviridae.pbmc,Yale,16,8.333333333333332,192
Enterovirus.nasal,Arizona,4,7.8431372549019605,51
Enterovirus.nasal,Baylor,1,1.9607843137254901,51
Enterovirus.nasal,Boston/BWH,6,11.76470588235294,51
Enterovirus.nasal,Case Western,7,13.725490196078432,51
Enterovirus.nasal,Drexel/Tower Health,2,3.9215686274509802,51
Enterovirus.nasal,Emory,1,1.9607843137254901,51
Enterovirus.nasal,Florida,5,9.803921568627452,51
Enterovirus.nasal,ISMMS (Mt Sinai),2,3.9215686274509802,51
Enterovirus.nasal,OHSU (Oregon),1,1.9607843137254901,51
Enterovirus.nasal,Stanford,5,9.803921568627452,51
Enterovirus.nasal,UCSF,11,21.568627450980394,51
Enterovirus.nasal,UT Austin,5,9.803921568627452,51
Enterovirus.nasal,Yale,1,1.9607843137254901,51
HSV1.nasal,Arizona,6,5.88235294117647,102
HSV1.nasal,Baylor,5,4.901960784313726,102
HSV1.nasal,Boston/BWH,3,2.941176470588235,102
HSV1.nasal,Case Western,2,1.9607843137254901,102
HSV1.nasal,Drexel/Tower Health,10,9.803921568627452,102
HSV1.nasal,Emory,12,11.76470588235294,102
HSV1.nasal,Florida,10,9.803921568627452,102
HSV1.nasal,ISMMS (Mt Sinai),2,1.9607843137254901,102
HSV1.nasal,OHSU (Oregon),4,3.9215686274509802,102
HSV1.nasal,OUHSC (Oklahoma),8,7.8431372549019605,102
HSV1.nasal,Stanford,5,4.901960784313726,102
HSV1.nasal,UCLA,8,7.8431372549019605,102
HSV1.nasal,UCSF,17,16.666666666666664,102
HSV1.nasal,UT Austin,5,4.901960784313726,102
HSV1.nasal,Yale,5,4.901960784313726,102
HSV2.nasal,Florida,1,25,4
HSV2.nasal,ISMMS (Mt Sinai),1,25,4
HSV2.nasal,OHSU (Oregon),1,25,4
HSV2.nasal,UCLA,1,25,4
CMV.nasal,Emory,3,13.043478260869565,23
CMV.nasal,Florida,1,4.3478260869565215,23
CMV.nasal,ISMMS (Mt Sinai),1,4.3478260869565215,23
CMV.nasal,OHSU (Oregon),2,8.695652173913043,23
CMV.nasal,OUHSC (Oklahoma),7,30.434782608695656,23
CMV.nasal,Stanford,2,8.695652173913043,23
CMV.nasal,UCLA,4,17.391304347826086,23
CMV.nasal,UCSF,3,13.043478260869565,23
CMV.pbmc,Arizona,1,2.4390243902439024,41
CMV.pbmc,Baylor,1,2.4390243902439024,41
CMV.pbmc,Boston/BWH,1,2.4390243902439024,41
CMV.pbmc,Emory,3,7.317073170731707,41
CMV.pbmc,Florida,5,12.195121951219512,41
CMV.pbmc,ISMMS (Mt Sinai),2,4.878048780487805,41
CMV.pbmc,OHSU (Oregon),3,7.317073170731707,41
CMV.pbmc,OUHSC (Oklahoma),4,9.75609756097561,41
CMV.pbmc,Stanford,2,4.878048780487805,41
CMV.pbmc,UCLA,4,9.75609756097561,41
CMV.pbmc,UCSF,8,19.51219512195122,41
CMV.pbmc,UT Austin,1,2.4390243902439024,41
CMV.pbmc,Yale,6,14.634146341463413,41
EBV.nasal,Arizona,6,7.792207792207792,77
EBV.nasal,Baylor,2,2.5974025974025974,77
EBV.nasal,Boston/BWH,2,2.5974025974025974,77
EBV.nasal,Case Western,1,1.2987012987012987,77
EBV.nasal,Drexel/Tower Health,3,3.896103896103896,77
EBV.nasal,Emory,6,7.792207792207792,77
EBV.nasal,Florida,8,10.38961038961039,77
EBV.nasal,ISMMS (Mt Sinai),4,5.194805194805195,77
EBV.nasal,OHSU (Oregon),6,7.792207792207792,77
EBV.nasal,OUHSC (Oklahoma),5,6.493506493506493,77
EBV.nasal,Stanford,6,7.792207792207792,77
EBV.nasal,UCLA,12,15.584415584415584,77
EBV.nasal,UCSF,10,12.987012987012985,77
EBV.nasal,UT Austin,4,5.194805194805195,77
EBV.nasal,Yale,2,2.5974025974025974,77
EBV.pbmc,Arizona,19,6.643356643356643,286
EBV.pbmc,Baylor,13,4.545454545454546,286
EBV.pbmc,Boston/BWH,7,2.4475524475524475,286
EBV.pbmc,Case Western,14,4.895104895104895,286
EBV.pbmc,Drexel/Tower Health,29,10.13986013986014,286
EBV.pbmc,Emory,36,12.587412587412588,286
EBV.pbmc,Florida,27,9.44055944055944,286
EBV.pbmc,ISMMS (Mt Sinai),14,4.895104895104895,286
EBV.pbmc,OHSU (Oregon),8,2.797202797202797,286
EBV.pbmc,OUHSC (Oklahoma),11,3.8461538461538463,286
EBV.pbmc,Stanford,21,7.3426573426573425,286
EBV.pbmc,UCLA,28,9.79020979020979,286
EBV.pbmc,UCSF,33,11.538461538461538,286
EBV.pbmc,UT Austin,11,3.8461538461538463,286
EBV.pbmc,Yale,15,5.244755244755245,286
