name,percent,day,compartment,virus
Anelloviridae.ea,3.896103896103896,1,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,10.38961038961039,1,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,1,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,3.896103896103896,1,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,2.5974025974025974,1,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,87.01298701298701,1,ea,SARS-CoV-2
Anelloviridae.ea,4.25531914893617,2,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,12.76595744680851,2,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,2,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,4.25531914893617,2,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,2.127659574468085,2,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,88.29787234042553,2,ea,SARS-CoV-2
Anelloviridae.ea,4.23728813559322,3,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,15.254237288135593,3,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,3,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,3.389830508474576,3,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,2.5423728813559325,3,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,90.67796610169492,3,ea,SARS-CoV-2
Anelloviridae.ea,4.201680672268908,4,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,20.168067226890756,4,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,4,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,3.361344537815126,4,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,2.5210084033613445,4,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,88.23529411764706,4,ea,SARS-CoV-2
Anelloviridae.ea,5.454545454545454,5,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,24.545454545454547,5,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,5,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,1.8181818181818181,5,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,2.727272727272727,5,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,88.18181818181819,5,ea,SARS-CoV-2
Anelloviridae.ea,5.555555555555555,6,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,22.22222222222222,6,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,6,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,1.5873015873015872,6,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,2.380952380952381,6,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,85.71428571428571,6,ea,SARS-CoV-2
Anelloviridae.ea,4.545454545454546,7,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,23.484848484848484,7,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,7,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0.7575757575757576,7,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,3.787878787878788,7,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,87.12121212121212,7,ea,SARS-CoV-2
Anelloviridae.ea,5.405405405405405,8,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,22.52252252252252,8,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,8,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0.9009009009009009,8,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,3.6036036036036037,8,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,85.58558558558559,8,ea,SARS-CoV-2
Anelloviridae.ea,4.597701149425287,9,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,19.54022988505747,9,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,9,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,1.1494252873563218,9,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,3.4482758620689653,9,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,87.356321839080465,9,ea,SARS-CoV-2
Anelloviridae.ea,4.545454545454546,10,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,19.696969696969695,10,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,10,ea,Human alphaherpesvirus 2 (HSV2)
