tissue,trajectory_group,count,freq,day
pbmc,1,214,19.669117647058822,1
pbmc,2,240,22.058823529411764,1
pbmc,3,320,29.411764705882355,1
pbmc,4,212,19.485294117647058,1
pbmc,5,102,9.375,1
pbmc,1,238,17.962264150943398,2
pbmc,2,298,22.49056603773585,2
pbmc,3,388,29.283018867924525,2
pbmc,4,271,20.452830188679243,2
pbmc,5,130,9.811320754716983,2
pbmc,1,223,15.421853388658368,3
pbmc,2,351,24.273858921161825,3
pbmc,3,411,28.42323651452282,3
pbmc,4,315,21.78423236514523,3
pbmc,5,146,10.096818810511756,3
pbmc,1,142,11.314741035856574,4
pbmc,2,317,25.258964143426294,4
pbmc,3,340,27.091633466135455,4
pbmc,4,311,24.780876494023904,4
pbmc,5,145,11.553784860557768,4
pbmc,1,44,5.05166475315729,5
pbmc,2,223,25.602755453501725,5
pbmc,3,229,26.29161882893226,5
pbmc,4,257,29.506314580941446,5
pbmc,5,118,13.54764638346728,5
pbmc,1,24,2.7906976744186047,6
pbmc,2,224,26.046511627906977,6
pbmc,3,215,25,6
pbmc,4,283,32.906976744186046,6
pbmc,5,114,13.25581395348837,6
pbmc,1,1,0.14204545454545456,7
pbmc,2,174,24.71590909090909,7
pbmc,3,161,22.869318181818183,7
pbmc,4,263,37.35795454545455,7
pbmc,5,105,14.914772727272727,7
pbmc,1,1,0.1798561151079137,8
pbmc,2,115,20.68345323741007,8
pbmc,3,121,21.762589928057555,8
pbmc,4,227,40.827338129496404,8
pbmc,5,92,16.546762589928058,8
pbmc,1,1,0.24509803921568626,9
pbmc,2,73,17.892156862745097,9
pbmc,3,85,20.833333333333336,9
pbmc,4,177,43.38235294117647,9
pbmc,5,72,17.647058823529413,9
pbmc,1,3,1.056338028169014,10
pbmc,2,46,16.19718309859155,10
pbmc,3,56,19.718309859154928,10
pbmc,4,125,44.014084507042256,10
pbmc,5,54,19.014084507042252,10
pbmc,1,9,4.736842105263158,11
pbmc,2,25,13.157894736842104,11
pbmc,3,38,20,11
pbmc,4,71,37.368421052631575,11
pbmc,5,47,24.736842105263158,11
pbmc,1,21,11.052631578947368,12
pbmc,2,25,13.157894736842104,12
pbmc,3,32,16.842105263157894,12
pbmc,4,73,38.421052631578945,12
pbmc,5,39,20.526315789473685,12
pbmc,1,37,15.74468085106383,13
pbmc,2,31,13.191489361702127,13
pbmc,3,44,18.72340425531915,13
pbmc,4,90,38.297872340425535,13
pbmc,5,33,14.042553191489363,13
pbmc,1,46,15.753424657534246,14
pbmc,2,35,11.986301369863012,14
pbmc,3,59,20.205479452054796,14
pbmc,4,115,39.38356164383562,14
pbmc,5,37,12.67123287671233,14
pbmc,1,46,15.488215488215488,15
pbmc,2,38,12.794612794612794,15
pbmc,3,54,18.181818181818183,15
pbmc,4,125,42.08754208754209,15
pbmc,5,34,11.447811447811448,15
pbmc,1,42,15.671641791044777,16
pbmc,2,30,11.194029850746269,16
pbmc,3,50,18.65671641791045,16
pbmc,4,120,44.776119402985074,16
pbmc,5,26,9.701492537313433,16
pbmc,1,32,15.92039800995025,17
pbmc,2,21,10.44776119402985,17
pbmc,3,48,23.88059701492537,17
pbmc,4,84,41.7910447761194,17
pbmc,5,16,7.960199004975125,17
pbmc,1,16,12.5,18
pbmc,2,12,9.375,18
pbmc,3,35,27.34375,18
pbmc,4,52,40.625,18
pbmc,5,13,10.15625,18
pbmc,1,7,7.954545454545454,19
pbmc,2,7,7.954545454545454,19
pbmc,3,18,20.454545454545457,19
pbmc,4,47,53.40909090909091,19
pbmc,5,9,10.227272727272728,19
pbmc,1,6,6.25,20
pbmc,2,4,4.166666666666666,20
pbmc,3,20,20.833333333333336,20
pbmc,4,57,59.375,20
pbmc,5,9,9.375,20
pbmc,1,4,3.571428571428571,21
pbmc,2,4,3.571428571428571,21
pbmc,3,18,16.071428571428573,21
pbmc,4,73,65.17857142857143,21
pbmc,5,13,11.607142857142858,21
pbmc,1,2,1.8518518518518516,22
pbmc,2,4,3.7037037037037033,22
pbmc,3,13,12.037037037037036,22
pbmc,4,75,69.44444444444444,22
pbmc,5,14,12.962962962962962,22
pbmc,1,2,1.9417475728155338,23
pbmc,2,3,2.912621359223301,23
pbmc,3,11,10.679611650485436,23
pbmc,4,75,72.81553398058253,23
pbmc,5,12,11.650485436893204,23
