name,percent,day,compartment,virus
Anelloviridae.ea,0,1,ea,Anelloviridae
Anelloviridae.nasal,4.878048780487805,1,nasal,Anelloviridae
Anelloviridae.pbmc,14.606741573033707,1,pbmc,Anelloviridae
Enterovirus.nasal,0,1,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,0,1,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,1.2195121951219512,1,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,1,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0,1,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,1,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0,1,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,1.1235955056179776,1,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,1,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,3.6585365853658534,1,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,14.606741573033707,1,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,100,1,ea,SARS-CoV-2
SARS-CoV-2.nasal,90.2439024390244,1,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0,1,pbmc,SARS-CoV-2
Anelloviridae.ea,0,2,ea,Anelloviridae
Anelloviridae.nasal,4,2,nasal,Anelloviridae
Anelloviridae.pbmc,16.233766233766232,2,pbmc,Anelloviridae
Enterovirus.nasal,3.3333333333333335,2,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,0,2,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,3.3333333333333335,2,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,2,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0,2,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,2,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0,2,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,0.6493506493506493,2,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,16.666666666666664,2,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,3.3333333333333335,2,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,14.285714285714285,2,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,83.33333333333334,2,ea,SARS-CoV-2
SARS-CoV-2.nasal,91.33333333333333,2,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0.6493506493506493,2,pbmc,SARS-CoV-2
Anelloviridae.ea,0,3,ea,Anelloviridae
Anelloviridae.nasal,3.765690376569038,3,nasal,Anelloviridae
Anelloviridae.pbmc,15.853658536585366,3,pbmc,Anelloviridae
Enterovirus.nasal,3.3472803347280333,3,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,0,3,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,2.5210084033613445,3,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,3,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0,3,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,3,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0,3,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,0.40650406504065045,3,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,6.666666666666667,3,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,2.928870292887029,3,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,12.601626016260163,3,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,86.66666666666667,3,ea,SARS-CoV-2
SARS-CoV-2.nasal,93.30543933054393,3,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0.8130081300813009,3,pbmc,SARS-CoV-2
Anelloviridae.ea,0,4,ea,Anelloviridae
Anelloviridae.nasal,2.848101265822785,4,nasal,Anelloviridae
Anelloviridae.pbmc,13.94658753709199,4,pbmc,Anelloviridae
Enterovirus.nasal,2.5316455696202533,4,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,0,4,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,1.9047619047619049,4,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,4,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0,4,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,4,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0,4,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,0.2967359050445104,4,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,4.545454545454546,4,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,3.1645569620253164,4,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,14.540059347181009,4,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,86.36363636363636,4,ea,SARS-CoV-2
SARS-CoV-2.nasal,94.9367088607595,4,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0.8902077151335311,4,pbmc,SARS-CoV-2
Anelloviridae.ea,0,5,ea,Anelloviridae
Anelloviridae.nasal,2.0202020202020203,5,nasal,Anelloviridae
Anelloviridae.pbmc,13.002364066193852,5,pbmc,Anelloviridae
Enterovirus.nasal,3.2828282828282833,5,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,3.0303030303030303,5,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,2.827763496143959,5,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,5,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0,5,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,5,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0.25252525252525254,5,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,0.2364066193853428,5,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,3.0303030303030303,5,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,3.787878787878788,5,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,17.96690307328605,5,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,87.87878787878788,5,ea,SARS-CoV-2
SARS-CoV-2.nasal,96.46464646464646,5,nasal,SARS-CoV-2
