name,percent,day,compartment,virus
Anelloviridae.ea,0,1,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,0,1,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,1,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,1,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,1,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,100,1,ea,SARS-CoV-2
Anelloviridae.ea,0,2,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,0,2,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,2,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,2,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,16.666666666666664,2,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,83.33333333333334,2,ea,SARS-CoV-2
Anelloviridae.ea,0,3,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,0,3,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,3,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,3,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,6.666666666666667,3,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,86.66666666666667,3,ea,SARS-CoV-2
Anelloviridae.ea,0,4,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,0,4,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,4,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,4,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,4.545454545454546,4,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,86.36363636363636,4,ea,SARS-CoV-2
Anelloviridae.ea,0,5,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,3.0303030303030303,5,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,5,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,5,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,3.0303030303030303,5,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,87.87878787878788,5,ea,SARS-CoV-2
Anelloviridae.ea,0,6,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,5,6,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,6,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,2.5,6,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,2.5,6,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,90,6,ea,SARS-CoV-2
Anelloviridae.ea,0,7,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,9.615384615384617,7,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,7,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,1.9230769230769231,7,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,7,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,88.46153846153845,7,ea,SARS-CoV-2
Anelloviridae.ea,1.7857142857142856,8,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,10.714285714285714,8,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,8,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,1.7857142857142856,8,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,8,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,91.07142857142857,8,ea,SARS-CoV-2
Anelloviridae.ea,1.5625,9,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,18.75,9,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,9,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,1.5625,9,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,9,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,92.1875,9,ea,SARS-CoV-2
Anelloviridae.ea,2.666666666666667,10,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,21.333333333333336,10,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,10,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,1.3333333333333335,10,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,10,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,92,10,ea,SARS-CoV-2
Anelloviridae.ea,4.10958904109589,11,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,21.91780821917808,11,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,11,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,11,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,11,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,89.04109589041096,11,ea,SARS-CoV-2
Anelloviridae.ea,5.714285714285714,12,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,18.571428571428573,12,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,12,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,12,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,0,12,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,91.42857142857143,12,ea,SARS-CoV-2
Anelloviridae.ea,4.10958904109589,13,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,27.397260273972602,13,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,13,ea,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,13,ea,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,1.36986301369863,13,ea,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,89.04109589041096,13,ea,SARS-CoV-2
Anelloviridae.ea,4.3478260869565215,14,ea,Anelloviridae
Human alphaherpesvirus 1 (HSV1).ea,23.18840579710145,14,ea,Human alphaherpesvirus 1 (HSV1)
