tissue,trajectory_group,count,freq,day
pbmc,1,24,26.96629213483146,1
pbmc,2,20,22.47191011235955,1
pbmc,3,24,26.96629213483146,1
pbmc,4,10,11.235955056179774,1
pbmc,5,11,12.359550561797752,1
pbmc,1,41,26.623376623376622,2
pbmc,2,33,21.428571428571427,2
pbmc,3,42,27.27272727272727,2
pbmc,4,19,12.337662337662337,2
pbmc,5,19,12.337662337662337,2
pbmc,1,60,24.390243902439025,3
pbmc,2,54,21.951219512195124,3
pbmc,3,64,26.01626016260163,3
pbmc,4,39,15.853658536585366,3
pbmc,5,29,11.788617886178862,3
pbmc,1,69,20.474777448071215,4
pbmc,2,81,24.03560830860534,4
pbmc,3,93,27.596439169139465,4
pbmc,4,58,17.210682492581604,4
pbmc,5,36,10.682492581602373,4
pbmc,1,70,16.548463356973993,5
pbmc,2,105,24.822695035460992,5
pbmc,3,118,27.89598108747045,5
pbmc,4,81,19.148936170212767,5
pbmc,5,49,11.583924349881796,5
pbmc,1,75,15.182186234817813,6
pbmc,2,124,25.101214574898783,6
pbmc,3,130,26.31578947368421,6
pbmc,4,102,20.647773279352226,6
pbmc,5,63,12.753036437246964,6
pbmc,1,81,13.846153846153847,7
pbmc,2,154,26.324786324786327,7
pbmc,3,151,25.811965811965816,7
pbmc,4,131,22.393162393162395,7
pbmc,5,68,11.623931623931623,7
pbmc,1,71,11.639344262295081,8
pbmc,2,158,25.901639344262296,8
pbmc,3,165,27.049180327868854,8
pbmc,4,143,23.442622950819672,8
pbmc,5,73,11.967213114754099,8
pbmc,1,81,12.616822429906541,9
pbmc,2,165,25.70093457943925,9
pbmc,3,161,25.077881619937692,9
pbmc,4,157,24.45482866043614,9
pbmc,5,78,12.149532710280374,9
pbmc,1,83,12.537764350453173,10
pbmc,2,176,26.586102719033235,10
pbmc,3,161,24.3202416918429,10
pbmc,4,168,25.377643504531722,10
pbmc,5,74,11.178247734138973,10
pbmc,1,77,12.261146496815286,11
pbmc,2,167,26.59235668789809,11
pbmc,3,153,24.363057324840764,11
pbmc,4,171,27.229299363057326,11
pbmc,5,60,9.554140127388536,11
pbmc,1,65,11.545293072824157,12
pbmc,2,143,25.399644760213143,12
pbmc,3,143,25.399644760213143,12
pbmc,4,157,27.886323268206038,12
pbmc,5,55,9.769094138543517,12
pbmc,1,66,12.313432835820896,13
pbmc,2,140,26.119402985074625,13
pbmc,3,129,24.067164179104477,13
pbmc,4,146,27.238805970149254,13
pbmc,5,55,10.261194029850747,13
pbmc,1,50,10.438413361169102,14
pbmc,2,122,25.469728601252612,14
pbmc,3,117,24.4258872651357,14
pbmc,4,139,29.018789144050107,14
pbmc,5,51,10.647181628392484,14
pbmc,1,41,10.098522167487685,15
pbmc,2,88,21.67487684729064,15
pbmc,3,102,25.12315270935961,15
pbmc,4,123,30.295566502463057,15
pbmc,5,52,12.807881773399016,15
pbmc,1,37,9.736842105263158,16
pbmc,2,82,21.578947368421055,16
pbmc,3,98,25.789473684210527,16
pbmc,4,114,30,16
pbmc,5,49,12.894736842105264,16
pbmc,1,30,8.902077151335313,17
pbmc,2,70,20.77151335311573,17
pbmc,3,79,23.44213649851632,17
pbmc,4,111,32.93768545994065,17
pbmc,5,47,13.94658753709199,17
pbmc,1,25,8.417508417508419,18
pbmc,2,60,20.2020202020202,18
pbmc,3,67,22.55892255892256,18
pbmc,4,107,36.02693602693603,18
pbmc,5,38,12.794612794612794,18
pbmc,1,25,9.433962264150944,19
pbmc,2,48,18.11320754716981,19
pbmc,3,59,22.264150943396228,19
pbmc,4,103,38.86792452830189,19
pbmc,5,30,11.320754716981133,19
pbmc,1,22,9.361702127659575,20
pbmc,2,48,20.425531914893615,20
pbmc,3,48,20.425531914893615,20
pbmc,4,96,40.85106382978723,20
pbmc,5,21,8.936170212765958,20
pbmc,1,18,8.333333333333332,21
pbmc,2,40,18.51851851851852,21
pbmc,3,42,19.444444444444446,21
pbmc,4,91,42.129629629629626,21
pbmc,5,25,11.574074074074074,21
pbmc,1,17,8.673469387755102,22
pbmc,2,33,16.83673469387755,22
pbmc,3,37,18.877551020408163,22
