name,percent,day,compartment,virus
Anelloviridae.nasal,4.878048780487805,1,nasal,Anelloviridae
Enterovirus.nasal,0,1,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,1.2195121951219512,1,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,1,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0,1,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.6585365853658534,1,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,90.2439024390244,1,nasal,SARS-CoV-2
Anelloviridae.nasal,4,2,nasal,Anelloviridae
Enterovirus.nasal,3.3333333333333335,2,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,3.3333333333333335,2,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,2,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0,2,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.3333333333333335,2,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,91.33333333333333,2,nasal,SARS-CoV-2
Anelloviridae.nasal,3.765690376569038,3,nasal,Anelloviridae
Enterovirus.nasal,3.3472803347280333,3,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,2.5210084033613445,3,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,3,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0,3,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,2.928870292887029,3,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,93.30543933054393,3,nasal,SARS-CoV-2
Anelloviridae.nasal,2.848101265822785,4,nasal,Anelloviridae
Enterovirus.nasal,2.5316455696202533,4,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).nasal,1.9047619047619049,4,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).nasal,0,4,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).nasal,0,4,nasal,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).nasal,3.1645569620253164,4,nasal,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.nasal,94.9367088607595,4,nasal,SARS-CoV-2
