tissue,trajectory_group,count,freq,day
pbmc,1,192,26.96629213483146,1
pbmc,2,160,22.47191011235955,1
pbmc,3,192,26.96629213483146,1
pbmc,4,80,11.235955056179774,1
pbmc,5,88,12.359550561797752,1
pbmc,1,328,26.623376623376622,2
pbmc,2,264,21.428571428571427,2
pbmc,3,336,27.27272727272727,2
pbmc,4,152,12.337662337662337,2
pbmc,5,152,12.337662337662337,2
pbmc,1,480,24.390243902439025,3
pbmc,2,432,21.951219512195124,3
pbmc,3,512,26.01626016260163,3
pbmc,4,312,15.853658536585366,3
pbmc,5,232,11.788617886178862,3
pbmc,1,552,20.474777448071215,4
pbmc,2,648,24.03560830860534,4
pbmc,3,744,27.596439169139465,4
pbmc,4,464,17.210682492581604,4
pbmc,5,288,10.682492581602373,4
pbmc,1,560,16.548463356973993,5
pbmc,2,840,24.822695035460992,5
pbmc,3,944,27.89598108747045,5
pbmc,4,648,19.148936170212767,5
pbmc,5,392,11.583924349881796,5
pbmc,1,600,15.182186234817813,6
pbmc,2,992,25.101214574898783,6
pbmc,3,1040,26.31578947368421,6
pbmc,4,816,20.647773279352226,6
pbmc,5,504,12.753036437246964,6
pbmc,1,648,13.846153846153847,7
pbmc,2,1232,26.324786324786327,7
pbmc,3,1208,25.811965811965816,7
pbmc,4,1048,22.393162393162395,7
pbmc,5,544,11.623931623931623,7
pbmc,1,568,11.639344262295081,8
pbmc,2,1264,25.901639344262296,8
pbmc,3,1320,27.049180327868854,8
pbmc,4,1144,23.442622950819672,8
pbmc,5,584,11.967213114754099,8
pbmc,1,648,12.616822429906541,9
pbmc,2,1320,25.70093457943925,9
pbmc,3,1288,25.077881619937692,9
pbmc,4,1256,24.45482866043614,9
pbmc,5,624,12.149532710280374,9
pbmc,1,664,12.537764350453173,10
pbmc,2,1408,26.586102719033235,10
pbmc,3,1288,24.3202416918429,10
pbmc,4,1344,25.377643504531722,10
pbmc,5,592,11.178247734138973,10
pbmc,1,616,12.261146496815286,11
pbmc,2,1336,26.59235668789809,11
pbmc,3,1224,24.363057324840764,11
pbmc,4,1368,27.229299363057326,11
pbmc,5,480,9.554140127388536,11
pbmc,1,520,11.545293072824157,12
pbmc,2,1144,25.399644760213143,12
pbmc,3,1144,25.399644760213143,12
pbmc,4,1256,27.886323268206038,12
pbmc,5,440,9.769094138543517,12
pbmc,1,528,12.313432835820896,13
pbmc,2,1120,26.119402985074625,13
pbmc,3,1032,24.067164179104477,13
pbmc,4,1168,27.238805970149254,13
pbmc,5,440,10.261194029850747,13
pbmc,1,400,10.438413361169102,14
pbmc,2,976,25.469728601252612,14
pbmc,3,936,24.4258872651357,14
pbmc,4,1112,29.018789144050107,14
pbmc,5,408,10.647181628392484,14
pbmc,1,328,10.098522167487685,15
pbmc,2,704,21.67487684729064,15
pbmc,3,816,25.12315270935961,15
pbmc,4,984,30.295566502463057,15
pbmc,5,416,12.807881773399016,15
pbmc,1,296,9.736842105263158,16
pbmc,2,656,21.578947368421055,16
pbmc,3,784,25.789473684210527,16
pbmc,4,912,30,16
pbmc,5,392,12.894736842105264,16
pbmc,1,240,8.902077151335313,17
pbmc,2,560,20.77151335311573,17
pbmc,3,632,23.44213649851632,17
pbmc,4,888,32.93768545994065,17
pbmc,5,376,13.94658753709199,17
pbmc,1,200,8.417508417508419,18
pbmc,2,480,20.2020202020202,18
pbmc,3,536,22.55892255892256,18
pbmc,4,856,36.02693602693603,18
pbmc,5,304,12.794612794612794,18
pbmc,1,200,9.433962264150944,19
pbmc,2,384,18.11320754716981,19
pbmc,3,472,22.264150943396228,19
pbmc,4,824,38.86792452830189,19
pbmc,5,240,11.320754716981133,19
pbmc,1,176,9.361702127659575,20
pbmc,2,384,20.425531914893615,20
pbmc,3,384,20.425531914893615,20
pbmc,4,768,40.85106382978723,20
pbmc,5,168,8.936170212765958,20
pbmc,1,144,8.333333333333332,21
pbmc,2,320,18.51851851851852,21
pbmc,3,336,19.444444444444446,21
pbmc,4,728,42.129629629629626,21
pbmc,5,200,11.574074074074074,21
pbmc,1,136,8.673469387755102,22
pbmc,2,264,16.83673469387755,22
pbmc,3,296,18.877551020408163,22
pbmc,4,688,43.87755102040816,22
pbmc,5,184,11.73469387755102,22
pbmc,1,168,11.475409836065573,23
pbmc,2,208,14.207650273224044,23
pbmc,3,264,18.0327868852459,23
pbmc,4,672,45.90163934426229,23
pbmc,5,152,10.382513661202186,23
pbmc,1,168,12.138728323699421,24
pbmc,2,200,14.450867052023122,24
pbmc,3,232,16.76300578034682,24
pbmc,4,608,43.93063583815029,24
pbmc,5,176,12.716763005780345,24
pbmc,1,176,13.580246913580247,25
pbmc,2,136,10.493827160493826,25
pbmc,3,200,15.432098765432098,25
pbmc,4,608,46.913580246913575,25
pbmc,5,176,13.580246913580247,25
pbmc,1,176,14.76510067114094,26
pbmc,2,104,8.724832214765101,26
pbmc,3,216,18.120805369127517,26
pbmc,4,544,45.63758389261745,26
pbmc,5,152,12.751677852348994,26
pbmc,1,168,14.893617021276595,27
pbmc,2,112,9.929078014184398,27
pbmc,3,200,17.73049645390071,27
pbmc,4,504,44.680851063829785,27
pbmc,5,144,12.76595744680851,27
pbmc,1,112,11.38211382113821,28
pbmc,2,88,8.94308943089431,28
pbmc,3,192,19.51219512195122,28
pbmc,4,456,46.34146341463415,28
pbmc,5,136,13.821138211382115,28
pbmc,1,96,9.917355371900827,29
pbmc,2,104,10.743801652892563,29
pbmc,3,224,23.140495867768596,29
pbmc,4,448,46.28099173553719,29
pbmc,5,96,9.917355371900827,29
pbmc,1,96,9.836065573770492,30
pbmc,2,136,13.934426229508196,30
pbmc,3,240,24.59016393442623,30
pbmc,4,408,41.80327868852459,30
pbmc,5,96,9.836065573770492,30
pbmc,1,96,9.67741935483871,31
pbmc,2,152,15.32258064516129,31
pbmc,3,216,21.774193548387096,31
pbmc,4,440,44.354838709677416,31
pbmc,5,88,8.870967741935484,31
pbmc,1,136,13.709677419354838,32
pbmc,2,160,16.129032258064516,32
pbmc,3,224,22.58064516129032,32
pbmc,4,408,41.12903225806452,32
pbmc,5,64,6.451612903225806,32
pbmc,1,144,14.516129032258066,33
pbmc,2,160,16.129032258064516,33
pbmc,3,232,23.387096774193548,33
pbmc,4,392,39.516129032258064,33
pbmc,5,64,6.451612903225806,33
pbmc,1,152,16.52173913043478,34
pbmc,2,184,20,34
pbmc,3,216,23.47826086956522,34
pbmc,4,312,33.91304347826087,34
pbmc,5,56,6.086956521739131,34
pbmc,1,168,18.91891891891892,35
pbmc,2,160,18.01801801801802,35
pbmc,3,200,22.52252252252252,35
pbmc,4,320,36.03603603603604,35
pbmc,5,40,4.504504504504505,35
pbmc,1,176,22.448979591836736,36
pbmc,2,136,17.346938775510203,36
pbmc,3,216,27.55102040816326,36
pbmc,4,232,29.591836734693878,36
pbmc,5,24,3.061224489795918,36
pbmc,1,168,21.21212121212121,37
pbmc,2,160,20.2020202020202,37
pbmc,3,232,29.292929292929294,37
pbmc,4,208,26.262626262626267,37
pbmc,5,24,3.0303030303030303,37
pbmc,1,168,22.340425531914892,38
pbmc,2,160,21.27659574468085,38
pbmc,3,200,26.595744680851062,38
