name,percent,day,compartment,virus
Anelloviridae.pbmc,14.606741573033707,1,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,1.1235955056179776,1,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,14.606741573033707,1,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,0,1,pbmc,SARS-CoV-2
Anelloviridae.pbmc,16.233766233766232,2,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,0.6493506493506493,2,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,14.285714285714285,2,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,0.6493506493506493,2,pbmc,SARS-CoV-2
Anelloviridae.pbmc,15.853658536585366,3,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,0.40650406504065045,3,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,12.601626016260163,3,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,0.8130081300813009,3,pbmc,SARS-CoV-2
Anelloviridae.pbmc,13.94658753709199,4,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,0.2967359050445104,4,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,14.540059347181009,4,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,0.8902077151335311,4,pbmc,SARS-CoV-2
Anelloviridae.pbmc,13.002364066193852,5,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,0.2364066193853428,5,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,17.96690307328605,5,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,1.6548463356973995,5,pbmc,SARS-CoV-2
Anelloviridae.pbmc,12.753036437246964,6,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,0.20242914979757085,6,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,19.230769230769234,6,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,1.417004048582996,6,pbmc,SARS-CoV-2
Anelloviridae.pbmc,11.282051282051283,7,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,0.3418803418803419,7,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,20.34188034188034,7,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,1.0256410256410255,7,pbmc,SARS-CoV-2
Anelloviridae.pbmc,10.819672131147541,8,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,0.32786885245901637,8,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,22.131147540983605,8,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,0.819672131147541,8,pbmc,SARS-CoV-2
Anelloviridae.pbmc,10.59190031152648,9,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,0.3115264797507788,9,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,21.651090342679126,9,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,0.6230529595015576,9,pbmc,SARS-CoV-2
Anelloviridae.pbmc,9.969788519637463,10,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,0.3021148036253776,10,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,20.84592145015106,10,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,0,10,pbmc,SARS-CoV-2
Anelloviridae.pbmc,9.076433121019107,11,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,0.6369426751592357,11,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,20.222929936305732,11,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,0,11,pbmc,SARS-CoV-2
Anelloviridae.pbmc,9.236234458259325,12,pbmc,Anelloviridae
Human betaherpesvirus 5 (CMV).pbmc,0.5328596802841918,12,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).pbmc,19.893428063943162,12,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.pbmc,0,12,pbmc,SARS-CoV-2
Anelloviridae.pbmc,9.328358208955224,13,pbmc,Anelloviridae
