tissue,trajectory_group,count,freq,day
ea,4,27,100,1
ea,4,45,83.33333333333334,2
ea,5,9,16.666666666666664,2
ea,4,99,73.33333333333333,3
ea,5,36,26.666666666666668,3
ea,4,153,77.27272727272727,4
ea,5,45,22.727272727272727,4
ea,4,198,66.66666666666666,5
ea,5,99,33.33333333333333,5
ea,4,243,67.5,6
ea,5,117,32.5,6
ea,4,342,73.07692307692307,7
ea,5,126,26.923076923076923,7
ea,4,378,75,8
ea,5,126,25,8
ea,4,423,73.4375,9
ea,5,153,26.5625,9
ea,2,27,4,10
ea,3,9,1.3333333333333335,10
ea,4,513,76,10
ea,5,126,18.666666666666668,10
ea,2,36,5.47945205479452,11
ea,3,9,1.36986301369863,11
ea,4,504,76.71232876712328,11
ea,5,108,16.43835616438356,11
ea,2,45,7.142857142857142,12
ea,3,9,1.4285714285714286,12
ea,4,459,72.85714285714285,12
ea,5,117,18.571428571428573,12
ea,2,45,6.8493150684931505,13
ea,3,9,1.36986301369863,13
ea,4,432,65.75342465753424,13
ea,5,171,26.027397260273972,13
ea,2,45,7.246376811594203,14
ea,3,9,1.4492753623188406,14
ea,4,405,65.21739130434783,14
ea,5,162,26.08695652173913,14
ea,2,18,3.1746031746031744,15
ea,4,351,61.904761904761905,15
ea,5,198,34.92063492063492,15
ea,2,18,3.1746031746031744,16
ea,4,342,60.317460317460316,16
ea,5,207,36.507936507936506,16
ea,2,9,1.639344262295082,17
ea,4,351,63.934426229508205,17
ea,5,189,34.42622950819672,17
ea,2,9,1.9230769230769231,18
ea,4,315,67.3076923076923,18
ea,5,144,30.76923076923077,18
ea,2,9,1.9607843137254901,19
ea,4,315,68.62745098039215,19
ea,5,135,29.411764705882355,19
ea,2,9,2.272727272727273,20
ea,4,297,75,20
ea,5,90,22.727272727272727,20
ea,4,288,76.19047619047619,21
ea,5,90,23.809523809523807,21
ea,4,234,68.42105263157895,22
ea,5,108,31.57894736842105,22
ea,4,234,70.27027027027027,23
ea,5,99,29.72972972972973,23
ea,4,207,67.64705882352942,24
ea,5,99,32.35294117647059,24
ea,4,171,63.33333333333333,25
ea,5,99,36.666666666666664,25
ea,4,171,61.29032258064516,26
ea,5,108,38.70967741935484,26
ea,4,162,64.28571428571429,27
ea,5,90,35.714285714285715,27
ea,4,162,72,28
ea,5,63,28.000000000000004,28
ea,4,180,80,29
ea,5,45,20,29
ea,4,180,76.92307692307693,30
ea,5,54,23.076923076923077,30
ea,4,171,82.6086956521739,31
ea,5,36,17.391304347826086,31
ea,4,198,88,32
ea,5,27,12,32
ea,4,198,88,33
ea,5,27,12,33
ea,4,135,78.94736842105263,34
ea,5,36,21.052631578947366,34
ea,4,144,94.11764705882352,35
ea,5,9,5.88235294117647,35
ea,4,117,92.85714285714286,36
ea,5,9,7.142857142857142,36
ea,4,81,90,37
ea,5,9,10,37
ea,4,63,77.77777777777779,38
ea,5,18,22.22222222222222,38
ea,4,81,90,39
ea,5,9,10,39
ea,4,45,83.33333333333334,40
ea,5,9,16.666666666666664,40
