"","loglik","Chisq","Df","P(>|Chi|)","virus","p.adj","p.adj.signif"
"2",-146.217020504413,1.97381241103886,1,0.160043776853909,"Enterovirus.nasal",0.200054721067386,"ns"
"21",-142.482968936785,8.83416845946567,1,0.00295642316790234,"Human alphaherpesvirus 1 (HSV1).nasal",0.0147821158395117,"*"
"22",-144.271180817653,5.86549178455874,1,0.0154405443642472,"Human betaherpesvirus 5 (CMV).nasal",0.0386013609106181,"*"
"23",-143.632963078473,7.14192726291986,1,0.0075302187577525,"Human gammaherpesvirus 4 (EBV).nasal",0.0251007291925084,"*"
"24",-154.320924424749,1.72021714486505,1,0.189665096051573,"Anelloviridae.pbmc",0.210738995612859,"ns"
"25",-153.301439946323,3.75918610171686,1,0.0525181364055104,"Human betaherpesvirus 5 (CMV).pbmc",0.0875302273425173,"ns"
"26",-152.911073133555,4.53991972725464,1,0.0331131447513813,"Human gammaherpesvirus 4 (EBV).pbmc",0.0662262895027625,"ns"
"27",-86.8495009224959,0.10878503715162,1,0.741531615935319,"Human alphaherpesvirus 1 (HSV1).ea",0.741531615935319,"ns"
"28",-81.1615812848666,11.4846243124103,1,0.000701743103456165,"Human betaherpesvirus 5 (CMV).ea",0.00701743103456165,"**"
"29",-85.358750621794,3.09028563855549,1,0.078760981343566,"Human gammaherpesvirus 4 (EBV).ea",0.112515687633666,"ns"
