"","name","clm.p","n","p","p.signif","p.value","p.adj","TG4_v_TG5_p.adj","p.adj.signif","xpos","group1","group2","y.position"
"1","Anelloviridae.pbmc",1.36806868603061e-05,324,0.222,"ns",1.36806868603061e-05,5.01625184877892e-05,0.6105,"****",11,"filler_text","variable",40
"2","CMV.ea",0.194480070373197,149,0.0183,"*",0.0183,0.0287571428571429,0.2013,"*",10,"filler_text","variable",40
"3","CMV.nasal",0.000219648498480155,304,1,"ns",0.000219648498480155,0.00048322669665634,1,"***",9,"filler_text","variable",40
"4","CMV.pbmc",0.000903078815536702,324,0.0529,"ns",0.000903078815536702,0.00165564449515062,0.29095,"**",8,"filler_text","variable",40
"5","EBV.ea",0.354634418480915,149,0.738,"ns",0.738,0.738,1,"ns",7,"filler_text","variable",40
"6","EBV.nasal",8.99921039939535e-07,304,0.864,"ns",8.99921039939535e-07,4.94956571966744e-06,1,"****",6,"filler_text","variable",40
"7","EBV.pbmc",2.32215127969569e-10,324,0.903,"ns",2.32215127969569e-10,2.55436640766526e-09,1,"****",5,"filler_text","variable",40
"8","Enterovirus.nasal",0.29330300994665,304,0.401,"ns",0.29330300994665,0.322633310941315,0.8822,"ns",4,"filler_text","variable",40
"9","HSV1.ea",0.0581905949630468,149,0.153,"ns",0.153,0.210375,0.561,"ns",3,"filler_text","variable",40
"10","HSV1.nasal",1.92481656020098e-05,301,0.538,"ns",1.92481656020098e-05,5.29324554055271e-05,0.986333333333333,"****",2,"filler_text","variable",40
"11","HSV2.nasal",0.223711585735414,303,1,"ns",0.223711585735414,0.273425271454395,1,"ns",1,"filler_text","variable",40
