"","name",".y.","group1","group2","n","statistic","p","df","method","p.signif","med.adj.p","p.adj","p.adj.med","p.adj.med.signif","y.position","x","xmin","xmax"
"1","Anelloviridae.pbmc","diedever","Died","Survived",221,2.27896463499044,0.131,1,"Chi-square test","ns",0.0893166288062561,0.180125,0.122810364608602,"ns",40,11,10.8,11.2
"2","CMV.ea","diedever","Died","Survived",103,9.59552852186802,0.00195,1,"Chi-square test","**",0.00190668049061896,0.00715,0.006436026257598,"**",40,10,9.8,10.2
"3","CMV.nasal","diedever","Died","Survived",202,14.8411755706566,0.000117,1,"Chi-square test","***",0.000399038886976242,0.001287,0.00438942775673866,"**",40,9,8.8,9.2
"4","CMV.pbmc","diedever","Died","Survived",221,8.59057742488668,0.00338,1,"Chi-square test","**",0.00234037318458109,0.009295,0.006436026257598,"**",40,8,7.8,8.2
"5","EBV.ea","diedever","Died","Survived",103,3.31539996603261,0.0686,1,"Chi-square test","ns",0.0356529040245276,0.1078,0.0653636573783006,"ns",40,7,6.8,7.2
"6","EBV.nasal","diedever","Died","Survived",202,7.59511239885504,0.00585,1,"Chi-square test","**",0.00330786479198345,0.01287,0.0072773025423636,"**",40,6,5.8,6.2
"7","EBV.pbmc","diedever","Died","Survived",221,3.40109970945117,0.0652,1,"Chi-square test","ns",0.0463405053962536,0.1078,0.0728207941941128,"ns",40,5,4.8,5.2
"8","Enterovirus.nasal","diedever","Died","Survived",202,1.38666227455895,0.239,1,"Chi-square test","ns",0.114867193282111,0.292111111111111,0.140393236233691,"ns",40,4,3.8,4.2
"9","HSV1.ea","diedever","Died","Survived",103,0.0439884726535541,0.834,1,"Chi-square test","ns",0.644870254929395,0.834,0.709357280422335,"ns",40,3,2.8,3.2
"10","HSV1.nasal","diedever","Died","Survived",200,9.94197377746279,0.00162,1,"Chi-square test","**",0.00110588490548503,0.00715,0.00608236698016765,"**",40,2,1.8,2.2
"11","HSV2.nasal","diedever","Died","Survived",202,0.789799253034547,0.374,1,"Chi-square test","ns",0.999993276463034,0.4114,0.999993276463034,"ns",40,1,0.8,1.2
