"","term","npar","AIC","LRT","Pr(Chi)","virus","feature","coef_virus"
"1","<none>",NA,1401.7955743457,NA,NA,"Anelloviridae.pbmc","comorb_htn",0.340191851435472
"2","binary",1,1404.20466970986,4.40909536415734,0.0357477935917186,"Anelloviridae.pbmc","comorb_htn",0.340191851435472
"3","sex",1,1400.01423736945,0.218663023754743,0.640060520792329,"Anelloviridae.pbmc","comorb_htn",0.340191851435472
"4","discretized_admit_age_quantile",4,1518.31523264504,124.519658299338,5.78133014606714e-26,"Anelloviridae.pbmc","comorb_htn",0.340191851435472
"5","trajectory_group",4,1397.88620776938,4.09063342367813,0.393878888855373,"Anelloviridae.pbmc","comorb_htn",0.340191851435472
"6","<none>",NA,1433.74801157459,NA,NA,"Anelloviridae.pbmc","comorb_isaric_dm",0.121255544767751
"7","binary",1,1432.37146030642,0.623448731835879,0.429768595392653,"Anelloviridae.pbmc","comorb_isaric_dm",0.121255544767751
"8","sex",1,1442.48229403452,10.734282459932,0.00105168774616318,"Anelloviridae.pbmc","comorb_isaric_dm",0.121255544767751
"9","discretized_admit_age_quantile",4,1465.80309667597,40.0550851013857,4.21635631109797e-08,"Anelloviridae.pbmc","comorb_isaric_dm",0.121255544767751
"10","trajectory_group",4,1435.9072198415,10.1592082669135,0.037829557055283,"Anelloviridae.pbmc","comorb_isaric_dm",0.121255544767751
"11","<none>",NA,1063.51212565352,NA,NA,"Anelloviridae.pbmc","comorb_anyresp_noasthma",0.261742026399432
"12","binary",1,1063.51878522997,2.00665957644856,0.156609819454418,"Anelloviridae.pbmc","comorb_anyresp_noasthma",0.261742026399432
"13","sex",1,1061.76610241807,0.253976764546223,0.614288730953223,"Anelloviridae.pbmc","comorb_anyresp_noasthma",0.261742026399432
"14","discretized_admit_age_quantile",4,1095.42607433348,39.9139486799604,4.50946219419142e-08,"Anelloviridae.pbmc","comorb_anyresp_noasthma",0.261742026399432
"15","trajectory_group",4,1075.14442016121,19.6322945076911,0.000590165754794124,"Anelloviridae.pbmc","comorb_anyresp_noasthma",0.261742026399432
"16","<none>",NA,931.731684459091,NA,NA,"Anelloviridae.pbmc","comorb_isaric_asthma",0.140959845958064
"17","binary",1,930.182770002185,0.451085543093768,0.501819897579365,"Anelloviridae.pbmc","comorb_isaric_asthma",0.140959845958064
"18","sex",1,957.326801477094,27.5951170180022,1.49555840156906e-07,"Anelloviridae.pbmc","comorb_isaric_asthma",0.140959845958064
"19","discretized_admit_age_quantile",4,934.199231467125,10.4675470080336,0.0332469696061008,"Anelloviridae.pbmc","comorb_isaric_asthma",0.140959845958064
"20","trajectory_group",4,926.960327838929,3.22864337983731,0.520317010256394,"Anelloviridae.pbmc","comorb_isaric_asthma",0.140959845958064
"21","<none>",NA,1199.86695946747,NA,NA,"Anelloviridae.pbmc","comorb_isaric_cardiac",0.166626572356804
"22","binary",1,1198.80210186358,0.935142396118181,0.333530232068287,"Anelloviridae.pbmc","comorb_isaric_cardiac",0.166626572356804
"23","sex",1,1202.12923713752,4.26227767005389,0.0389676404708201,"Anelloviridae.pbmc","comorb_isaric_cardiac",0.166626572356804
"24","discretized_admit_age_quantile",4,1271.60056021729,79.7336007498266,1.98353205097029e-16,"Anelloviridae.pbmc","comorb_isaric_cardiac",0.166626572356804
"25","trajectory_group",4,1200.34907642977,8.48211696230328,0.0754311467045063,"Anelloviridae.pbmc","comorb_isaric_cardiac",0.166626572356804
"26","<none>",NA,920.27651318063,NA,NA,"Anelloviridae.pbmc","comorb_isaric_ckd",0.530661955946013
"27","binary",1,925.542133431007,7.2656202503772,0.00702869911564442,"Anelloviridae.pbmc","comorb_isaric_ckd",0.530661955946013
"28","sex",1,925.864352484831,7.58783930420111,0.00587633377324966,"Anelloviridae.pbmc","comorb_isaric_ckd",0.530661955946013
"29","discretized_admit_age_quantile",4,929.898194971972,17.6216817913422,0.00146287308936226,"Anelloviridae.pbmc","comorb_isaric_ckd",0.530661955946013
"30","trajectory_group",4,922.239648851739,9.96313567110894,0.0410532562556693,"Anelloviridae.pbmc","comorb_isaric_ckd",0.530661955946013
"31","<none>",NA,677.098206423926,NA,NA,"Anelloviridae.pbmc","comorb_isaric_neoplasm",0.270704053049937
"32","binary",1,676.289822598597,1.19161617467103,0.27500379697441,"Anelloviridae.pbmc","comorb_isaric_neoplasm",0.270704053049937
"33","sex",1,675.098220342293,1.39183670171406e-05,0.997023312825732,"Anelloviridae.pbmc","comorb_isaric_neoplasm",0.270704053049937
"34","discretized_admit_age_quantile",4,698.541650852755,29.4434444288289,6.35239355816195e-06,"Anelloviridae.pbmc","comorb_isaric_neoplasm",0.270704053049937
"35","trajectory_group",4,670.644879136734,1.54667271280732,0.818343063735288,"Anelloviridae.pbmc","comorb_isaric_neoplasm",0.270704053049937
"36","<none>",NA,793.966095570852,NA,NA,"Anelloviridae.pbmc","comorb_neuro",-0.13789383105778
"37","binary",1,792.313409080797,0.347313509945138,0.555637840721664,"Anelloviridae.pbmc","comorb_neuro",-0.13789383105778
"38","sex",1,793.602342321594,1.63624675074243,0.20084120764987,"Anelloviridae.pbmc","comorb_neuro",-0.13789383105778
"39","discretized_admit_age_quantile",4,819.290591073486,33.3244955026341,1.02499965187917e-06,"Anelloviridae.pbmc","comorb_neuro",-0.13789383105778
"40","trajectory_group",4,787.595336258747,1.62924068789505,0.803527334574685,"Anelloviridae.pbmc","comorb_neuro",-0.13789383105778
"41","<none>",NA,451.644080006428,NA,NA,"Anelloviridae.pbmc","comorb_isaric_liver",0.578923898038117
"42","binary",1,453.181240121922,3.53716011549488,0.0600081216900148,"Anelloviridae.pbmc","comorb_isaric_liver",0.578923898038117
"43","sex",1,449.673910297434,0.0298302910067605,0.86287586280429,"Anelloviridae.pbmc","comorb_isaric_liver",0.578923898038117
"44","discretized_admit_age_quantile",4,451.878830100675,8.23475009424777,0.0833477699285518,"Anelloviridae.pbmc","comorb_isaric_liver",0.578923898038117
"45","trajectory_group",4,445.512846760765,1.86876675433791,0.759879987312178,"Anelloviridae.pbmc","comorb_isaric_liver",0.578923898038117
"46","<none>",NA,371.150105018492,NA,NA,"Anelloviridae.pbmc","comorb_hxtrans",1.44539606425301
"47","binary",1,389.948605624972,20.7985006064794,5.10228939861802e-06,"Anelloviridae.pbmc","comorb_hxtrans",1.44539606425301
"48","sex",1,371.39376030563,2.24365528713747,0.134163494627952,"Anelloviridae.pbmc","comorb_hxtrans",1.44539606425301
"49","discretized_admit_age_quantile",4,384.540866093903,21.3907610754106,0.000264892466876483,"Anelloviridae.pbmc","comorb_hxtrans",1.44539606425301
"50","trajectory_group",4,371.491709688547,8.34160467005512,0.0798365014047014,"Anelloviridae.pbmc","comorb_hxtrans",1.44539606425301
"51","<none>",NA,204.262670469686,NA,NA,"Anelloviridae.pbmc","comorb_hiv2",0.719092077220231
"52","binary",1,204.288490695159,2.02582022547321,0.154645406536082,"Anelloviridae.pbmc","comorb_hiv2",0.719092077220231
"53","sex",1,202.448775902786,0.186105433100238,0.666177993880815,"Anelloviridae.pbmc","comorb_hiv2",0.719092077220231
"54","discretized_admit_age_quantile",4,209.923310292473,13.6606398227873,0.00846075771387198,"Anelloviridae.pbmc","comorb_hiv2",0.719092077220231
"55","trajectory_group",4,200.632778564987,4.37010809530136,0.358228298924977,"Anelloviridae.pbmc","comorb_hiv2",0.719092077220231
"56","<none>",NA,1347.95865837471,NA,NA,"Anelloviridae.pbmc","comorb_eversmkvape",-0.0464870305906844
"57","binary",1,1346.04102108642,0.0823627117147225,0.77412070871208,"Anelloviridae.pbmc","comorb_eversmkvape",-0.0464870305906844
"58","sex",1,1362.35881986682,16.4001614921133,5.12808603985518e-05,"Anelloviridae.pbmc","comorb_eversmkvape",-0.0464870305906844
"59","discretized_admit_age_quantile",4,1395.006263421,55.0476050462898,3.17520569079713e-11,"Anelloviridae.pbmc","comorb_eversmkvape",-0.0464870305906844
"60","trajectory_group",4,1343.11076561054,3.15210723583459,0.532700995924208,"Anelloviridae.pbmc","comorb_eversmkvape",-0.0464870305906844
