"","Clinical Variable","Rate of Clinical Event in Virus Negative Participants","Rate of Clinical Event in Virus Positive Participants","Percent Difference","virus"
"1","comorb_htn","55.8% (509/912)","71.6% (136/190)",15.8,"Anelloviridae.pbmc"
"2","comorb_isaric_dm","35.7% (326/912)","43.2% (82/190)",7.4,"Anelloviridae.pbmc"
"3","comorb_anyresp_noasthma","20.2% (184/912)","22.1% (42/190)",1.9,"Anelloviridae.pbmc"
"4","comorb_isaric_asthma","15% (137/912)","14.7% (28/190)",-0.3,"Anelloviridae.pbmc"
"5","comorb_isaric_cardiac","25.9% (236/912)","32.6% (62/190)",6.8,"Anelloviridae.pbmc"
"6","comorb_isaric_ckd","13.5% (123/912)","23.2% (44/190)",9.7,"Anelloviridae.pbmc"
"7","comorb_isaric_neoplasm","9% (82/912)","11.6% (22/190)",2.6,"Anelloviridae.pbmc"
"8","comorb_neuro","12% (109/912)","14.2% (27/190)",2.3,"Anelloviridae.pbmc"
"9","comorb_isaric_liver","4.3% (39/912)","8.4% (16/190)",4.1,"Anelloviridae.pbmc"
"10","comorb_hxtrans","4.1% (37/912)","14.7% (28/190)",10.7,"Anelloviridae.pbmc"
"11","comorb_hiv2","1.6% (15/912)","2.6% (5/190)",1,"Anelloviridae.pbmc"
"12","comorb_eversmkvape","31.9% (291/912)","33.7% (64/190)",1.8,"Anelloviridae.pbmc"
"13","comorb_anysubstance","7.6% (69/912)","6.8% (13/190)",-0.7,"Anelloviridae.pbmc"
"14","comorb_count","15.6% (142/912)","5.8% (11/190)",-9.8,"Anelloviridae.pbmc"
"15","comorb_countcat","15.6% (142/912)","5.8% (11/190)",-9.8,"Anelloviridae.pbmc"
"16","timesymptomcat","19.1% (174/912)","28.9% (55/190)",9.9,"Anelloviridae.pbmc"
"17","symptom_allresp","87.4% (797/912)","83.2% (158/190)",-4.2,"Anelloviridae.pbmc"
"18","symptom_cough","61.6% (562/912)","55.8% (106/190)",-5.8,"Anelloviridae.pbmc"
"19","symptom_cough_prod","13.5% (123/912)","16.8% (32/190)",3.4,"Anelloviridae.pbmc"
"20","symptom_haemoptysis","2.3% (21/912)","2.1% (4/190)",-0.2,"Anelloviridae.pbmc"
"21","symptom_sorethroat","8.9% (81/912)","7.4% (14/190)",-1.5,"Anelloviridae.pbmc"
"22","symptom_rhinorrhea","4.8% (44/912)","4.2% (8/190)",-0.6,"Anelloviridae.pbmc"
"23","symptom_wheeze","5% (46/912)","6.3% (12/190)",1.3,"Anelloviridae.pbmc"
"24","symptom_chestpain","20.2% (184/912)","16.8% (32/190)",-3.3,"Anelloviridae.pbmc"
"25","symptom_dyspnea","73% (666/912)","67.9% (129/190)",-5.1,"Anelloviridae.pbmc"
"26","symptom_chestwall","0.1% (1/910)","0% (0/190)",-0.1,"Anelloviridae.pbmc"
"27","symptom_earpain","0.2% (2/912)","0.5% (1/190)",0.3,"Anelloviridae.pbmc"
"28","symptom_conjunctivitis","0.2% (2/912)","0% (0/190)",-0.2,"Anelloviridae.pbmc"
"29","symptom_allsyst","72.4% (660/912)","67.9% (129/190)",-4.5,"Anelloviridae.pbmc"
"30","symptom_fever","49.7% (453/912)","45.8% (87/190)",-3.9,"Anelloviridae.pbmc"
"31","symptom_chills","25.2% (230/912)","21.1% (40/190)",-4.2,"Anelloviridae.pbmc"
"32","symptom_shaking","1.3% (12/911)","0.5% (1/190)",-0.8,"Anelloviridae.pbmc"
"33","symptom_fatigue","41.8% (381/912)","38.4% (73/190)",-3.4,"Anelloviridae.pbmc"
"34","symptom_myalgia","24.5% (223/912)","18.9% (36/190)",-5.5,"Anelloviridae.pbmc"
"35","symptom_lymphadenopathy","0.3% (3/912)","1.1% (2/190)",0.7,"Anelloviridae.pbmc"
"36","symptom_allneuro","30.6% (279/912)","29.5% (56/190)",-1.1,"Anelloviridae.pbmc"
"37","symptom_headache","17.9% (163/912)","14.7% (28/190)",-3.1,"Anelloviridae.pbmc"
"38","symptom_confusion","4.9% (45/912)","6.8% (13/190)",1.9,"Anelloviridae.pbmc"
"39","symptom_seizure","0.3% (3/912)","0% (0/190)",-0.3,"Anelloviridae.pbmc"
"40","symptom_syncope","1.9% (17/912)","0.5% (1/190)",-1.3,"Anelloviridae.pbmc"
"41","symptom_anosmia","10.1% (92/912)","10% (19/190)",-0.1,"Anelloviridae.pbmc"
"42","symptom_allGI","39.8% (363/912)","33.7% (64/190)",-6.1,"Anelloviridae.pbmc"
"43","symptom_abdpain","9.5% (87/912)","12.6% (24/190)",3.1,"Anelloviridae.pbmc"
"44","symptom_nausea","23.1% (211/912)","16.8% (32/190)",-6.3,"Anelloviridae.pbmc"
"45","symptom_diarrhea","23% (210/912)","16.3% (31/190)",-6.7,"Anelloviridae.pbmc"
"46","symptom_allderm","1.2% (11/912)","1.1% (2/190)",-0.2,"Anelloviridae.pbmc"
"47","symptom_skinrash","1% (9/912)","0.5% (1/190)",-0.5,"Anelloviridae.pbmc"
"48","symptom_skinulcer","0.2% (2/912)","0.5% (1/190)",0.3,"Anelloviridae.pbmc"
"49","symptom_allother","8.1% (74/912)","8.9% (17/190)",0.8,"Anelloviridae.pbmc"
