""," Clinical Variable","TG1 Percent Difference","TG1 Rate of Clinical Event in Virus Negative Participants","TG1 Rate of Clinical Event in Virus Positive Participants","TG2 Percent Difference","TG2 Rate of Clinical Event in Virus Negative Participants","TG2 Rate of Clinical Event in Virus Positive Participants","TG3 Percent Difference","TG3 Rate of Clinical Event in Virus Negative Participants","TG3 Rate of Clinical Event in Virus Positive Participants","TG4 Percent Difference","TG4 Rate of Clinical Event in Virus Negative Participants","TG4 Rate of Clinical Event in Virus Positive Participants","TG5 Percent Difference","TG5 Rate of Clinical Event in Virus Negative Participants","TG5 Rate of Clinical Event in Virus Positive Participants","virus"
"1","comorb_htn",10.2,"54.8% (103/188)","65% (13/20)",38.3,"52.2% (109/209)","90.5% (38/42)",10.2,"53.5% (147/275)","63.6% (28/44)",14.4,"56.6% (90/159)","71% (44/62)",-15,"74.1% (60/81)","59.1% (13/22)","Anelloviridae.pbmc"
"2","comorb_isaric_dm",5.6,"39.4% (74/188)","45% (9/20)",3.2,"30.1% (63/209)","33.3% (14/42)",12.3,"30.9% (85/275)","43.2% (19/44)",9.1,"40.9% (65/159)","50% (31/62)",-7.2,"48.1% (39/81)","40.9% (9/22)","Anelloviridae.pbmc"
"3","comorb_anyresp_noasthma",-2.8,"12.8% (24/188)","10% (2/20)",0.4,"18.7% (39/209)","19% (8/42)",14.5,"21.8% (60/275)","36.4% (16/44)",-2.1,"18.2% (29/159)","16.1% (10/62)",-12.2,"39.5% (32/81)","27.3% (6/22)","Anelloviridae.pbmc"
"4","comorb_isaric_asthma",-2.6,"17.6% (33/188)","15% (3/20)",-1,"17.7% (37/209)","16.7% (7/42)",3.2,"12.7% (35/275)","15.9% (7/44)",0.1,"14.5% (23/159)","14.5% (9/62)",-2,"11.1% (9/81)","9.1% (2/22)","Anelloviridae.pbmc"
"5","comorb_isaric_cardiac",-5,"25% (47/188)","20% (4/20)",15.6,"22.5% (47/209)","38.1% (16/42)",23.4,"24.4% (67/275)","47.7% (21/44)",2.2,"22% (35/159)","24.2% (15/62)",-22.1,"49.4% (40/81)","27.3% (6/22)","Anelloviridae.pbmc"
"6","comorb_isaric_ckd",17.8,"12.2% (23/188)","30% (6/20)",15.2,"11% (23/209)","26.2% (11/42)",10.5,"14.5% (40/275)","25% (11/44)",7.7,"10.1% (16/159)","17.7% (11/62)",-3.2,"25.9% (21/81)","22.7% (5/22)","Anelloviridae.pbmc"
"7","comorb_isaric_neoplasm",-4,"9% (17/188)","5% (1/20)",5.7,"8.6% (18/209)","14.3% (6/42)",2.6,"8.7% (24/275)","11.4% (5/44)",4.4,"6.9% (11/159)","11.3% (7/62)",-1.2,"14.8% (12/81)","13.6% (3/22)","Anelloviridae.pbmc"
"8","comorb_neuro",-6.2,"11.2% (21/188)","5% (1/20)",6.1,"10.5% (22/209)","16.7% (7/42)",14.5,"12.7% (35/275)","27.3% (12/44)",-5.5,"11.9% (19/159)","6.5% (4/62)",-1.2,"14.8% (12/81)","13.6% (3/22)","Anelloviridae.pbmc"
"9","comorb_isaric_liver",0.7,"4.3% (8/188)","5% (1/20)",10,"4.3% (9/209)","14.3% (6/42)",5.8,"3.3% (9/275)","9.1% (4/44)",2.4,"5.7% (9/159)","8.1% (5/62)",-4.9,"4.9% (4/81)","0% (0/22)","Anelloviridae.pbmc"
"10","comorb_hxtrans",0.7,"4.3% (8/188)","5% (1/20)",18.6,"2.9% (6/209)","21.4% (9/42)",10.5,"5.5% (15/275)","15.9% (7/44)",13.6,"2.5% (4/159)","16.1% (10/62)",-0.4,"4.9% (4/81)","4.5% (1/22)","Anelloviridae.pbmc"
