"","loglik","Chisq","Df","P(>|Chi|)","virus","p.adj","p.adj.signif"
"2",-756.380582022016,0.015290023149646,1,0.901590158628914,"Anelloviridae.pbmc",0.951227077967526,"ns"
"21",-748.9889529391,0.523619870236189,1,0.469301619837489,"Enterovirus.nasal",0.951227077967526,"ns"
"22",-743.738885799884,0.00374126866745428,1,0.951227077967526,"Human alphaherpesvirus 1 (HSV1).nasal",0.951227077967526,"ns"
"23",-744.619540259112,0.00426212327352005,1,0.947947133616967,"Human alphaherpesvirus 2 (HSV2).nasal",0.951227077967526,"ns"
"24",-749.176846298938,0.147833150559336,1,0.700614737231737,"Human betaherpesvirus 5 (CMV).nasal",0.951227077967526,"ns"
"25",-756.329779719079,0.11689462902541,1,0.732427229293596,"Human betaherpesvirus 5 (CMV).pbmc",0.951227077967526,"ns"
"26",-749.172533128713,0.156459491008491,1,0.692437319518387,"Human gammaherpesvirus 4 (EBV).nasal",0.951227077967526,"ns"
"27",-755.766288585674,1.24387689583386,1,0.264725187559142,"Human gammaherpesvirus 4 (EBV).pbmc",0.727994265787641,"ns"
"28",-215.8890403605,4.03857723013186,1,0.0444712993511155,"Human alphaherpesvirus 1 (HSV1).ea",0.16306143095409,"ns"
"29",-212.386011417361,11.0446351164086,1,0.000889442070585944,"Human betaherpesvirus 5 (CMV).ea",0.00978386277644538,"**"
"210",-215.57129875695,4.67406043723196,1,0.030621448574215,"Human gammaherpesvirus 4 (EBV).ea",0.16306143095409,"ns"
