trajectory_group,name,freq,count,positive,pos_freq,upper_CI,lower_CI,.group
1,Anelloviridae.pbmc,9.615384615384617,208,20.000000000000004,10.526315789473687,0.1466301992517125,0.061180326215589276,1
1,CMV.ea,0,0,0,0,NA,NA,2
1,CMV.nasal,0,193,0,0,0.024325200765562462,0,3
1,CMV.pbmc,0.4807692307692308,208,1,2.4390243902439024,0.030627975074397438,2.510133337250661e-4,4
1,EBV.ea,0,0,0,0,NA,NA,5
1,EBV.nasal,1.5544041450777202,193,3,4,0.04841730441629868,0.004023002363313275,6
1,EBV.pbmc,13.942307692307693,208,29,10.211267605633804,0.1957483614215309,0.09683027736246627,7
1,Enterovirus.nasal,3.1088082901554404,193,6,12,0.06957366756394107,0.012699774751566521,8
1,HSV1.ea,0,0,0,0,NA,NA,9
1,HSV1.nasal,6.770833333333333,192,13,12.871287128712872,0.11552747445309547,0.03804457126188883,10
1,HSV2.nasal,0,193,0,0,0.024325200765562462,0,11
2,Anelloviridae.pbmc,16.733067729083665,251,42,22.105263157894736,0.22062178721466982,0.12449565929580092,1
2,CMV.ea,0,0,0,0,NA,NA,2
2,CMV.nasal,0.43668122270742354,229,0.9999999999999999,4.545454545454545,0.027868301522735617,2.2799038622786844e-4,3
2,CMV.pbmc,3.187250996015936,251,8,19.51219512195122,0.06418385832957195,0.014894950557950827,4
2,EBV.ea,0,0,0,0,NA,NA,5
2,EBV.nasal,3.9301310043668125,229,9.000000000000002,12.000000000000002,0.0757561806207253,0.019299421554970993,6
2,EBV.pbmc,21.51394422310757,251,54,19.014084507042252,0.2721942964242156,0.1670052978210951,7
2,Enterovirus.nasal,4.366812227074235,229,9.999999999999998,19.999999999999996,0.08123537841010915,0.02234258124231477,8
2,HSV1.ea,0,0,0,0,NA,NA,9
2,HSV1.nasal,7.5892857142857135,224,16.999999999999996,16.83168316831683,0.12080322970666371,0.04617722640039562,10
2,HSV2.nasal,0,229,0,0,0.020564951065072775,0,11
3,Anelloviridae.pbmc,13.793103448275861,319,44,23.157894736842106,0.18182388561228532,0.10300710779851911,1
3,CMV.ea,0,0,0,0,NA,NA,2
3,CMV.nasal,1.3157894736842104,304,3.9999999999999996,18.18181818181818,0.03564379823388534,0.0042233073753570076,3
3,CMV.pbmc,1.5673981191222568,319,4.999999999999999,12.19512195121951,0.03830276861613421,0.005784568370981055,4
3,EBV.ea,0,0,0,0,NA,NA,5
3,EBV.nasal,5.921052631578947,304,17.999999999999996,23.999999999999996,0.09359710883411605,0.036488386232816465,6
3,EBV.pbmc,23.824451410658305,319,75.99999999999999,26.76056338028169,0.2895852726815409,0.19334010470892174,7
3,Enterovirus.nasal,6.25,304,19,38,0.0974884776296496,0.03907332151387261,8
3,HSV1.ea,0,0,0,0,NA,NA,9
3,HSV1.nasal,4.635761589403973,302,14,13.861386138613863,0.07831420082907885,0.026565380214387,10
3,HSV2.nasal,0.6578947368421052,304,1.9999999999999998,49.99999999999999,0.026168724382667985,0.001140345875530722,11
4,Anelloviridae.pbmc,28.054298642533936,221,62,32.631578947368425,0.3455001321912424,0.22336817249849386,1
4,CMV.ea,10.679611650485436,103,10.999999999999998,100,0.18694151806543832,0.05712278982237155,2
4,CMV.nasal,5.445544554455446,202,11,50,0.09791536612084546,0.028884148101219916,3
4,CMV.pbmc,10.407239819004525,221,23,56.09756097560976,0.15391168187737841,0.06850534390169707,4
4,EBV.ea,6.796116504854369,103,7,63.63636363636363,0.1397823830610712,0.030106311346970116,5
4,EBV.nasal,15.346534653465346,202,31,41.333333333333336,0.21233758091873528,0.10815998817547211,6
4,EBV.pbmc,38.91402714932127,221,86,30.28169014084507,0.4570801211317247,0.3251206692050572,7
4,Enterovirus.nasal,5.9405940594059405,202,12,24,0.10397248314179476,0.03248333477485397,8
4,HSV1.ea,38.83495145631068,103,39.99999999999999,62.5,0.48974406297845097,0.2953899064741447,9
4,HSV1.nasal,20,200,40,39.603960396039604,0.26355768022165726,0.14825196642066782,10
4,HSV2.nasal,0.49504950495049505,202,1,25,0.031519761697612454,2.5847073874544444e-4,11
5,Anelloviridae.pbmc,21.35922330097087,103,21.999999999999996,11.578947368421051,0.3075694791079286,0.1414400455888535,1
5,CMV.ea,0,46,0,0,0.09600134929336619,0,2
5,CMV.nasal,5.88235294117647,102,6,27.27272727272727,0.12871489381278814,0.024137309919561204,3
5,CMV.pbmc,3.8834951456310676,103,3.9999999999999996,9.75609756097561,0.10218368094594746,0.012513193946576259,4
5,EBV.ea,8.695652173913043,46,4,36.36363636363637,0.21693111075554586,0.02822629573177516,5
5,EBV.nasal,13.725490196078432,102,14,18.666666666666668,0.22292901394043202,0.07977268756171725,6
5,EBV.pbmc,37.86407766990291,103,39,13.732394366197184,0.4799781925305887,0.2864738118032822,7
5,Enterovirus.nasal,2.941176470588235,102,3,6,0.08979451521605976,0.007626670752616814,8
5,HSV1.ea,52.17391304347826,46,24,37.50000000000001,0.6686333386585149,0.37125145543714855,9
5,HSV1.nasal,16.831683168316832,101,17,16.831683168316832,0.25866884510151883,0.1038669661509658,10
5,HSV2.nasal,0.9900990099009901,101,1,25,0.061818015557370765,5.170499219877757e-4,11
