name,discretized_admit_age_quantile,mean,count,positive,.group
Anelloviridae.pbmc,"[18,35]",8.60215053763441,93,8.000000000000002,1
Anelloviridae.pbmc,"[36,51]",12.851405622489958,249,31.999999999999996,1
Anelloviridae.pbmc,"[52,66]",18.491484184914842,411,76,1
Anelloviridae.pbmc,"[67,81]",18.835616438356166,292,55,1
Anelloviridae.pbmc,"[82,96]",32.20338983050847,59,18.999999999999996,1
CMV.ea,"[18,35]",0,5,0,2
CMV.ea,"[36,51]",3.571428571428571,28,1,2
CMV.ea,"[52,66]",10.76923076923077,65,7,2
CMV.ea,"[67,81]",5.660377358490567,53,3,2
CMV.ea,"[82,96]",0,6,0,2
CMV.nasal,"[18,35]",0,83,0,3
CMV.nasal,"[36,51]",1.7094017094017095,234,4.000000000000001,3
CMV.nasal,"[52,66]",2.072538860103627,386,8.000000000000002,3
CMV.nasal,"[67,81]",2.877697841726619,278,8.000000000000002,3
CMV.nasal,"[82,96]",3.7037037037037033,54,1.9999999999999998,3
CMV.pbmc,"[18,35]",2.1505376344086025,93,2.0000000000000004,4
CMV.pbmc,"[36,51]",3.614457831325301,249,8.999999999999998,4
CMV.pbmc,"[52,66]",3.40632603406326,411,14,4
CMV.pbmc,"[67,81]",4.794520547945205,292,14,4
CMV.pbmc,"[82,96]",3.389830508474576,59,2,4
EBV.ea,"[18,35]",0,5,0,5
EBV.ea,"[36,51]",0,28,0,5
EBV.ea,"[52,66]",9.230769230769232,65,6.000000000000001,5
EBV.ea,"[67,81]",9.433962264150944,53,5.000000000000001,5
EBV.ea,"[82,96]",0,6,0,5
EBV.nasal,"[18,35]",1.2048192771084338,83,1.0000000000000002,6
EBV.nasal,"[36,51]",5.555555555555555,234,13,6
EBV.nasal,"[52,66]",8.808290155440414,386,33.99999999999999,6
EBV.nasal,"[67,81]",8.273381294964029,278,23,6
EBV.nasal,"[82,96]",9.25925925925926,54,5,6
EBV.pbmc,"[18,35]",19.35483870967742,93,18,7
EBV.pbmc,"[36,51]",22.08835341365462,249,55,7
EBV.pbmc,"[52,66]",24.330900243309003,411,100,7
EBV.pbmc,"[67,81]",32.19178082191781,292,94,7
EBV.pbmc,"[82,96]",32.20338983050847,59,18.999999999999996,7
Enterovirus.nasal,"[18,35]",4.819277108433735,83,4.000000000000001,8
Enterovirus.nasal,"[36,51]",5.555555555555555,234,13,8
Enterovirus.nasal,"[52,66]",5.699481865284974,386,22,8
Enterovirus.nasal,"[67,81]",3.237410071942446,278,9,8
Enterovirus.nasal,"[82,96]",3.7037037037037033,54,1.9999999999999998,8
HSV1.ea,"[18,35]",60,5,3,9
HSV1.ea,"[36,51]",25,28,7,9
HSV1.ea,"[52,66]",47.69230769230769,65,31,9
HSV1.ea,"[67,81]",45.28301886792453,53,24,9
HSV1.ea,"[82,96]",33.33333333333333,6,1.9999999999999998,9
HSV1.nasal,"[18,35]",14.457831325301203,83,11.999999999999998,10
HSV1.nasal,"[36,51]",11.11111111111111,234,26,10
HSV1.nasal,"[52,66]",12.435233160621761,386,48,10
HSV1.nasal,"[67,81]",13.66906474820144,278,38,10
HSV1.nasal,"[82,96]",12.962962962962962,54,7,10
HSV2.ea,"[18,35]",20,5,1,11
HSV2.ea,"[36,51]",10.714285714285714,28,3,11
HSV2.ea,"[52,66]",9.230769230769232,65,6.000000000000001,11
HSV2.ea,"[67,81]",7.547169811320755,53,4,11
HSV2.ea,"[82,96]",16.666666666666664,6,0.9999999999999999,11
HSV2.nasal,"[18,35]",2.4096385542168677,83,2.0000000000000004,12
HSV2.nasal,"[36,51]",0.8547008547008548,234,2.0000000000000004,12
HSV2.nasal,"[52,66]",3.1088082901554404,386,12,12
HSV2.nasal,"[67,81]",4.676258992805756,278,13,12
HSV2.nasal,"[82,96]",1.8518518518518516,54,0.9999999999999999,12
