name,discretized_admit_age_quantile,mean,count,positive,upper_CI,lower_CI,.group
Anelloviridae.pbmc,"[18,35]",8.791208791208792,91,8.000000000000002,0.17071248655044255,0.04145917702613372,1
Anelloviridae.pbmc,"[36,51]",12.851405622489958,249,31.999999999999996,0.17803697061955645,0.09081539575497538,1
Anelloviridae.pbmc,"[52,66]",18.491484184914842,411,76,0.22660406773596026,0.14924872712224643,1
Anelloviridae.pbmc,"[67,81]",18.835616438356166,292,55,0.23898295995518856,0.14612842078255514,1
Anelloviridae.pbmc,"[82,96]",32.20338983050847,59,18.999999999999996,0.4576324124103431,0.20968547000477,1
CMV.ea,"[18,35]",0,5,0,0.5370560174675231,0,2
CMV.ea,"[36,51]",3.571428571428571,28,1,0.2023908332249696,0.0018671179938850948,2
CMV.ea,"[52,66]",10.76923076923077,65,7,0.21530909906292583,0.04802157106336582,2
CMV.ea,"[67,81]",5.660377358490567,53,3,0.16627677724498818,0.014733194768114936,2
CMV.ea,"[82,96]",0,6,0,0.483182948786343,0,2
CMV.nasal,"[18,35]",0,81,0,0.05641999234845861,0,3
CMV.nasal,"[36,51]",1.7094017094017095,234,4.000000000000001,0.046098871319829385,0.005489925124681276,3
CMV.nasal,"[52,66]",2.072538860103627,386,8.000000000000002,0.042040665060774335,0.009668418744452942,3
CMV.nasal,"[67,81]",2.888086642599278,277,8,0.05827289228482066,0.01349043228208527,3
CMV.nasal,"[82,96]",3.8461538461538463,52,2,0.14331263741761308,0.00668985513924463,3
CMV.pbmc,"[18,35]",2.197802197802198,91,2.0000000000000004,0.08467079474128339,0.0038158913848454668,4
CMV.pbmc,"[36,51]",3.614457831325301,249,8.999999999999998,0.0698024346405258,0.01774036154822161,4
CMV.pbmc,"[52,66]",3.40632603406326,411,14,0.05785022797484302,0.019484026105208083,4
CMV.pbmc,"[67,81]",4.794520547945205,292,14,0.08094080620106509,0.02748173803738748,4
CMV.pbmc,"[82,96]",3.389830508474576,59,2,0.1274703855678135,0.0058931966868041126,4
EBV.ea,"[18,35]",0,5,0,0.5370560174675231,0,5
EBV.ea,"[36,51]",0,28,0,0.15018178303032315,0,5
EBV.ea,"[52,66]",9.230769230769232,65,6.000000000000001,0.1966196539949197,0.038084993325462044,5
EBV.ea,"[67,81]",9.433962264150944,53,5.000000000000001,0.21423221570440235,0.03525488047711422,5
EBV.ea,"[82,96]",0,6,0,0.483182948786343,0,5
EBV.nasal,"[18,35]",1.2345679012345678,81,1,0.07634989831991455,6.447833872600987e-4,6
EBV.nasal,"[36,51]",5.128205128205128,234,12,0.09010578188127721,0.028005753796863774,6
EBV.nasal,"[52,66]",8.808290155440414,386,33.99999999999999,0.12203178146392656,0.06261830607184708,6
EBV.nasal,"[67,81]",8.303249097472925,277,23,0.1235956013350383,0.05449600489836362,6
EBV.nasal,"[82,96]",9.615384615384617,52,5.000000000000001,0.21798924384145685,0.03594346008223864,6
EBV.pbmc,"[18,35]",19.78021978021978,91,18,0.2971968677867047,0.12447959756061223,7
EBV.pbmc,"[36,51]",21.686746987951807,249,54,0.27429157328722004,0.16838045632316195,7
EBV.pbmc,"[52,66]",24.087591240875913,411,99,0.28576961483110025,0.2009215498641761,7
EBV.pbmc,"[67,81]",32.19178082191781,292,94,0.3792826917017409,0.2693243445138632,7
EBV.pbmc,"[82,96]",32.20338983050847,59,18.999999999999996,0.4576324124103431,0.20968547000477,7
Enterovirus.nasal,"[18,35]",4.938271604938271,81,4,0.12841112258680765,0.01593736234722097,8
Enterovirus.nasal,"[36,51]",5.555555555555555,234,13,0.0953170633960824,0.03115759652087663,8
Enterovirus.nasal,"[52,66]",5.699481865284974,386,22,0.08630385242097137,0.036894525533707985,8
Enterovirus.nasal,"[67,81]",3.2490974729241873,277,8.999999999999998,0.0628833005819084,0.015937870286386997,8
Enterovirus.nasal,"[82,96]",3.8461538461538463,52,2,0.14331263741761308,0.00668985513924463,8
HSV1.ea,"[18,35]",60,5,3,0.9274159600143366,0.17042358064358784,9
HSV1.ea,"[36,51]",25,28,7,0.4522083862091417,0.11429396075722854,9
HSV1.ea,"[52,66]",47.69230769230769,65,31,0.603532805691015,0.3530473536531627,9
HSV1.ea,"[67,81]",45.28301886792453,53,24,0.5944514642377945,0.3180179108631919,9
HSV1.ea,"[82,96]",33.33333333333333,6,1.9999999999999998,0.7589217890180476,0.059989704688421214,9
HSV1.nasal,"[18,35]",10.126582278481013,79,8,0.19495472690617463,0.04786257091062101,10
HSV1.nasal,"[36,51]",7.35930735930736,231,17.000000000000004,0.11724419739599515,0.04476269551877939,10
HSV1.nasal,"[52,66]",9.947643979057592,382,38,0.1350599665794279,0.0722112096721273,10
HSV1.nasal,"[67,81]",12,275,33,0.16577008708905286,0.08518772181347667,10
HSV1.nasal,"[82,96]",9.615384615384617,52,5.000000000000001,0.21798924384145685,0.03594346008223864,10
HSV2.nasal,"[18,35]",0,81,0,0.05641999234845861,0,11
HSV2.nasal,"[36,51]",0.4273504273504274,234,1.0000000000000002,0.027282995315161533,2.2311791501283888e-4,11
HSV2.nasal,"[52,66]",0.2590673575129534,386,1.0000000000000002,0.016651376043036303,1.3524837152576605e-4,11
HSV2.nasal,"[67,81]",0.7246376811594203,276,2,0.0287831406146332,0.0012561240717609225,11
HSV2.nasal,"[82,96]",0,52,0,0.0856954102509626,0,11
