name,sex,mean,count,positive,.group
Anelloviridae.pbmc,Female,15.74074074074074,432,68,1
Anelloviridae.pbmc,Male,18.154761904761905,672,122,1
CMV.ea,Female,10.416666666666668,48,5.000000000000001,2
CMV.ea,Male,5.5045871559633035,109,6.000000000000001,2
CMV.nasal,Female,1.7766497461928936,394,7.000000000000001,3
CMV.nasal,Male,2.3400936037441498,641,15,3
CMV.pbmc,Female,3.935185185185185,432,17,4
CMV.pbmc,Male,3.571428571428571,672,24,4
EBV.ea,Female,8.333333333333332,48,3.9999999999999996,5
EBV.ea,Male,6.422018348623854,109,7.000000000000001,5
EBV.nasal,Female,9.390862944162437,394,37.00000000000001,6
EBV.nasal,Male,6.084243369734789,641,39,6
EBV.pbmc,Female,24.074074074074073,432,104,7
EBV.pbmc,Male,27.083333333333332,672,182,7
Enterovirus.nasal,Female,5.583756345177665,394,22,8
Enterovirus.nasal,Male,4.368174726989079,641,28,8
HSV1.ea,Female,41.66666666666667,48,20.000000000000004,9
HSV1.ea,Male,43.11926605504588,109,47.00000000000001,9
HSV1.nasal,Female,12.690355329949238,394,50,10
HSV1.nasal,Male,12.636505460218409,641,81,10
HSV2.ea,Female,10.416666666666668,48,5.000000000000001,11
HSV2.ea,Male,9.174311926605505,109,10,11
HSV2.nasal,Female,2.284263959390863,394,9,12
HSV2.nasal,Male,3.2761310452418098,641,21,12
