name,ever_remdes,mean,count,positive,.group
Anelloviridae.pbmc,No Remdesivir,16.826923076923077,416,70,1
Anelloviridae.pbmc,Remdesivir,17.441860465116278,688,120,1
Enterovirus.nasal,No Remdesivir,3.5897435897435894,390,13.999999999999998,8
Enterovirus.nasal,Remdesivir,5.5813953488372094,645,36,8
HSV1.ea,No Remdesivir,44,50,22,9
HSV1.ea,Remdesivir,42.05607476635514,107,45,9
HSV1.nasal,No Remdesivir,12.307692307692308,390,48,10
HSV1.nasal,Remdesivir,12.868217054263567,645,83.00000000000001,10
HSV2.ea,No Remdesivir,8,50,4,11
HSV2.ea,Remdesivir,10.2803738317757,107,10.999999999999998,11
HSV2.nasal,No Remdesivir,2.564102564102564,390,9.999999999999998,12
HSV2.nasal,Remdesivir,3.10077519379845,645,20.000000000000004,12
CMV.ea,No Remdesivir,8,50,4,2
CMV.ea,Remdesivir,6.5420560747663545,107,6.999999999999999,2
CMV.nasal,No Remdesivir,2.564102564102564,390,9.999999999999998,3
CMV.nasal,Remdesivir,1.8604651162790697,645,12,3
CMV.pbmc,No Remdesivir,3.125,416,13,4
CMV.pbmc,Remdesivir,4.069767441860465,688,28,4
EBV.ea,No Remdesivir,2,50,1,5
EBV.ea,Remdesivir,9.345794392523365,107,10,5
EBV.nasal,No Remdesivir,5.641025641025641,390,22,6
EBV.nasal,Remdesivir,8.372093023255815,645,54,6
EBV.pbmc,No Remdesivir,21.875,416,91,7
EBV.pbmc,Remdesivir,28.343023255813954,688,195,7
