name,ever_steroids,mean,count,positive,.group
Anelloviridae.pbmc,No Steroids,16.138328530259365,347,56,1
Anelloviridae.pbmc,Steroids,17.701453104359313,757,134,1
Enterovirus.nasal,No Steroids,3.761755485893417,319,12,8
Enterovirus.nasal,Steroids,5.307262569832402,716,38,8
HSV1.ea,No Steroids,36.36363636363637,22,8.000000000000002,9
HSV1.ea,Steroids,43.7037037037037,135,59,9
HSV1.nasal,No Steroids,7.886435331230284,317,25,10
HSV1.nasal,Steroids,10.74964639321075,707,76,10
HSV2.nasal,No Steroids,0,319,0,11
HSV2.nasal,Steroids,0.5594405594405595,715,4.000000000000001,11
CMV.ea,No Steroids,9.090909090909092,22,2.0000000000000004,2
CMV.ea,Steroids,6.666666666666667,135,9,2
CMV.nasal,No Steroids,2.19435736677116,319,7,3
CMV.nasal,Steroids,2.094972067039106,716,15,3
CMV.pbmc,No Steroids,2.5936599423631126,347,9.000000000000002,4
CMV.pbmc,Steroids,4.227212681638045,757,32.00000000000001,4
EBV.ea,No Steroids,4.545454545454546,22,1.0000000000000002,5
EBV.ea,Steroids,7.4074074074074066,135,9.999999999999998,5
EBV.nasal,No Steroids,6.269592476489027,319,19.999999999999996,6
EBV.nasal,Steroids,7.82122905027933,716,56,6
EBV.pbmc,No Steroids,21.613832853025936,347,75,7
EBV.pbmc,Steroids,27.873183619550858,757,211,7
