name,ethnicity,mean,count,positive,upper_CI,lower_CI,.group
Anelloviridae.pbmc,Hispanic or Latino,16.519174041297934,339,55.99999999999999,0.21002692635380027,0.12813656296511994,1
Anelloviridae.pbmc,Not Hispanic or Latino,17.891816920943135,721,129,0.2093061228686803,0.15201748458659214,1
Anelloviridae.pbmc,Not Specified,11.904761904761903,42,4.999999999999999,0.26431360290079875,0.0446685532373021,1
CMV.ea,Hispanic or Latino,7.894736842105263,76,6,0.16997173342254804,0.03250118580484809,2
CMV.ea,Not Hispanic or Latino,6.8493150684931505,73,5,0.15928903635152622,0.02548949037809803,2
CMV.ea,Not Specified,0,8,0,0.402296702340649,0,2
CMV.nasal,Hispanic or Latino,3.761755485893417,319,12,0.06653256957945017,0.020500074954640974,3
CMV.nasal,Not Hispanic or Latino,1.046337817638266,669,7,0.022432060105569602,0.004592546762930591,3
CMV.nasal,Not Specified,7.142857142857142,42,3,0.2055445988824479,0.01863051271594155,3
CMV.pbmc,Hispanic or Latino,6.1946902654867255,339,21,0.09457166789812714,0.039689706618937115,4
CMV.pbmc,Not Hispanic or Latino,2.496532593619972,721,17.999999999999996,0.03995465932187083,0.015309673099711435,4
CMV.pbmc,Not Specified,4.761904761904762,42,2,0.17423985066574993,0.008291010949345468,4
EBV.ea,Hispanic or Latino,7.894736842105263,76,6,0.16997173342254804,0.03250118580484809,5
EBV.ea,Not Hispanic or Latino,6.8493150684931505,73,5,0.15928903635152622,0.02548949037809803,5
EBV.ea,Not Specified,0,8,0,0.402296702340649,0,5
EBV.nasal,Hispanic or Latino,10.658307210031348,319,34,0.14701006199298128,0.07594521904978346,6
EBV.nasal,Not Hispanic or Latino,5.680119581464873,669,38,0.07785205490506211,0.04102387148488904,6
EBV.nasal,Not Specified,7.142857142857142,42,3,0.2055445988824479,0.01863051271594155,6
EBV.pbmc,Hispanic or Latino,31.858407079646017,339,108,0.37149644855683167,0.26985725519024534,7
EBV.pbmc,Not Hispanic or Latino,22.607489597780862,721,163.00000000000003,0.25873484975599886,0.19638409376410987,7
EBV.pbmc,Not Specified,30.952380952380953,42,13,0.4724127345223994,0.18114265005638516,7
Enterovirus.nasal,Hispanic or Latino,5.6426332288401255,319,18,0.08928586104306184,0.0347586513910778,8
Enterovirus.nasal,Not Hispanic or Latino,4.633781763826607,669,31.000000000000004,0.06588376699654287,0.03221126292116942,8
Enterovirus.nasal,Not Specified,2.380952380952381,42,1,0.14095072342595097,0.001244115811494556,8
HSV1.ea,Hispanic or Latino,46.05263157894737,76,35,0.5781358303175755,0.3469327983559251,9
HSV1.ea,Not Hispanic or Latino,41.0958904109589,73,30,0.5322673432773386,0.2990793612890549,9
HSV1.ea,Not Specified,25,8,2,0.6442448396153688,0.044543913799515535,9
HSV1.nasal,Hispanic or Latino,12.420382165605096,314,39,0.16705545838756564,0.09082705617859987,10
HSV1.nasal,Not Hispanic or Latino,9.036144578313253,664,60,0.11541801830417939,0.07017871558392104,10
HSV1.nasal,Not Specified,4.878048780487805,41,2,0.17808193697437788,0.008494315928378984,10
HSV2.nasal,Hispanic or Latino,0.6269592476489028,319,1.9999999999999998,0.024954443867080345,0.0010866881375784009,11
HSV2.nasal,Not Hispanic or Latino,0.29895366218236175,669,2,0.011981634328989934,5.17982511253853e-4,11
HSV2.nasal,Not Specified,0,41,0,0.10669386962924278,0,11
