name,sex,mean,count,positive,upper_CI,lower_CI,.group
Anelloviridae.pbmc,Female,15.777262180974477,431,67.99999999999999,0.19644166992164586,0.1253522978259655,1
Anelloviridae.pbmc,Male,18.181818181818183,671,122.00000000000001,0.213572410796823,0.1537784342215528,1
CMV.ea,Female,10.416666666666668,48,5.000000000000001,0.23443018786783196,0.038989653171042554,2
CMV.ea,Male,5.5045871559633035,109,6.000000000000001,0.12081715067252206,0.022573406262765956,2
CMV.nasal,Female,1.7902813299232736,391,7,0.03817466809290354,0.007867105798751231,3
CMV.nasal,Male,2.3474178403755865,639,14.999999999999998,0.039327321151938474,0.013684030674851121,3
CMV.pbmc,Female,3.944315545243619,431,16.999999999999996,0.06365115192697471,0.023871711916865258,4
CMV.pbmc,Male,3.5767511177347244,671,24,0.0535460222971119,0.023548831951989004,4
EBV.ea,Female,8.333333333333332,48,3.9999999999999996,0.20871670218267788,0.027034995205397903,5
EBV.ea,Male,6.422018348623854,109,7.000000000000001,0.13244259514488338,0.028431706943323934,5
EBV.nasal,Female,9.462915601023019,391,37.00000000000001,0.12914918462374314,0.06833972568161766,6
EBV.nasal,Male,5.94679186228482,639,38,0.08145923778497023,0.042963332391820146,6
EBV.pbmc,Female,23.897911832946637,431,103,0.28265003466601124,0.20005208109654102,7
EBV.pbmc,Male,26.97466467958271,671,180.99999999999997,0.30533871667811824,0.23683391622692151,7
Enterovirus.nasal,Female,5.626598465473146,391,22,0.08521980312289558,0.03641907751759024,8
Enterovirus.nasal,Male,4.381846635367762,639,28,0.06351001652257285,0.02984308616644766,8
HSV1.ea,Female,41.66666666666667,48,20.000000000000004,0.5672464311469684,0.27932373455719267,9
HSV1.ea,Male,43.11926605504588,109,47.00000000000001,0.5294817551172216,0.33781548938449,9
HSV1.nasal,Female,8.333333333333332,384,31.999999999999996,0.1167542369321544,0.058548937517434695,10
HSV1.nasal,Male,10.866141732283465,635,69,0.13612044580865462,0.08606067044410183,10
HSV2.nasal,Female,0.7672634271099744,391,3,0.024175594368762973,0.0019836422605809794,11
HSV2.nasal,Male,0.1567398119122257,638,0.9999999999999999,0.01011595068181017,8.182383932494835e-5,11
