name,ever_steroids,mean,count,positive,upper_CI,lower_CI,.group
Anelloviridae.pbmc,No Steroids,16.184971098265898,346,56.00000000000001,0.20590140043157978,0.1254979284605462,1
Anelloviridae.pbmc,Steroids,17.724867724867725,756,134,0.20677946020012544,0.15106024608003646,1
Enterovirus.nasal,No Steroids,3.7854889589905363,317,12,0.06694468651737255,0.02063016641444612,8
Enterovirus.nasal,Steroids,5.329593267882188,713,37.99999999999999,0.07310406642152663,0.03847642708678382,8
HSV1.ea,No Steroids,36.36363636363637,22,8.000000000000002,0.5917488483369188,0.18027476033914205,9
HSV1.ea,Steroids,43.7037037037037,135,59,0.5249788448584471,0.3527313861618587,9
HSV1.nasal,No Steroids,7.936507936507936,315,25,0.11636334723092603,0.05303067568846618,10
HSV1.nasal,Steroids,10.795454545454545,704,76,0.13381358937140475,0.08648168366190948,10
HSV2.nasal,No Steroids,0,317,0,0.014925187865923048,0,11
HSV2.nasal,Steroids,0.5617977528089888,712,4,0.015350769261528827,0.0018011806776143766,11
CMV.ea,No Steroids,9.090909090909092,22,2.0000000000000004,0.3062442255897413,0.015904404160920482,2
CMV.ea,Steroids,6.666666666666667,135,9,0.12643078164047142,0.03288160043924392,2
CMV.nasal,No Steroids,2.2082018927444795,317,7,0.04694380221595511,0.009710041480417535,3
CMV.nasal,Steroids,2.1037868162692845,713,14.999999999999998,0.03528083010652258,0.012259424794041266,3
CMV.pbmc,No Steroids,2.601156069364162,346,9,0.0505377698340124,0.012746437694114595,4
CMV.pbmc,Steroids,4.232804232804233,756,32,0.0599057924627765,0.029587905244454454,4
EBV.ea,No Steroids,4.545454545454546,22,1.0000000000000002,0.2488429875465248,0.0023773171115641497,5
EBV.ea,Steroids,7.4074074074074066,135,9.999999999999998,0.1355146332179388,0.03808390305606847,5
EBV.nasal,No Steroids,6.309148264984227,317,20,0.09729232765298786,0.03995431880634993,6
EBV.nasal,Steroids,7.713884992987377,713,55,0.09984533576022299,0.05912524950851114,6
EBV.pbmc,No Steroids,21.67630057803468,346,75,0.26469341379776823,0.17525817302089136,7
EBV.pbmc,Steroids,27.645502645502646,756,209,0.3100869463913707,0.24513015930227425,7
