name,ever_remdes,mean,count,positive,upper_CI,lower_CI,.group
Anelloviridae.pbmc,No Remdesivir,16.867469879518072,415,70,0.20899818435513612,0.1346303888413134,1
Anelloviridae.pbmc,Remdesivir,17.46724890829694,687,119.99999999999999,0.20562193363443554,0.14743334270113423,1
Enterovirus.nasal,No Remdesivir,3.5989717223650386,389,14,0.061071294460811804,0.020591892479402074,8
Enterovirus.nasal,Remdesivir,5.61622464898596,641,36.00000000000001,0.07766115663302456,0.04017964257647921,8
HSV1.ea,No Remdesivir,44,50,22,0.5865006601586606,0.3026605120023799,9
HSV1.ea,Remdesivir,42.05607476635514,107,45,0.5198970377944989,0.32700091698815204,9
HSV1.nasal,No Remdesivir,10.129870129870131,385,39.00000000000001,0.136937369574843,0.07387267290290013,10
HSV1.nasal,Remdesivir,9.779179810725552,634,62,0.12425800039131076,0.07633411692680703,10
HSV2.nasal,No Remdesivir,0.5154639175257731,388,1.9999999999999998,0.02056487177025678,8.933288975687641e-4,11
HSV2.nasal,Remdesivir,0.31201248049922,641,2,0.012501561317284004,5.406165400207694e-4,11
CMV.ea,No Remdesivir,8,50,4,0.20110041140604745,0.025940197912696156,2
CMV.ea,Remdesivir,6.5420560747663545,107,6.999999999999999,0.13480209503121277,0.02896881505446329,2
CMV.nasal,No Remdesivir,2.570694087403599,389,10,0.04829752229252115,0.013115750325932036,3
CMV.nasal,Remdesivir,1.87207488299532,641,12,0.03341303410930438,0.010172612946034637,3
CMV.pbmc,No Remdesivir,3.132530120481928,415,13.000000000000002,0.05433988250920867,0.01750357473012103,4
CMV.pbmc,Remdesivir,4.075691411935954,687,28,0.059121019637497337,0.02774713199212214,4
EBV.ea,No Remdesivir,2,50,1,0.12010811989219292,0.0010448882944205852,5
EBV.ea,Remdesivir,9.345794392523365,107,10,0.16916531584271757,0.04820089991281581,5
EBV.nasal,No Remdesivir,5.655526992287918,389,22,0.08565013925329447,0.03660777847951576,6
EBV.nasal,Remdesivir,8.268330733229329,641,53,0.1074358422265144,0.06308300707465375,6
EBV.pbmc,No Remdesivir,21.686746987951807,415,90,0.2602888558213049,0.17879640949581002,7
EBV.pbmc,Remdesivir,28.238719068413392,687,194,0.3179368927905855,0.24930972801923618,7
