trajectory_group,name,freq,count,positive,pos_freq,.group
1,Anelloviridae.pbmc,19.004524886877828,221,42,16.733067729083665,1
1,CMV.pbmc,0.4524886877828055,221,1.0000000000000002,2.3809523809523814,2
1,EBV.pbmc,13.574660633484163,221,30,10.1010101010101,3
2,Anelloviridae.pbmc,21.31782945736434,258,55,21.91235059760956,1
2,CMV.pbmc,3.10077519379845,258,8,19.047619047619047,2
2,EBV.pbmc,23.25581395348837,258,60,20.2020202020202,3
3,Anelloviridae.pbmc,18.944099378881987,322,61,24.302788844621514,1
3,CMV.pbmc,1.5527950310559007,322,5,11.904761904761903,2
3,EBV.pbmc,24.22360248447205,322,78,26.262626262626267,3
4,Anelloviridae.pbmc,31.674208144796378,221,69.99999999999999,27.888446215139435,1
4,CMV.pbmc,10.85972850678733,221,24,57.14285714285714,2
4,EBV.pbmc,40.27149321266968,221,89,29.96632996632997,3
5,Anelloviridae.pbmc,22.330097087378643,103,23.000000000000004,9.163346613545817,1
5,CMV.pbmc,3.8834951456310676,103,3.9999999999999996,9.523809523809524,2
5,EBV.pbmc,38.83495145631068,103,39.99999999999999,13.468013468013465,3
