trajectory_group,name,freq,count,positive,pos_freq,.group
1,Anelloviridae.pbmc,9.615384615384617,208,20.000000000000004,10.526315789473687,1
1,CMV.pbmc,0.4807692307692308,208,1,2.4390243902439024,2
1,EBV.pbmc,13.942307692307693,208,29,10.211267605633804,3
2,Anelloviridae.pbmc,16.733067729083665,251,42,22.105263157894736,1
2,CMV.pbmc,3.187250996015936,251,8,19.51219512195122,2
2,EBV.pbmc,21.51394422310757,251,54,19.014084507042252,3
3,Anelloviridae.pbmc,13.793103448275861,319,44,23.157894736842106,1
3,CMV.pbmc,1.5673981191222568,319,4.999999999999999,12.19512195121951,2
3,EBV.pbmc,23.824451410658305,319,75.99999999999999,26.76056338028169,3
4,Anelloviridae.pbmc,28.054298642533936,221,62,32.631578947368425,1
4,CMV.pbmc,10.407239819004525,221,23,56.09756097560976,2
4,EBV.pbmc,38.91402714932127,221,86,30.28169014084507,3
5,Anelloviridae.pbmc,21.35922330097087,103,21.999999999999996,11.578947368421051,1
5,CMV.pbmc,3.8834951456310676,103,3.9999999999999996,9.75609756097561,2
5,EBV.pbmc,37.86407766990291,103,39,13.732394366197184,3
