"","Anelloviridae.pbmc","CMV.pbmc","EBV.pbmc","EBV.nasal","HSV1.nasal"
"CXCL11",2.31029144507164,15.698970004336,0,4.40645216584786,3.11555914534409
"IL18",3.82972832273364,15.698970004336,0,15.698970004336,4.5641716881647
"TNFSF11",-2.36635255154886,0,0,0,0
"CCL25",0,0,0,0,3.10964718699577
"CD274",0,4.11518587377879,0,2.27112677594523,4.44873151378191
"CD40",0,2.6281078749209,0,0,3.74749865696534
"CD5",0,0,0,0,2.4877846969471
"CDCP1",0,2.78180684262971,0,0,2.44238608142609
"CX3CL1",0,3.7116612306153,0,0,2.05120935154959
"CXCL10",0,15.698970004336,1.991381925252,3.52866676417004,2.44238608142609
"CXCL9",0,4.11518587377879,0,0,2.41047607887058
"FGF23",0,0,0,0,2.41047607887058
"IL10RB",0,0,0,0,2.05120935154959
"IL15RA",0,2.55638648401572,0,2.88036098440024,4.49794021820696
"IL18R1",0,3.78496106566619,0,4.18771207154423,2.95087024703049
"IL22RA1",0,0,0,3.41000040918793,2.58130023203405
"MMP10",0,0,0,2.0118104544266,2.05120935154959
"SLAMF1",0,0,0,0,2.86582948287151
"TNF",0,3.06860223945098,0,0,2.44238608142609
"TNFRSF9",0,0,0,0,2.30384630066176
"ADA",0,2.31734382457584,0,0,0
"CCL7",0,2.45671482812116,2.04433371734729,0,0
"CCL8",0,2.89877272134903,0,2.27112677594523,0
"CD8A",0,2.6709233170557,0,0,0
"CXCL8",0,2.17179406744637,0,0,0
"HGF",0,3.03668479005982,0,3.21957610457608,0
"IFNG",0,2.49888629406256,0,2.67744012544292,0
"IL10",0,4.11518587377879,5.54537497535197,0,0
"IL4",0,-2.3319670654345,0,0,0
"LIFR",0,3.46566654908922,0,0,0
"MMP1",0,-2.11189156623067,0,0,0
"KITLG",0,0,0,-2.27213616436109,0
"CCL2",0,0,2.04433371734729,0,0
"IL6",0,0,3.74143933207655,0,0
