"","event_date","predicted","std.error","conf.low","conf.high","virus","max"
"1",0,5.19044742429105,0.161324971525676,4.87425629029377,5.50663855828832,"Control",40
"2",0,5.51735992364905,0.17455814947333,5.17523223747336,5.85948760982473,"EBV.pbmc",37
"3",1,4.98201907638252,0.154525974661241,4.67915373137054,5.2848844213945,"Control",40
"4",1,5.31840253318305,0.167578970613496,4.98995378621431,5.6468512801518,"EBV.pbmc",37
"5",2,4.78155892598681,0.152676692172548,4.48231810804991,5.08079974392371,"Control",40
"6",2,5.12741334022989,0.165224206460398,4.8035798461933,5.45124683426648,"EBV.pbmc",37
"7",3,4.59703517061674,0.154287965425195,4.2946363151354,4.89943402609809,"Control",40
"8",3,4.95236054230236,0.166153726923494,4.62670522163521,5.27801586296951,"EBV.pbmc",37
"9",4,4.43641600778514,0.156938114038251,4.12882295646853,4.74400905910176,"Control",40
"10",4,4.8012123369133,0.168165950523521,4.47161313046125,5.13081154336535,"EBV.pbmc",37
"11",5,4.30703961524938,0.158895219295474,3.99561070811466,4.6184685223841,"Control",40
"12",5,4.68130690182007,0.169666617054521,4.34876644301446,5.01384736062569,"EBV.pbmc",37
"13",6,4.20892019110969,0.160692002881788,3.89396965285778,4.5238707293616,"Control",40
"14",6,4.59265843512292,0.171150506887389,4.25720960568786,4.92810726455798,"EBV.pbmc",37
"15",7,4.13734678530041,0.163386216846496,3.81711568471103,4.4575778858898,"Control",40
"16",7,4.53055598675619,0.173597499908008,4.19031113913029,4.87080083438208,"EBV.pbmc",37
"17",8,4.08752969528647,0.16657041735625,3.76105767637842,4.41400171419453,"Control",40
"18",8,4.49020985418479,0.176605609598608,4.14406921990377,4.8363504884658,"EBV.pbmc",37
"19",9,4.05468236586753,0.168663518978873,3.72410794316315,4.3852567885719,"Control",40
"20",9,4.46683348220838,0.178653224066669,4.11667959731574,4.81698736710101,"EBV.pbmc",37
"21",10,4.03420708192784,0.169328628633481,3.70232906825466,4.36608509560102,"Control",40
"22",10,4.45582915571123,0.179399569731986,4.10421246019456,4.80744585122791,"EBV.pbmc",37
"23",11,4.02179883048285,0.17003433237949,3.68853766288374,4.35505999808197,"Control",40
"24",11,4.45289186170878,0.180238314412365,4.09963125682634,4.80615246659122,"EBV.pbmc",37
"25",12,4.01317777722592,0.171195743274663,3.67764028610102,4.34871526835083,"Control",40
"26",12,4.45374176589439,0.181578128431503,4.09785517378845,4.80962835800032,"EBV.pbmc",37
"27",13,4.00406408785043,0.171791756906618,3.6673584314726,4.34076974422826,"Control",40
"28",13,4.45409903396144,0.182480849102092,4.09644314185305,4.81175492606982,"EBV.pbmc",37
"29",14,3.99104723214554,0.171396862504847,3.65511555457287,4.3269789097182,"Control",40
"30",14,4.45055313569908,0.182567662756153,4.09272709195536,4.8083791794428,"EBV.pbmc",37
"31",15,3.97419389628355,0.1723094944635,3.63647349294079,4.31191429962631,"Control",40
"32",15,4.44317075727963,0.183960374156624,4.08261504935014,4.80372646520913,"EBV.pbmc",37
"33",16,3.95444007053257,0.176043833860883,3.60940049646489,4.29947964460025,"Control",40
