virus_compartment,SUPER_PATHWAY,count,freq,.group
Anelloviridae.pbmc,Amino Acid,22,0.3283582089552239,1
Anelloviridae.pbmc,Carbohydrate,2,0.029850746268656716,1
Anelloviridae.pbmc,Cofactors and Vitamins,3,0.04477611940298507,1
Anelloviridae.pbmc,Lipid,22,0.3283582089552239,1
Anelloviridae.pbmc,Nucleotide,3,0.04477611940298507,1
Anelloviridae.pbmc,Partially Characterized Molecules,1,0.014925373134328358,1
Anelloviridae.pbmc,Peptide,2,0.029850746268656716,1
Anelloviridae.pbmc,Xenobiotics,12,0.1791044776119403,1
CMV.pbmc,Amino Acid,50,0.3048780487804878,2
CMV.pbmc,Carbohydrate,7,0.042682926829268296,2
CMV.pbmc,Cofactors and Vitamins,5,0.03048780487804878,2
CMV.pbmc,Lipid,65,0.39634146341463417,2
CMV.pbmc,Nucleotide,6,0.036585365853658534,2
CMV.pbmc,Partially Characterized Molecules,3,0.018292682926829267,2
CMV.pbmc,Peptide,2,0.012195121951219513,2
CMV.pbmc,Xenobiotics,26,0.15853658536585366,2
EBV.nasal,Amino Acid,7,0.3181818181818182,3
EBV.nasal,Carbohydrate,1,0.045454545454545456,3
EBV.nasal,Cofactors and Vitamins,1,0.045454545454545456,3
EBV.nasal,Lipid,5,0.22727272727272727,3
EBV.nasal,Nucleotide,2,0.09090909090909091,3
EBV.nasal,Partially Characterized Molecules,1,0.045454545454545456,3
EBV.nasal,Xenobiotics,5,0.22727272727272727,3
EBV.pbmc,Amino Acid,4,0.3333333333333333,4
EBV.pbmc,Lipid,1,0.08333333333333333,4
EBV.pbmc,Xenobiotics,7,0.5833333333333334,4
HSV1.nasal,Amino Acid,7,0.16666666666666666,5
HSV1.nasal,Carbohydrate,2,0.047619047619047616,5
HSV1.nasal,Cofactors and Vitamins,1,0.023809523809523808,5
HSV1.nasal,Energy,1,0.023809523809523808,5
HSV1.nasal,Lipid,16,0.38095238095238093,5
HSV1.nasal,Nucleotide,1,0.023809523809523808,5
HSV1.nasal,Partially Characterized Molecules,2,0.047619047619047616,5
HSV1.nasal,Peptide,1,0.023809523809523808,5
HSV1.nasal,Xenobiotics,11,0.2619047619047619,5
HSV2.nasal,Amino Acid,8,0.4,6
HSV2.nasal,Carbohydrate,3,0.15,6
HSV2.nasal,Cofactors and Vitamins,1,0.05,6
HSV2.nasal,Lipid,3,0.15,6
HSV2.nasal,Partially Characterized Molecules,2,0.1,6
HSV2.nasal,Peptide,1,0.05,6
HSV2.nasal,Xenobiotics,2,0.1,6
