virus_compartment,SUPER_PATHWAY,SUB_PATHWAY,mean_p,features,total,impact_ratio
Anelloviridae.pbmc,Amino Acid,Alanine and Aspartate Metabolism,2.1136219636751012,1,7,0.14285714285714285
CMV.pbmc,Amino Acid,Alanine and Aspartate Metabolism,2.3994555028263016,2,7,0.2857142857142857
CMV.pbmc,Amino Acid,Creatine Metabolism,2.7568036331049326,2,3,0.6666666666666666
EBV.pbmc,Amino Acid,Creatine Metabolism,2.0139773291652183,1,3,0.3333333333333333
Anelloviridae.pbmc,Amino Acid,Glutamate Metabolism,2.0547091634540555,2,9,0.2222222222222222
HSV1.nasal,Amino Acid,Glutamate Metabolism,2.568738916172419,1,9,0.1111111111111111
CMV.pbmc,Amino Acid,Glutamate Metabolism,3.3224556015684765,2,9,0.2222222222222222
EBV.pbmc,Amino Acid,Glutamate Metabolism,2.4639696449359114,1,9,0.1111111111111111
Anelloviridae.pbmc,Amino Acid,"Glycine, Serine and Threonine Metabolism",2.5477230760079097,2,9,0.2222222222222222
HSV1.nasal,Amino Acid,"Glycine, Serine and Threonine Metabolism",3.3502461646116535,1,9,0.1111111111111111
CMV.pbmc,Amino Acid,"Glycine, Serine and Threonine Metabolism",2.286872275924453,3,9,0.3333333333333333
HSV1.nasal,Amino Acid,Histidine Metabolism,2.5210778032885073,1,8,0.125
CMV.pbmc,Amino Acid,Histidine Metabolism,2.926544541415038,3,8,0.375
EBV.pbmc,Amino Acid,Histidine Metabolism,2.0139773291652183,1,8,0.125
Anelloviridae.pbmc,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",2.480618137907694,3,19,0.15789473684210525
CMV.pbmc,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",2.5312920551556486,3,19,0.15789473684210525
EBV.nasal,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",2.125264901694002,1,19,0.05263157894736842
Anelloviridae.pbmc,Amino Acid,Lysine Metabolism,2.2656109199103756,1,10,0.1
CMV.pbmc,Amino Acid,Lysine Metabolism,2.7324170059014277,2,10,0.2
EBV.pbmc,Amino Acid,Lysine Metabolism,2.089884262614811,1,10,0.1
Anelloviridae.pbmc,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",2.50572607023894,4,14,0.2857142857142857
HSV1.nasal,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",3.2106430906066623,2,14,0.14285714285714285
CMV.pbmc,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",5.874283611461999,5,14,0.35714285714285715
EBV.nasal,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",2.2673554906421054,2,14,0.14285714285714285
EBV.pbmc,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",2.697921629499424,2,14,0.14285714285714285
CMV.pbmc,Amino Acid,Phenylalanine Metabolism,2.759332046394486,2,4,0.5
EBV.nasal,Amino Acid,Phenylalanine Metabolism,2.4094460795902086,1,4,0.25
Anelloviridae.pbmc,Amino Acid,Polyamine Metabolism,2.4651168505590926,2,4,0.5
HSV1.nasal,Amino Acid,Polyamine Metabolism,3.2920969579064034,1,4,0.25
CMV.pbmc,Amino Acid,Polyamine Metabolism,2.798299831252189,3,4,0.75
EBV.nasal,Amino Acid,Polyamine Metabolism,2.0408288371707046,1,4,0.25
Anelloviridae.pbmc,Amino Acid,Tryptophan Metabolism,2.4224984741505073,3,17,0.17647058823529413
HSV1.nasal,Amino Acid,Tryptophan Metabolism,3.3502461646116535,1,17,0.058823529411764705
CMV.pbmc,Amino Acid,Tryptophan Metabolism,2.768619564903145,7,17,0.4117647058823529
EBV.nasal,Amino Acid,Tryptophan Metabolism,2.5101484347060454,3,17,0.17647058823529413
Anelloviridae.pbmc,Amino Acid,Tyrosine Metabolism,2.3220094054892106,1,10,0.1
CMV.pbmc,Amino Acid,Tyrosine Metabolism,2.3798021107885634,3,10,0.3
Anelloviridae.pbmc,Amino Acid,Urea cycle; Arginine and Proline Metabolism,2.385885330759368,3,13,0.23076923076923078
CMV.pbmc,Amino Acid,Urea cycle; Arginine and Proline Metabolism,5.95918398250995,5,13,0.38461538461538464
CMV.pbmc,Carbohydrate,Aminosugar Metabolism,2.081110659351637,3,4,0.75
HSV1.nasal,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",2.8456556483618365,1,6,0.16666666666666666
CMV.pbmc,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",3.5725199089748605,1,6,0.16666666666666666
Anelloviridae.pbmc,Carbohydrate,Pentose Metabolism,3.537079262486613,2,5,0.4
HSV1.nasal,Carbohydrate,Pentose Metabolism,2.5590408245012464,2,5,0.4
CMV.pbmc,Carbohydrate,Pentose Metabolism,2.4837429676133937,2,5,0.4
EBV.nasal,Carbohydrate,Pentose Metabolism,2.5097104156715995,1,5,0.2
HSV1.nasal,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,2.5341348963410475,1,3,0.3333333333333333
CMV.pbmc,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,3.2403895579493414,2,3,0.6666666666666666
EBV.nasal,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,2.0887157357300286,1,3,0.3333333333333333
Anelloviridae.pbmc,Cofactors and Vitamins,Pantothenate and CoA Metabolism,2.7940035264413825,1,2,0.5
Anelloviridae.pbmc,Cofactors and Vitamins,Tocopherol Metabolism,2.527758866954212,1,5,0.2
Anelloviridae.pbmc,Cofactors and Vitamins,Vitamin A Metabolism,2.37966377151903,1,3,0.3333333333333333
HSV1.nasal,Cofactors and Vitamins,Vitamin A Metabolism,2.556201086423013,2,3,0.6666666666666666
CMV.pbmc,Cofactors and Vitamins,Vitamin A Metabolism,3.5600148300961245,1,3,0.3333333333333333
HSV1.nasal,Cofactors and Vitamins,Vitamin B6 Metabolism,2.4351376787070462,1,1,1
CMV.pbmc,Cofactors and Vitamins,Vitamin B6 Metabolism,3.0093872357889278,1,1,1
HSV1.nasal,Energy,TCA Cycle,2.080777444554399,1,6,0.16666666666666666
Anelloviridae.pbmc,Lipid,Androgenic Steroids,2.283410650711789,1,14,0.07142857142857142
HSV1.nasal,Lipid,Androgenic Steroids,2.588560994664253,2,14,0.14285714285714285
CMV.pbmc,Lipid,Androgenic Steroids,2.867064183059421,1,14,0.07142857142857142
EBV.nasal,Lipid,Androgenic Steroids,2.459578247630904,2,14,0.14285714285714285
CMV.pbmc,Lipid,Carnitine Metabolism,2.284850363275582,2,2,1
CMV.pbmc,Lipid,Endocannabinoid,2.0744118369270264,2,3,0.6666666666666666
Anelloviridae.pbmc,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",2.2656109199103756,1,1,1
CMV.pbmc,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",3.5509168672109213,1,1,1
CMV.pbmc,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",2.162991574027296,1,4,0.25
