"","Anelloviridae.pbmc","HSV1.nasal","CMV.pbmc","EBV.nasal","EBV.pbmc"
"theobromine",-2.71068903653669,0,-2.44295525137672,0,0
"ribonate",4.24397798023891,0,2.28334430566943,0,0
"indoleacetate",-2.37966377151903,0,0,-2.125264901694,0
"1-linoleoylglycerol (18:2)",2.08713050463326,0,2.42694823339393,0,0
"pro-hydroxy-pro",2.10963392409931,0,2.57480307157212,0,0
"docosadienoate (22:2n6)",2.66269462072912,0,3.85271198788867,0,0
"N-acetylglutamine",2.04922903918299,0,0,0,0
"piperine",-2.37966377151903,-3.60148795053744,-15.698970004336,0,-3.01774169529585
"N-acetylisoleucine",2.83018054473432,0,0,0,0
"stachydrine",-2.37966377151903,-3.27968088544073,-3.08971366513427,-3.20375328969031,-2.36302673162006
"eicosenoate (20:1)",2.25766091138331,0,3.85271198788867,0,0
"linolenate [alpha or gamma; (18:3n3 or 6)]",2.31734289915893,0,3.03788577840892,0,0
"1-linoleoyl-GPC (18:2)",2.31734289915893,0,0,0,0
"N6-carbamoylthreonyladenosine",2.14661370340162,0,2.56546638468414,0,0
"phenol sulfate",-2.32200940548921,0,-2.72445208543378,0,0
"glutamine_degradant*",-2.1040069152867,0,0,0,0
"1-linoleoyl-GPE (18:2)*",2.98225312101295,0,2.26604786080051,0,0
"tiglylcarnitine (C5:1-DC)",-2.23728316679584,0,2.40347487499106,0,0
"N-acetyl-aspartyl-glutamate (NAAG)",2.06018928772512,2.56873891617242,3.83734849586632,0,2.46396964493591
"indoleacetylglutamine",-2.56064169968468,0,-2.15862963696243,0,0
"1-linoleoyl-GPI (18:2)*",2.22423227578079,0,2.58913648807172,0,0
"o-cresol sulfate",4.24397798023891,0,2.45801172504949,0,0
"dimethylarginine (SDMA + ADMA)",2.10661462755568,0,3.31308092428976,0,0
"N-acetylserine",2.83018054473432,0,2.66542970328553,0,0
"4-allylphenol sulfate",-2.10735018449973,-2.94129529344337,-2.19030615909285,0,0
"sulfate*",2.4245869951157,0,0,0,0
"pantoate",2.79400352644138,0,0,0,0
"androsterone glucuronide",-2.28341065071179,-2.84565564836184,-2.86706418305942,-2.5097104156716,0
"S-methylcysteine sulfoxide",-2.07747808095709,-3.35024616461165,-4.30030506834836,-2.40944607959021,-3.01774169529585
"prolylglycine",2.16747962567628,0,0,0,0
"3-methyl catechol sulfate (1)",-2.32200940548921,-2.53413489634105,-3.4251804915961,0,0
"gamma-CEHC glucuronide*",2.52775886695421,0,0,0,0
"methionine sulfone",-2.32200940548921,0,-15.698970004336,-2.125264901694,0
"methyl-4-hydroxybenzoate sulfate",3.74651124379784,0,4.38969646463428,0,0
"arabitol/xylitol",2.83018054473432,2.33146634096667,2.68414162955736,0,0
"adipoylcarnitine (C6-DC)",2.26561091991038,0,3.55091686721092,0,0
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*",-2.13147474746275,-2.98327892082916,-2.34327996750673,0,0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",-2.1040069152867,-2.70224208850766,-2.68792010207241,0,0
