"","event_date","predicted","std.error","conf.low","conf.high","virus","max"
"1",0,-0.171670039629799,0.070084337025425,-0.309032816079999,-0.0343072631795993,"Control",40
"2",0,0.0411456631236091,0.104073881056547,-0.162835395478528,0.245126721725746,"CMV.pbmc",35
"3",1,-0.169467420920609,0.0693906109441733,-0.30547051923642,-0.0334643226047988,"Control",40
"4",1,0.0500633510182708,0.10018115607533,-0.146288106818962,0.246414808855503,"CMV.pbmc",35
"5",2,-0.16726480221142,0.0687748264829525,-0.302060985160998,-0.0324686192618413,"Control",40
"6",2,0.0589675697677853,0.097053213259583,-0.131253232804882,0.249188372340453,"CMV.pbmc",35
"7",3,-0.16506218350223,0.0682390936505004,-0.298808349394867,-0.0313160176095931,"Control",40
"8",3,0.0678448502270053,0.0946949720238217,-0.117753884456713,0.253443584910724,"CMV.pbmc",35
"9",4,-0.16285956479304,0.0677853104393012,-0.295716331934937,-0.0300027976511429,"Control",40
"10",4,0.0766817232507837,0.0930369198306117,-0.105667288849756,0.259030735351323,"CMV.pbmc",35
"11",5,-0.16065694608385,0.0674151316491285,-0.292788176129168,-0.0285257160385321,"Control",40
"12",5,0.0854704213110595,0.0919802278418079,-0.0948075125486722,0.265748355170791,"CMV.pbmc",35
"13",6,-0.15845432737466,0.0671299403215708,-0.290026592689262,-0.0268820620600585,"Control",40
"14",6,0.0942484573606568,0.0914635024085673,-0.0850167132600275,0.273513627981341,"CMV.pbmc",35
"15",7,-0.156251708665471,0.066930822814523,-0.287433710837567,-0.0250697064933738,"Control",40
"16",7,0.103074937357051,0.0914311339631606,-0.076126792276401,0.282276666990502,"CMV.pbmc",35
"17",8,-0.154049089956281,0.0668185485667678,-0.285011038646386,-0.0230871412661755,"Control",40
"18",8,0.112009100240039,0.0917895863895391,-0.0678951832392859,0.291913383719363,"CMV.pbmc",35
"19",9,-0.151846471247091,0.0667935554389134,-0.282759434306741,-0.0209335081874414,"Control",40
"20",9,0.121110295569561,0.0924230031907795,-0.0600354620273973,0.302256053166519,"CMV.pbmc",35
"21",10,-0.149643852537901,0.0668559412798017,-0.280679089598837,-0.0186086154769652,"Control",40
"22",10,0.130439858758357,0.0932740885508957,-0.0523739954921988,0.313253713008912,"CMV.pbmc",35
"23",11,-0.147441233828711,0.0670054620138,-0.278769526143226,-0.0161129415141968,"Control",40
"24",11,0.140060842928738,0.0943315442633419,-0.0448255864334584,0.324947272290933,"CMV.pbmc",35
"25",12,-0.145238615119522,0.0672415363493479,-0.277029604629384,-0.013447625609659,"Control",40
"26",12,0.150036357840529,0.0955560328904194,-0.0372500251302178,0.337322740811276,"CMV.pbmc",35
"27",13,-0.143035996410332,0.0675632569659922,-0.275457546741901,-0.0106144460787622,"Control",40
"28",13,0.160429088612096,0.0968790522736163,-0.0294503647005653,0.350308541924757,"CMV.pbmc",35
"29",14,-0.140833377701142,0.0679694076791359,-0.274050968802769,-0.00761578659951556,"Control",40
"30",14,0.171276241874195,0.0982701423159885,-0.0213296978207677,0.363882181569158,"CMV.pbmc",35
"31",15,-0.138630758991952,0.0684584857902767,-0.272806925577042,-0.00445459240686288,"Control",40
"32",15,0.182575532601792,0.0997601134185401,-0.0129506967921777,0.378101761995761,"CMV.pbmc",35
"33",16,-0.136428140282762,0.0690287286635449,-0.271721962361898,-0.00113431820362672,"Control",40
"34",16,0.194321278638169,0.101358933248414,-0.00433858004012219,0.39298113731646,"CMV.pbmc",35
"35",17,-0.134225521573573,0.0696781435626093,-0.270792173465898,0.00234113031875308,"Control",40
"36",17,0.206507799881812,0.103040723740634,0.00455169240922848,0.408463907354395,"CMV.pbmc",35
"37",18,-0.132022902864383,0.0704045396500617,-0.270013264926626,0.00596745919786032,"Control",40
"38",18,0.219131463211472,0.104790351452529,0.0137461484372199,0.424516777985724,"CMV.pbmc",35
"39",19,-0.129820284155193,0.0712055610399459,-0.269380619292455,0.00974005098206926,"Control",40
"40",19,0.232194523656973,0.106653651855933,0.0231572071996713,0.441231840114274,"CMV.pbmc",35
"41",20,-0.127617665446003,0.0720787198292977,-0.26888936036318,0.0136540294711733,"Control",40
"42",20,0.245700288511085,0.108667688139269,0.032715533474888,0.458685043547282,"CMV.pbmc",35
"43",21,-0.125415046736813,0.0730214283030563,-0.268534416310477,0.0177043228368509,"Control",40
