"","feature","Chisq","Df","Pr(>Chisq)","virus"
"1","(Intercept)",10.091457459285,1,0.00148958244733983,"Anelloviridae.pbmc"
"2","ever_immsupp",0.0757471367089987,1,0.78314570338677,"Anelloviridae.pbmc"
"3","binary",7.56849690333736,1,0.00593972983218136,"Anelloviridae.pbmc"
"4","trajectory_group",0.26599474851351,1,0.606031272353749,"Anelloviridae.pbmc"
"5","sex",3.68854222134912,1,0.0547874810398742,"Anelloviridae.pbmc"
"6","discretized_admit_age_quantile",4.84925645544057,4,0.303117333684264,"Anelloviridae.pbmc"
"7","(Intercept)",7.95996471474776,1,0.00478233464410932,"Enterovirus.nasal"
"8","ever_immsupp",0.0324771117488934,1,0.856984511433543,"Enterovirus.nasal"
"9","binary",0.89322217184956,1,0.3446056210887,"Enterovirus.nasal"
"10","trajectory_group",0.189341626665704,1,0.663465141646395,"Enterovirus.nasal"
"11","sex",3.59358781657511,1,0.0580028896148483,"Enterovirus.nasal"
"12","discretized_admit_age_quantile",7.92450051823861,4,0.0943833177695025,"Enterovirus.nasal"
