...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-109582,R-HSA-109582,Hemostasis,79/485,491/8020,1.7835600341784399e-16,1.68368067226445e-13,1.53573906100839e-13,5577/3674/6915/30845/3479/30846/2983/489/11343/2782/634/5026/4680/51206/24137/7078/6547/81027/2623/94121/8140/857/7450/10112/6678/6382/4602/1191/1088/9002/29802/3512/91768/5270/7225/9493/3832/22915/1950/351/207/11004/1893/7873/1609/2768/23052/90952/150/7424/7804/9162/10603/5473/5196/56992/2982/7465/5579/90990/2815/6403/2814/161882/2621/5627/2811/5592/146909/5138/5657/2316/80739/57126/3046/5004/3833/3690/8355,79,up,Reactome,EBV.pbmc,FALSE,1,12.773740273539405,12.773740273539405
R-HSA-1474244,R-HSA-1474244,Extracellular matrix organization,38/485,205/8020,3.41779957812222e-10,1.61320140087369e-7,1.47145266047578e-7,3674/4052/91522/1308/634/1286/3693/4680/9509/1299/1511/4318/4324/7450/6678/6382/4317/1088/3911/84034/3915/11131/2247/5045/351/3339/3680/5352/80274/1293/26577/5654/2200/1285/255631/1991/4326/3690,38,up,Reactome,EBV.pbmc,FALSE,1,6.792311409531113,6.792311409531113
R-HSA-76002,R-HSA-76002,"Platelet activation, signaling and aggregation",38/485,219/8020,2.43584553687533e-9,7.66479395603438e-7,6.99130403215446e-7,3674/6915/3479/11343/2782/51206/7078/94121/7450/6678/1191/9002/7225/22915/1950/351/207/1893/7873/1609/2768/23052/150/7424/9162/5473/5196/5579/2815/6403/2814/2621/5627/2811/2316/80739/5004/3690,38,up,Reactome,EBV.pbmc,FALSE,1,6.115499515298847,6.115499515298847
R-HSA-156711,R-HSA-156711,Polo-like kinase mediated events,10/485,16/8020,3.4419576736674303e-9,8.12302010985513e-7,7.40926678173673e-7,4605/2305/1063/9088/891/9133/995/993/7465/5347,10,up,Reactome,EBV.pbmc,FALSE,1,6.090282471597823,6.090282471597823
R-HSA-69620,R-HSA-69620,Cell Cycle Checkpoints,43/485,277/8020,7.2192816422409e-9,1.36300037405508e-6,1.24323629123222e-6,55388/4171/51512/4998/332/8318/990/79019/2491/4173/898/1058/991/1063/11130/9088/7533/891/55143/57082/11004/83540/890/57405/220134/701/9133/995/1780/147841/993/7465/5347/699/983/9156/11065/9134/116028/9212/55920/3014/8348,43,up,Reactome,EBV.pbmc,FALSE,1,5.865504024979681,5.865504024979681
R-HSA-2500257,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,25/485,117/8020,2.08673321429711e-8,3.28312692382745e-6,2.99464520928953e-6,332/79019/81027/2491/1058/991/1063/11130/891/55143/57082/11004/83540/113130/57405/220134/701/9133/1780/147841/5347/699/983/9212/55920,25,up,Reactome,EBV.pbmc,FALSE,1,5.483712327367409,5.483712327367409
R-HSA-69205,R-HSA-69205,G1/S-Specific Transcription,12/485,28/8020,2.61299233982734e-8,3.52380681256715e-6,3.21417704357709e-6,4998/8318/990/1869/898/1875/81620/7083/983/6241/7298/1719,12,up,Reactome,EBV.pbmc,FALSE,1,5.452987909152121,5.452987909152121
R-HSA-76005,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,23/485,110/8020,1.18041336014584e-7,1.39288776497209e-5,1.27049753763066e-5,3674/3479/7078/94121/7450/6678/1191/22915/1950/351/1893/7873/23052/7424/5473/5196/5579/6403/2621/5627/2316/5004/3690,23,up,Reactome,EBV.pbmc,FALSE,1,4.856083876409515,4.856083876409515
R-HSA-6803157,R-HSA-6803157,Antimicrobial peptides,12/485,32/8020,1.55134429472497e-7,1.62718779357819e-5,1.48421009717547e-5,8993/4057/1511/671/1191/3934/820/1669/6037/5657/1991/1668,12,up,Reactome,EBV.pbmc,FALSE,1,4.788562322288538,4.788562322288538
R-HSA-1474228,R-HSA-1474228,Degradation of the extracellular matrix,20/485,88/8020,1.89211657275374e-7,1.78615804467953e-5,1.62921195422375e-5,91522/1308/1286/1299/1511/4318/4324/4317/3911/3915/11131/5045/3339/80274/1293/5654/2200/1285/1991/4326,20,up,Reactome,EBV.pbmc,FALSE,1,4.748080116054707,4.748080116054707
