...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-373076,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),11/76,143/8368,5.46544635101128e-8,3.40224035350452e-6,3.12105752149855e-6,2920/6364/9034/6372/27202/6374/2919/1901/6351/6349/6348,11,up,Reactome,EBV.pbmc,FALSE,1,5.46823500862072,5.46823500862072
R-HSA-500792,R-HSA-500792,GPCR ligand binding,12/76,204/8368,2.5154391015119e-7,1.25268867255293e-5,1.14915849479596e-5,2920/6364/9034/6372/27202/6374/2919/1901/2015/6351/6349/6348,12,up,Reactome,EBV.pbmc,FALSE,1,4.90215684967014,4.90215684967014
R-HSA-449147,R-HSA-449147,Signaling by Interleukins,16/76,396/8368,3.71768370435153e-7,1.54283873730588e-5,1.41532870849874e-5,2920/11213/3162/4792/6648/6364/7850/9173/8809/3656/3569/2919/1901/6351/6349/6348,16,up,Reactome,EBV.pbmc,FALSE,1,4.811679465484641,4.811679465484641
R-HSA-6798695,R-HSA-6798695,Neutrophil degranulation,15/76,445/8368,8.61854721662498e-6,3.0657403670566e-4,2.8123680391092e-4,2268/10326/8876/4317/5328/7130/53831/6279/6278/2207/3101/2919/338339/1378/5004,15,up,Reactome,EBV.pbmc,FALSE,1,3.5134646276711807,3.5134646276711807
R-HSA-372790,R-HSA-372790,Signaling by GPCR,14/76,473/8368,7.56279254705603e-5,0.00235391918027119,0.002159376293041,2920/6364/9034/6372/27202/53831/6374/2919/1901/2015/6351/9560/6349/6348,14,up,Reactome,EBV.pbmc,FALSE,1,2.6282084523527374,2.6282084523527374
R-HSA-68055671,R-HSA-6805567,Keratinization,20/132,67/8368,6.46643941484666e-21,1.496980724537e-18,1.41580989293485e-18,3872/2312/7062/84648/6703/26085/144501/6699/6698/196374/286887/3860/3854/43849/3868/6701/6704/1041/6700/6705,20,up,Reactome,Anelloviridae.pbmc,FALSE,1,17.824783791695097,17.824783791695097
R-HSA-68093711,R-HSA-6809371,Formation of the cornified envelope,20/132,67/8368,6.46643941484666e-21,1.496980724537e-18,1.41580989293485e-18,3872/2312/7062/84648/6703/26085/144501/6699/6698/196374/286887/3860/3854/43849/3868/6701/6704/1041/6700/6705,20,up,Reactome,Anelloviridae.pbmc,FALSE,1,17.824783791695097,17.824783791695097
R-HSA-2024242,R-HSA-202424,Downstream TCR signaling,16/361,90/8368,1.19514290115887e-6,0.00104964384489342,8.990017629177e-4,5689/5685/5720/5684/5687/5716/5715/6500/5686/915/5970/7334/3932/3123/3122/3113,16,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.978958036583534,-2.978958036583534
R-HSA-14285171,R-HSA-1428517,The citric acid (TCA) cycle and respiratory electron transport,22/361,169/8368,3.19141005726287e-6,0.00104964384489342,8.990017629177e-4,4706/1738/4967/23530/51300/515/1349/4711/7385/4715/80224/8802/4712/509/10632/55863/54205/4729/84987/4700/4697/4722,22,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.978958036583534,-2.978958036583534
R-HSA-1632001,R-HSA-163200,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",18/361,122/8368,4.29500265480387e-6,0.00104964384489342,8.990017629177e-4,4706/51300/515/1349/4711/7385/4715/80224/4712/509/10632/55863/54205/4729/84987/4700/4697/4722,18,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.978958036583534,-2.978958036583534
