event_type,conv_cluster6,name,freq,count,positive,pos_freq,label,label1,label2,.group
Visit 10,cognitive,Anelloviridae.pbmc,12.76595744680851,47,6,4.761904761904763,6/47  12.8%,6/47,12.8%,1
Visit 10,global,Anelloviridae.pbmc,6.896551724137931,29,2,1.5873015873015877,2/29  6.9%,2/29,6.9%,1
Visit 10,minimal,Anelloviridae.pbmc,6.0109289617486334,183,11,8.730158730158731,11/183  6%,11/183,6%,1
Visit 10,physical,Anelloviridae.pbmc,11.320754716981133,53,6,4.761904761904763,6/53  11.3%,6/53,11.3%,1
Visit 7,cognitive,Anelloviridae.pbmc,7.317073170731707,41,3,2.3809523809523814,3/41  7.3%,3/41,7.3%,1
Visit 7,global,Anelloviridae.pbmc,14.814814814814813,27,3.9999999999999996,3.1746031746031744,4/27  14.8%,4/27,14.8%,1
Visit 7,minimal,Anelloviridae.pbmc,7.462686567164178,201,14.999999999999998,11.904761904761903,15/201  7.5%,15/201,7.5%,1
Visit 7,physical,Anelloviridae.pbmc,25,48,12,9.5238095238095255,12/48  25%,12/48,25%,1
Visit 8,cognitive,Anelloviridae.pbmc,4.545454545454546,44,2.0000000000000004,1.5873015873015879,2/44  4.5%,2/44,4.5%,1
Visit 8,global,Anelloviridae.pbmc,6.451612903225806,31,2,1.5873015873015877,2/31  6.5%,2/31,6.5%,1
Visit 8,minimal,Anelloviridae.pbmc,8.771929824561402,228,19.999999999999996,15.873015873015872,20/228  8.8%,20/228,8.8%,1
Visit 8,physical,Anelloviridae.pbmc,8,50,4,3.1746031746031753,4/50  8%,4/50,8%,1
Visit 9,cognitive,Anelloviridae.pbmc,15.555555555555555,45,7,5.555555555555556,7/45  15.6%,7/45,15.6%,1
Visit 9,global,Anelloviridae.pbmc,5.88235294117647,34,1.9999999999999998,1.5873015873015872,2/34  5.9%,2/34,5.9%,1
Visit 9,minimal,Anelloviridae.pbmc,6.8181818181818175,220,14.999999999999998,11.904761904761903,15/220  6.8%,15/220,6.8%,1
Visit 9,physical,Anelloviridae.pbmc,18.64406779661017,59,11,8.730158730158731,11/59  18.6%,11/59,18.6%,1
