Tissue,omic,virus,direction,count,.group
Virus in Nasal RNA,Nasal DEGs,CMV,Down,124,1
Virus in Nasal RNA,Nasal DEGs,CMV,Up,179,1
Virus in Nasal RNA,Nasal DEGs,EBV,Down,1123,2
Virus in Nasal RNA,Nasal DEGs,EBV,Up,746,2
Virus in Nasal RNA,Nasal DEGs,HSV1,Down,2222,3
Virus in Nasal RNA,Nasal DEGs,HSV1,Up,1803,3
Virus in Nasal RNA,Nasal DEGs,HSV2,Down,351,4
Virus in Nasal RNA,Nasal DEGs,HSV2,Up,933,4
Virus in Nasal RNA,PBMC DEGs,CMV,Down,1069,5
Virus in Nasal RNA,PBMC DEGs,CMV,Up,1104,5
Virus in Nasal RNA,PBMC DEGs,EBV,Down,231,6
Virus in Nasal RNA,PBMC DEGs,EBV,Up,466,6
Virus in Nasal RNA,PBMC DEGs,HSV1,Down,685,7
Virus in Nasal RNA,PBMC DEGs,HSV1,Up,850,7
Virus in Nasal RNA,PBMC DEGs,HSV2,Down,992,8
Virus in Nasal RNA,PBMC DEGs,HSV2,Up,1107,8
Virus in PBMC RNA,Nasal DEGs,Anelloviridae,Down,18,9
Virus in PBMC RNA,Nasal DEGs,Anelloviridae,Up,15,9
Virus in PBMC RNA,Nasal DEGs,CMV,Up,1,10
Virus in PBMC RNA,Nasal DEGs,EBV,Down,9,11
Virus in PBMC RNA,Nasal DEGs,EBV,Up,22,11
Virus in PBMC RNA,PBMC DEGs,Anelloviridae,Down,2967,12
Virus in PBMC RNA,PBMC DEGs,Anelloviridae,Up,1915,12
Virus in PBMC RNA,PBMC DEGs,CMV,Down,1473,13
Virus in PBMC RNA,PBMC DEGs,CMV,Up,1126,13
Virus in PBMC RNA,PBMC DEGs,EBV,Down,2382,14
Virus in PBMC RNA,PBMC DEGs,EBV,Up,1891,14
