"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dir","database","virus","knock_in"
"R-HSA-6805567","R-HSA-6805567","Keratinization","25/199","67/8368",3.90368455934701e-24,1.15744247184639e-21,1.04166740609944e-21,"5317/3872/2312/7062/84648/3713/6703/26085/144501/192666/6699/6698/196374/286887/3860/3854/43849/3868/6701/6704/1041/3853/126638/6700/6705",25,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-6809371","R-HSA-6809371","Formation of the cornified envelope","25/199","67/8368",3.90368455934701e-24,1.15744247184639e-21,1.04166740609944e-21,"5317/3872/2312/7062/84648/3713/6703/26085/144501/192666/6699/6698/196374/286887/3860/3854/43849/3868/6701/6704/1041/3853/126638/6700/6705",25,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-73728","R-HSA-73728","RNA Polymerase I Promoter Opening","7/199","49/8368",0.000142544121336883,0.0156344390561946,0.0140705788612597,"3014/8362/8339/8354/8345/8350/8343",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-5334118","R-HSA-5334118","DNA methylation","7/199","50/8368",0.000162453196951531,0.0156344390561946,0.0140705788612597,"3014/8362/8339/8354/8345/8350/8343",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-6803157","R-HSA-6803157","Antimicrobial peptides","6/199","36/8368",0.000180136038515246,0.0156344390561946,0.0140705788612597,"5646/6278/114771/57115/84659/1673",6,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-2022090","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","7/199","51/8368",0.000184554929837036,0.0156344390561946,0.0140705788612597,"7093/7837/1515/649/80781/85301/131873",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-5625886","R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","7/199","51/8368",0.000184554929837036,0.0156344390561946,0.0140705788612597,"3014/8362/8339/8354/8345/8350/8343",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-427359","R-HSA-427359","SIRT1 negatively regulates rRNA expression","7/199","54/8368",0.00026581846278872,0.0197037935542139,0.0177328895570896,"3014/8362/8339/8354/8345/8350/8343",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1912422","R-HSA-1912422","Pre-NOTCH Expression and Processing","9/199","95/8368",0.000407811877636963,0.0228906901189074,0.0206010116096318,"51548/6484/3014/8362/8339/8354/8345/8350/8343",9,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-5625740","R-HSA-5625740","RHO GTPases activate PKNs","8/199","77/8368",0.000458537308249672,0.0228906901189074,0.0206010116096318,"2810/3014/8362/8339/8354/8345/8350/8343",8,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-212300","R-HSA-212300","PRC2 methylates histones and DNA","7/199","59/8368",0.000463218012524265,0.0228906901189074,0.0206010116096318,"3014/8362/8339/8354/8345/8350/8343",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-2299718","R-HSA-2299718","Condensation of Prophase Chromosomes","7/199","59/8368",0.000463218012524265,0.0228906901189074,0.0206010116096318,"3014/8362/8339/8354/8345/8350/8343",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1912408","R-HSA-1912408","Pre-NOTCH Transcription and Translation","8/199","79/8368",0.000545952636358233,0.0231249938114594,0.0208118786942574,"51548/3014/8362/8339/8354/8345/8350/8343",8,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-8936459","R-HSA-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","8/199","79/8368",0.000545952636358233,0.0231249938114594,0.0208118786942574,"161882/3014/8362/8339/8354/8345/8350/8343",8,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-3214815","R-HSA-3214815","HDACs deacetylate histones","8/199","80/8368",0.000594460588382751,0.0233065063606131,0.0209752351554644,"83933/2874/8362/8339/8354/8345/8350/8343",8,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-427389","R-HSA-427389","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","7/199","62/8368",0.000628843341938971,0.0233065063606131,0.0209752351554644,"3014/8362/8339/8354/8345/8350/8343",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-912446","R-HSA-912446","Meiotic recombination","7/199","69/8368",0.00119941565426279,0.0418384401751666,0.0376534821493024,"3014/8362/8339/8354/8345/8350/8343",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1474290","R-HSA-1474290","Collagen formation","7/199","72/8368",0.00154249045080396,0.050816490962597,0.0457334888045383,"7093/7837/1515/649/80781/85301/131873",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","7/199","73/8368",0.00167239777956962,0.0521964149097255,0.046975383614504,"3014/8362/8339/8354/8345/8350/8343",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-201722","R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex","7/199","75/8368",0.00195764375975105,0.0552801309301129,0.0497506459245003,"3014/8362/8339/8354/8345/8350/8343",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-73772","R-HSA-73772","RNA Polymerase I Promoter Escape","7/199","75/8368",0.00195764375975105,0.0552801309301129,0.0497506459245003,"3014/8362/8339/8354/8345/8350/8343",7,"up","Reactome","Anelloviridae.pbmc",FALSE
