name,conv_cluster6,count,freq,label
Anelloviridae.pbmc,cognitive,14,17.5,"n=14
(17.5%)"
Anelloviridae.pbmc,global,11,13.750000000000002,"n=11
(13.8%)"
Anelloviridae.pbmc,minimal,46,57.49999999999999,"n=46
(57.5%)"
Anelloviridae.pbmc,physical,9,11.25,"n=9
(11.2%)"
Enterovirus.nasal,cognitive,5,19.230769230769234,"n=5
(19.2%)"
Enterovirus.nasal,minimal,16,61.53846153846154,"n=16
(61.5%)"
Enterovirus.nasal,physical,5,19.230769230769234,"n=5
(19.2%)"
HSV1.nasal,cognitive,13,21.666666666666668,"n=13
(21.7%)"
HSV1.nasal,global,6,10,"n=6
(10%)"
HSV1.nasal,minimal,31,51.66666666666667,"n=31
(51.7%)"
HSV1.nasal,physical,10,16.666666666666664,"n=10
(16.7%)"
HSV2.nasal,cognitive,1,10,"n=1
(10%)"
HSV2.nasal,global,3,30,"n=3
(30%)"
HSV2.nasal,minimal,6,60,"n=6
(60%)"
CMV.pbmc,cognitive,1,6.25,"n=1
(6.2%)"
CMV.pbmc,minimal,13,81.25,"n=13
(81.2%)"
CMV.pbmc,physical,2,12.5,"n=2
(12.5%)"
EBV.nasal,cognitive,4,14.814814814814813,"n=4
(14.8%)"
EBV.nasal,global,5,18.51851851851852,"n=5
(18.5%)"
EBV.nasal,minimal,15,55.55555555555556,"n=15
(55.6%)"
EBV.nasal,physical,3,11.11111111111111,"n=3
(11.1%)"
EBV.pbmc,cognitive,16,12.903225806451612,"n=16
(12.9%)"
EBV.pbmc,global,16,12.903225806451612,"n=16
(12.9%)"
EBV.pbmc,minimal,70,56.451612903225815,"n=70
(56.5%)"
EBV.pbmc,physical,22,17.741935483870968,"n=22
(17.7%)"
Virus Negative,cognitive,49,14.411764705882351,"n=49
(14.4%)"
Virus Negative,global,30,8.823529411764707,"n=30
(8.8%)"
Virus Negative,minimal,206,60.588235294117645,"n=206
(60.6%)"
Virus Negative,physical,55,16.176470588235293,"n=55
(16.2%)"
