...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-6798695,R-HSA-6798695,Neutrophil degranulation,80/490,451/8020,5.07092480419415e-19,4.43705920366988e-16,4.25957683552309e-16,22875/4353/8993/64386/4057/5337/634/966/4680/10321/1511/5836/4318/1522/671/10562/79895/56729/8778/2352/8876/25801/5768/4317/383/8987/84418/5328/7130/6590/1088/1116/1118/6947/10970/53831/11001/7226/6518/8804/2040/3934/932/978/6283/3577/5806/2919/2992/6286/820/1669/338339/3848/6036/6037/126014/1084/116844/566/4973/353189/154664/222487/199675/2204/5657/1991/3304/3303/57126/5005/5004/5273/3043/441864/401258/3240/8972/23601,80,up,Reactome,Anelloviridae.pbmc,FALSE,1,15.352904776454597,15.352904776454597
R-HSA-72312,R-HSA-72312,rRNA processing,153/3370,199/8020,4.07682785689333e-24,5.40995056609745e-21,5.2269224523116605e-21,81887/6224/51096/51106/23517/51602/55781/6141/10885/57418/55623/6160/114049/23016/56915/22894/6193/27292/8602/6128/6175/23481/4809/6122/10528/8780/6217/2091/6223/6142/55131/6158/6143/6164/6207/11103/4839/6206/6152/9136/4691/6209/84128/6146/10969/387338/27042/6230/55127/11340/27340/6144/130916/6125/29960/10199/83732/10799/9349/25873/23404/1736/25926/6155/57050/6210/134430/55226/92856/54881/11224/6194/6176/6229/55759/6187/84916/28987/6205/23521/6135/6202/6233/6161/6189/6167/55651/6134/6129/6130/10556/22984/6188/10557/6156/10813/8568/6132/6154/6159/79707/6133/11102/23160/26354/84135/6208/25879/65083/6166/9188/9790/6157/6137/55720/3921/5394/6227/55178/6201/6169/51504/54931/6124/6138/6181/6232/55272/54512/6218/6165/10607/79050/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/51202/7311/9277/6171/6222/6234/6173/79159/11056/79922,153,down,Reactome,Anelloviridae.pbmc,FALSE,-1,20.266806703279602,-20.266806703279602
R-HSA-8868773,R-HSA-8868773,rRNA processing in the nucleus and cytosol,146/3370,189/8020,1.99966088706389e-23,1.32677499856689e-20,1.2818878739177998e-20,81887/6224/51096/23517/51602/55781/6141/10885/57418/55623/6160/114049/23016/56915/22894/6193/27292/8602/6128/6175/23481/4809/6122/10528/8780/6217/2091/6223/6142/55131/6158/6143/6164/6207/11103/4839/6206/6152/9136/4691/6209/84128/6146/10969/27042/6230/55127/11340/27340/6144/6125/10199/83732/10799/9349/25873/23404/1736/25926/6155/57050/6210/134430/55226/92856/54881/11224/6194/6176/6229/55759/6187/84916/28987/6205/23521/6135/6202/6233/6161/6189/6167/55651/6134/6129/6130/10556/22984/6188/10557/6156/10813/8568/6132/6154/6159/79707/6133/11102/23160/26354/84135/6208/25879/65083/6166/9188/9790/6157/6137/55720/3921/5394/6227/6201/6169/51504/6124/6138/6181/6232/55272/54512/6218/6165/10607/79050/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/51202/7311/9277/6171/6222/6234/6173/79159/11056,146,down,Reactome,Anelloviridae.pbmc,FALSE,-1,19.87720272081757,-19.87720272081757
R-HSA-6791226,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,139/3370,179/8020,9.62737253904865e-23,4.25850778643918e-20,4.11443500089868e-20,81887/6224/51096/23517/51602/55781/6141/10885/57418/6160/114049/23016/56915/22894/6193/8602/6128/6175/23481/4809/6122/10528/8780/6217/2091/6223/6142/55131/6158/6143/6164/6207/11103/6206/6152/9136/4691/6209/84128/6146/10969/27042/6230/55127/11340/27340/6144/6125/10199/83732/10799/9349/25873/23404/25926/6155/57050/6210/134430/92856/54881/11224/6194/6176/6229/55759/6187/84916/28987/6205/23521/6135/6202/6233/6161/6189/6167/6134/6129/6130/10556/22984/6188/10557/6156/10813/8568/6132/6154/6159/79707/6133/11102/23160/26354/84135/6208/25879/65083/6166/9188/9790/6157/6137/55720/3921/5394/6227/6201/6169/6124/6138/6181/6232/55272/54512/6218/6165/10607/79050/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/51202/7311/9277/6171/6222/6234/6173/79159/11056,139,down,Reactome,Anelloviridae.pbmc,FALSE,-1,19.370742554334985,-19.370742554334985
R-HSA-72689,R-HSA-72689,Formation of a pool of free 40S subunits,87/3370,98/8020,3.1110332006340196e-22,1.0320852643103399e-19,9.971680100979569e-20,6224/6141/6160/6193/8668/6128/6175/51386/6122/8664/3646/6217/6223/6142/8661/6158/6143/6164/6207/6206/6152/6209/6146/6230/6144/6125/9349/25873/8666/6155/6210/11224/6194/6176/6229/6187/6205/23521/6135/6202/6233/6161/6189/6167/6134/6129/8667/6130/10480/6188/6156/6132/6154/6159/6133/6208/6166/6157/6137/3921/6227/6201/6169/1964/6124/6138/8665/6181/6232/27335/6218/6165/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/7311/6171/6222/6234/6173,87,down,Reactome,Anelloviridae.pbmc,FALSE,-1,18.986284422582976,-18.986284422582976
R-HSA-156842,R-HSA-156842,Eukaryotic Translation Elongation,80/3370,88/8020,4.13875876002056e-22,1.0984265749094598e-19,1.0612648778326399e-19,6224/6141/6160/6193/6128/6175/6122/1936/6217/6223/6142/6158/6143/6164/6207/6206/6152/1933/6209/6146/6230/6144/6125/9349/25873/6155/6210/11224/6194/6176/6229/6187/6205/23521/6135/6202/6233/6161/6189/6167/6134/6129/6130/6188/6156/1915/6132/6154/6159/6133/6208/6166/6157/6137/1938/3921/6227/6201/6169/6124/6138/6181/6232/6218/6165/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/7311/6171/6222/6234/6173,80,down,Reactome,Anelloviridae.pbmc,FALSE,-1,18.959228968490784,-18.959228968490784
R-HSA-156827,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,93/3370,108/8020,1.487296945995e-21,3.28940507889227e-19,3.17811873723141e-19,6224/1975/6141/26986/6160/6193/8668/6128/6175/51386/6122/8664/3646/6217/6223/6142/7458/8661/6158/6143/6164/6207/6206/6152/6209/6146/6230/6144/6125/9349/25873/1968/8666/6155/1965/6210/11224/6194/6176/6229/6187/6205/23521/6135/6202/6233/6161/6189/6167/6134/6129/8667/6130/10480/6188/6156/1974/6132/6154/6159/6133/6208/6166/6157/6137/3921/6227/6201/6169/1964/6124/6138/8665/6181/6232/27335/6218/6165/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/7311/6171/6222/6234/6173,93,down,Reactome,Anelloviridae.pbmc,FALSE,-1,18.4828826413562,-18.4828826413562
R-HSA-156902,R-HSA-156902,Peptide chain elongation,78/3370,86/8020,1.98864302951747e-21,3.5105050177009e-19,3.3917384774201396e-19,6224/6141/6160/6193/6128/6175/6122/6217/6223/6142/6158/6143/6164/6207/6206/6152/6209/6146/6230/6144/6125/9349/25873/6155/6210/11224/6194/6176/6229/6187/6205/23521/6135/6202/6233/6161/6189/6167/6134/6129/6130/6188/6156/1915/6132/6154/6159/6133/6208/6166/6157/6137/1938/3921/6227/6201/6169/6124/6138/6181/6232/6218/6165/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/7311/6171/6222/6234/6173,78,down,Reactome,Anelloviridae.pbmc,FALSE,-1,18.454630401874926,-18.454630401874926
R-HSA-72613,R-HSA-72613,Eukaryotic Translation Initiation,98/3370,116/8020,2.38090016272103e-21,3.5105050177009e-19,3.3917384774201396e-19,6224/1975/6141/26986/8891/6160/6193/8668/6128/6175/51386/6122/8664/3646/6217/6223/6142/7458/8661/6158/6143/6164/6207/1967/6206/6152/8890/6209/6146/6230/6144/6125/9349/25873/1968/8666/6155/1965/6210/11224/6194/6176/6229/6187/6205/23521/6135/6202/6233/6161/8893/6189/6167/6134/6129/8667/6130/10480/6188/6156/1974/9669/6132/6154/6159/6133/6208/6166/6157/6137/3921/6227/6201/6169/1964/6124/6138/8665/6181/6232/27335/6218/6165/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/7311/6171/6222/6234/6173,98,down,Reactome,Anelloviridae.pbmc,FALSE,-1,18.454630401874926,-18.454630401874926
R-HSA-72737,R-HSA-72737,Cap-dependent Translation Initiation,98/3370,116/8020,2.38090016272103e-21,3.5105050177009e-19,3.3917384774201396e-19,6224/1975/6141/26986/8891/6160/6193/8668/6128/6175/51386/6122/8664/3646/6217/6223/6142/7458/8661/6158/6143/6164/6207/1967/6206/6152/8890/6209/6146/6230/6144/6125/9349/25873/1968/8666/6155/1965/6210/11224/6194/6176/6229/6187/6205/23521/6135/6202/6233/6161/8893/6189/6167/6134/6129/8667/6130/10480/6188/6156/1974/9669/6132/6154/6159/6133/6208/6166/6157/6137/3921/6227/6201/6169/1964/6124/6138/8665/6181/6232/27335/6218/6165/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/7311/6171/6222/6234/6173,98,down,Reactome,Anelloviridae.pbmc,FALSE,-1,18.454630401874926,-18.454630401874926
R-HSA-727661,R-HSA-72766,Translation,198/3370,286/8020,2.85264268271349e-21,3.7854568399608096e-19,3.6573881974158295e-19,6224/6301/55173/84545/60488/1975/6141/3735/23471/26986/8891/6160/6193/8668/4528/6128/6175/51650/16/55168/51386/6122/8664/10240/124454/3646/1936/54938/6217/51073/6223/6142/64983/7458/10952/8661/6158/6143/6164/6207/1967/54516/6206/51069/10884/23107/5917/6152/11222/28972/1933/8890/6209/1615/10056/6146/10352/6230/9789/6185/63931/6144/51116/6125/10102/57505/6745/51081/9349/64949/6183/25873/64981/1968/8666/64432/6155/55037/7818/51520/1965/6210/4677/8565/64965/2058/54534/11224/6194/57176/79731/6176/6229/51067/6727/6187/6205/23521/6135/6202/79590/80222/65005/6233/64969/6161/58477/8893/6189/6167/10667/6134/6129/8667/92399/6130/10480/6188/740/54148/29104/6156/1915/1974/63875/9669/6132/6154/6159/128308/6746/6133/9255/6208/6166/6157/90701/6137/1938/6730/3921/85476/65008/3035/6227/6201/5859/6169/51504/78988/1964/6124/65003/6138/6731/8665/51642/6181/6232/7284/27335/2193/5464/6748/64928/64963/51021/6218/6165/6734/116541/64976/6228/9045/23708/3376/6231/6168/6136/6191/6147/4736/6170/64978/7407/28973/6235/7311/6171/6222/6234/6173/55052/64968/1650/92935/26589/54460,198,down,Reactome,Anelloviridae.pbmc,FALSE,-1,18.4218817010776,-18.4218817010776
