conv_cluster6,name,freq,count,positive,pos_freq,label1,label2,.group
cognitive,Anelloviridae.pbmc,17.94871794871795,78,14,7.291666666666667,14/78,17.9%,1
cognitive,EBV.nasal,5.633802816901409,71,4.000000000000001,5.194805194805196,4/71,5.6%,2
cognitive,EBV.pbmc,20.51282051282051,78,15.999999999999998,5.574912891986062,16/78,20.5%,3
cognitive,Enterovirus.nasal,7.042253521126761,71,5,9.803921568627452,5/71,7%,4
cognitive,HSV1.nasal,12.676056338028168,71,8.999999999999998,8.823529411764703,9/71,12.7%,5
cognitive,HSV2.nasal,0,71,0,0,0/71,0%,6
global,Anelloviridae.pbmc,19.642857142857142,56,11,5.729166666666666,11/56,19.6%,1
global,EBV.nasal,9.803921568627452,51,5.000000000000001,6.493506493506494,5/51,9.8%,2
global,EBV.pbmc,28.57142857142857,56,16,5.574912891986063,16/56,28.6%,3
global,Enterovirus.nasal,0,51,0,0,0/51,0%,4
global,HSV1.nasal,8,50,4,3.9215686274509802,4/50,8%,5
global,HSV2.nasal,1.9607843137254901,51,1,25,1/51,2%,6
minimal,Anelloviridae.pbmc,13.529411764705882,340,46,23.958333333333336,46/340,13.5%,1
minimal,EBV.nasal,4.62962962962963,324,15,19.480519480519483,15/324,4.6%,2
minimal,EBV.pbmc,20.588235294117645,340,69.99999999999999,24.390243902439018,70/340,20.6%,3
minimal,Enterovirus.nasal,4.938271604938271,324,16,31.372549019607842,16/324,4.9%,4
minimal,HSV1.nasal,7.210031347962382,319,23,22.54901960784314,23/319,7.2%,5
minimal,HSV2.nasal,0.30864197530864196,324,1,25,1/324,0.3%,6
physical,Anelloviridae.pbmc,9.782608695652174,92,9,4.6875,9/92,9.8%,1
physical,EBV.nasal,3.6585365853658534,82,3,3.896103896103896,3/82,3.7%,2
physical,EBV.pbmc,23.91304347826087,92,22,7.665505226480835,22/92,23.9%,3
physical,Enterovirus.nasal,6.097560975609756,82,5,9.803921568627452,5/82,6.1%,4
physical,HSV1.nasal,8.536585365853659,82,7,6.862745098039216,7/82,8.5%,5
physical,HSV2.nasal,0,82,0,0,0/82,0%,6
non-responder,Anelloviridae.pbmc,20.8955223880597,536,111.99999999999999,58.33333333333333,112/536,20.9%,1
non-responder,EBV.nasal,9.9601593625498,502,50,64.93506493506493,50/502,10%,2
non-responder,EBV.pbmc,30.410447761194032,536,163.00000000000003,56.794425087108024,163/536,30.4%,3
non-responder,Enterovirus.nasal,4.9800796812749,502,25,49.01960784313725,25/502,5%,4
non-responder,HSV1.nasal,11.87122736418511,497,59,57.84313725490197,59/497,11.9%,5
non-responder,HSV2.nasal,0.39920159680638717,501,1.9999999999999998,49.99999999999999,2/501,0.4%,6
