conv_cluster6,count,count2,freq,.group
Cognitive,1,20,28.985507246376812,1
Cognitive,2,11,15.942028985507244,1
Cognitive,3,17,24.637681159420293,1
Cognitive,4,21,30.434782608695656,1
Global,1,8,17.391304347826086,2
Global,2,13,28.26086956521739,2
Global,3,13,28.26086956521739,2
Global,4,12,26.08695652173913,2
Minimal,1,51,16.293929712460063,3
Minimal,2,92,29.39297124600639,3
Minimal,3,83,26.517571884984026,3
Minimal,4,87,27.79552715654952,3
Physical,1,18,22.5,4
Physical,2,19,23.75,4
Physical,3,18,22.5,4
Physical,4,25,31.25,4
