"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dir","database","virus","knock_in"
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","80/502","451/8020",2.30154337040692e-18,2.20257700547942e-15,2.14891470479046e-15,"22875/4353/8993/64386/4057/5337/634/966/4680/10321/1511/5836/4318/1522/671/10562/79895/56729/8778/2352/8876/25801/5768/4317/383/8987/84418/5328/7130/6590/1088/1116/1118/6947/10970/53831/11001/7226/6518/8804/2040/3934/932/978/6283/3577/5806/2919/2992/6286/820/1669/338339/3848/6036/6037/126014/1084/116844/566/4973/353189/154664/222487/199675/2204/5657/1991/3304/3303/57126/5005/5004/5273/3043/441864/401258/3240/8972/23601",80,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1237044","R-HSA-1237044","Erythrocytes take up carbon dioxide and release oxygen","8/502","13/8020",2.17142258678728e-07,5.41042153659804e-05,5.27860518392175e-05,"6521/6005/759/762/3040/3039/358/3043",8,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1480926","R-HSA-1480926","O2/CO2 exchange in erythrocytes","8/502","13/8020",2.17142258678728e-07,5.41042153659804e-05,5.27860518392175e-05,"6521/6005/759/762/3040/3039/358/3043",8,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-6803157","R-HSA-6803157","Antimicrobial peptides","12/502","32/8020",2.26140921069929e-07,5.41042153659804e-05,5.27860518392175e-05,"8993/4057/1511/671/3934/820/1669/6037/55600/5657/1991/1668",12,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1592389","R-HSA-1592389","Activation of Matrix Metalloproteinases","8/502","19/8020",9.10816918946897e-06,0.00174330358286436,0.00170083075180189,"64386/1511/4318/4324/4317/5045/4312/1991",8,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","29/502","205/8020",2.73990999022985e-05,0.00437015643441662,0.00426368449356821,"64386/999/91522/1308/634/4680/1299/1511/4318/4324/4317/6696/4053/1088/650/3679/2247/5045/351/3680/5352/3681/7412/26577/2200/7148/4312/1991/3672",29,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-445095","R-HSA-445095","Interaction between L1 and Ankyrins","7/502","18/8020",6.26633466010569e-05,0.0085669746710302,0.00835825390002067,"286/6710/6708/6335/6712/6331/6334",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-983231","R-HSA-983231","Factors involved in megakaryocyte development and platelet production","19/502","126/8020",0.000289218729959681,0.0345977905714269,0.0337548701939786,"23095/24137/2623/147700/10112/4602/9732/57572/7280/3832/11004/146909/3048/3046/3047/3045/3833/3043/8353",19,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-6791312","R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes","10/502","47/8020",0.00053313812792134,0.0512871698618977,0.0500376391877064,"1869/28984/1647/79733/8900/995/144455/983/9134/7027",10,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1442490","R-HSA-1442490","Collagen degradation","9/502","39/8020",0.000535916090510948,0.0512871698618977,0.0500376391877064,"91522/1308/1299/4318/4324/4317/5045/4312/1991",9,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","14/502","88/8020",0.00104111581078948,0.0821316367102883,0.0801306294473143,"64386/999/91522/1308/1299/1511/4318/4324/4317/6696/5045/2200/4312/1991",14,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-500792","R-HSA-500792","GPCR ligand binding","26/502","219/8020",0.00116155737483204,0.0821316367102883,0.0801306294473143,"7504/10203/2920/2862/5737/6372/79948/1910/351/5746/1393/133/150/7855/60675/3577/2921/2919/8326/3792/56670/2532/1241/259286/2790/6349",26,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-6804116","R-HSA-6804116","TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest","5/502","14/8020",0.00117453415239371,0.0821316367102883,0.0801306294473143,"1869/79733/8900/144455/9134",5,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-2672351","R-HSA-2672351","Stimuli-sensing channels","12/502","70/8020",0.00120150774706796,0.0821316367102883,0.0801306294473143,"23327/140803/2281/144453/57578/7226/2040/1193/55129/7314/1180/6262",12,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-69205","R-HSA-69205","G1/S-Specific Transcription","7/502","28/8020",0.00134785209431068,0.0859929636170213,0.0838978812388472,"1869/8900/81620/983/7298/7027/1719",7,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-983189","R-HSA-983189","Kinesins","9/502","45/8020",0.00160261929914164,0.0888951866706972,0.0867293962238447,"23095/24137/147700/10112/7280/3832/11004/146909/3833",9,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-397014","R-HSA-397014","Muscle contraction","17/502","123/8020",0.00161430773646699,0.0888951866706972,0.0867293962238447,"3757/10580/2281/3759/482/2258/8291/7111/1193/8645/6335/3753/6331/6334/4635/6262/3672",17,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-9033658","R-HSA-9033658","Blood group systems biosynthesis","5/502","15/8020",0.00167200978064007,0.0888951866706972,0.0867293962238447,"2523/2529/6007/6006/2526",5,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-425366","R-HSA-425366","Transport of bile salts and organic acids, metal ions and amine compounds","9/502","46/8020",0.00188442421077989,0.0949154720903347,0.0926030069230896,"85413/6005/6563/9123/55244/55356/340024/6536/6583",9,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-5576891","R-HSA-5576891","Cardiac conduction","12/502","75/8020",0.00221962852091306,0.10620922472569,0.10362160516052,"3757/2281/3759/482/2258/1193/8645/6335/3753/6331/6334/6262",12,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-69273","R-HSA-69273","Cyclin A/B1/B2 associated events during G2/M transition","6/502","25/8020",0.00371629512300775,0.169356877748496,0.165230765619443,"2305/9088/8900/995/993/983",6,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","10/502","62/8020",0.00476546753634837,0.207297837831154,0.202247354293828,"999/91522/1299/6696/3679/3680/3681/7412/2200/3672",10,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-375276","R-HSA-375276","Peptide ligand-binding receptors","13/502","94/8020",0.0054792061565783,0.208063467361777,0.202994330473405,"7504/2920/2862/6372/1910/351/60675/3577/2921/2919/3792/2532/6349",13,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1538133","R-HSA-1538133","G0 and Early G1","6/502","27/8020",0.00558436525848126,0.208063467361777,0.202994330473405,"1869/8900/993/983/9134/7027",6,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-109582","R-HSA-109582","Hemostasis","45/502","491/8020",0.00579685810282493,0.208063467361777,0.202994330473405,"23095/5526/634/4680/24137/2623/8140/147700/10112/5768/4602/5328/1088/9732/482/57572/2161/2995/7280/3832/9123/351/11004/150/7102/2993/1084/4973/146909/5657/3048/4312/57126/3046/3047/3672/3045/5005/5004/3833/2790/3043/2994/6414/8353",45,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-112316","R-HSA-112316","Neuronal System","25/502","234/8020",0.00592391163829597,0.208063467361777,0.202994330473405,"3757/56666/6507/43/8825/2570/116444/3759/3787/23416/7280/5792/8497/7102/6854/3772/89832/78999/112/1139/26251/90134/4128/777/2790",25,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-983712","R-HSA-983712","Ion channel transport","16/502","129/8020",0.00648834617967868,0.208063467361777,0.202994330473405,"23327/10079/9914/79895/140803/2281/144453/482/57578/7226/2040/1193/55129/7314/1180/6262",16,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","11/502","75/8020",0.00659770344913542,0.208063467361777,0.202994330473405,"10272/1511/5768/6696/348/10970/351/2200/255738/1000/4312",11,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-1296072","R-HSA-1296072","Voltage gated Potassium channels","5/502","20/8020",0.0066545479998906,0.208063467361777,0.202994330473405,"3757/3787/23416/26251/90134",5,"up","Reactome","Anelloviridae.pbmc",FALSE
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","10/502","65/8020",0.00671022955209511,0.208063467361777,0.202994330473405,"1053/1869/688/4602/6886/2672/1051/7027/1050/8353",10,"up","Reactome","Anelloviridae.pbmc",FALSE
