...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-6798695,R-HSA-6798695,Neutrophil degranulation,80/502,451/8020,2.30154337040692e-18,2.20257700547942e-15,2.14891470479046e-15,22875/4353/8993/64386/4057/5337/634/966/4680/10321/1511/5836/4318/1522/671/10562/79895/56729/8778/2352/8876/25801/5768/4317/383/8987/84418/5328/7130/6590/1088/1116/1118/6947/10970/53831/11001/7226/6518/8804/2040/3934/932/978/6283/3577/5806/2919/2992/6286/820/1669/338339/3848/6036/6037/126014/1084/116844/566/4973/353189/154664/222487/199675/2204/5657/1991/3304/3303/57126/5005/5004/5273/3043/441864/401258/3240/8972/23601,80,up,Reactome,Anelloviridae.pbmc,FALSE,1,14.657068899047506,14.657068899047506
R-HSA-72312,R-HSA-72312,rRNA processing,157/3436,199/8020,7.84594387713507e-26,1.0419413468835399e-22,1.0026290386149399e-22,81887/60528/6224/51096/51106/23517/51602/55781/6141/10885/57418/55623/6160/114049/23016/56915/22894/6193/27292/8602/22803/6128/6175/23481/4809/6122/10528/8780/6217/2091/6223/6142/55131/6158/6143/6164/6207/11103/4839/6206/6152/9136/4691/6209/84128/6146/10969/387338/27042/6230/55127/11340/27340/6144/130916/6125/29960/10199/83732/10799/9349/25873/23404/1736/25926/6155/57050/6210/134430/55226/92856/54881/11224/6194/6176/6229/55759/6187/84916/28987/6205/23521/6135/6202/6233/6161/6189/6167/55651/6134/6129/6130/10556/22984/6188/10557/6156/10813/8568/6132/6154/6159/79707/6133/11102/23160/26354/84135/6208/25879/65083/6166/9188/9790/6157/6137/55720/3921/6203/51013/5394/6227/55178/6201/6169/51504/54931/6124/6138/6181/6232/55272/54512/6218/6165/10607/79050/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/51202/7311/9277/6171/6222/6234/6173/79159/11056/79922,157,down,Reactome,Anelloviridae.pbmc,FALSE,-1,21.982156727717655,-21.982156727717655
R-HSA-8868773,R-HSA-8868773,rRNA processing in the nucleus and cytosol,149/3436,189/8020,1.66388917270366e-24,1.10482241067523e-21,1.06313760824329e-21,81887/6224/51096/23517/51602/55781/6141/10885/57418/55623/6160/114049/23016/56915/22894/6193/27292/8602/22803/6128/6175/23481/4809/6122/10528/8780/6217/2091/6223/6142/55131/6158/6143/6164/6207/11103/4839/6206/6152/9136/4691/6209/84128/6146/10969/27042/6230/55127/11340/27340/6144/6125/10199/83732/10799/9349/25873/23404/1736/25926/6155/57050/6210/134430/55226/92856/54881/11224/6194/6176/6229/55759/6187/84916/28987/6205/23521/6135/6202/6233/6161/6189/6167/55651/6134/6129/6130/10556/22984/6188/10557/6156/10813/8568/6132/6154/6159/79707/6133/11102/23160/26354/84135/6208/25879/65083/6166/9188/9790/6157/6137/55720/3921/6203/51013/5394/6227/6201/6169/51504/6124/6138/6181/6232/55272/54512/6218/6165/10607/79050/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/51202/7311/9277/6171/6222/6234/6173/79159/11056,149,down,Reactome,Anelloviridae.pbmc,FALSE,-1,20.956707524930987,-20.956707524930987
R-HSA-6791226,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,142/3436,179/8020,6.743615701302071e-24,2.98517388377638e-21,2.8725436706598998e-21,81887/6224/51096/23517/51602/55781/6141/10885/57418/6160/114049/23016/56915/22894/6193/8602/22803/6128/6175/23481/4809/6122/10528/8780/6217/2091/6223/6142/55131/6158/6143/6164/6207/11103/6206/6152/9136/4691/6209/84128/6146/10969/27042/6230/55127/11340/27340/6144/6125/10199/83732/10799/9349/25873/23404/25926/6155/57050/6210/134430/92856/54881/11224/6194/6176/6229/55759/6187/84916/28987/6205/23521/6135/6202/6233/6161/6189/6167/6134/6129/6130/10556/22984/6188/10557/6156/10813/8568/6132/6154/6159/79707/6133/11102/23160/26354/84135/6208/25879/65083/6166/9188/9790/6157/6137/55720/3921/6203/51013/5394/6227/6201/6169/6124/6138/6181/6232/55272/54512/6218/6165/10607/79050/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/51202/7311/9277/6171/6222/6234/6173/79159/11056,142,down,Reactome,Anelloviridae.pbmc,FALSE,-1,20.52503036652284,-20.52503036652284
R-HSA-156842,R-HSA-156842,Eukaryotic Translation Elongation,81/3436,88/8020,1.27468211431791e-22,3.54500312235388e-20,3.4112506266150996e-20,6224/6141/6160/6193/6128/6175/6122/1936/6217/6223/6142/6158/6143/6164/6207/6206/6152/1933/6209/6146/6230/6144/6125/9349/25873/6155/6210/11224/6194/6176/6229/6187/6205/23521/6135/6202/6233/6161/6189/6167/6134/6129/6130/6188/6156/1915/6132/6154/6159/6133/6208/6166/6157/6137/1938/3921/6203/6227/6201/6169/6124/6138/6181/6232/6218/6165/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/7311/6171/6222/6234/6173,81,down,Reactome,Anelloviridae.pbmc,FALSE,-1,19.450383377964563,-19.450383377964563
R-HSA-72689,R-HSA-72689,Formation of a pool of free 40S subunits,88/3436,98/8020,1.33471503100673e-22,3.54500312235388e-20,3.4112506266150996e-20,6224/6141/6160/6193/8668/6128/6175/51386/6122/8664/3646/6217/6223/6142/8661/6158/6143/6164/6207/6206/6152/6209/6146/6230/6144/6125/9349/25873/8666/6155/6210/11224/6194/6176/6229/6187/6205/23521/6135/6202/6233/6161/6189/6167/6134/6129/8667/6130/10480/6188/6156/6132/6154/6159/6133/6208/6166/6157/6137/3921/6203/6227/6201/6169/1964/6124/6138/8665/6181/6232/27335/6218/6165/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/7311/6171/6222/6234/6173,88,down,Reactome,Anelloviridae.pbmc,FALSE,-1,19.450383377964563,-19.450383377964563
R-HSA-72613,R-HSA-72613,Eukaryotic Translation Initiation,100/3436,116/8020,2.05876241257476e-22,3.9057664055704e-20,3.75840235919663e-20,6224/1975/6141/26986/8891/6160/6193/8668/6128/6175/51386/6122/8664/3646/6217/6223/6142/7458/8661/6158/6143/6164/6207/1967/6206/6152/8890/6209/6146/6230/8892/6144/6125/9349/25873/1968/8666/6155/1965/6210/11224/6194/6176/6229/6187/6205/23521/6135/6202/6233/6161/8893/6189/6167/6134/6129/8667/6130/10480/6188/6156/1974/9669/6132/6154/6159/6133/6208/6166/6157/6137/3921/6203/6227/6201/6169/1964/6124/6138/8665/6181/6232/27335/6218/6165/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/7311/6171/6222/6234/6173,100,down,Reactome,Anelloviridae.pbmc,FALSE,-1,19.408293734372645,-19.408293734372645
R-HSA-72737,R-HSA-72737,Cap-dependent Translation Initiation,100/3436,116/8020,2.05876241257476e-22,3.9057664055704e-20,3.75840235919663e-20,6224/1975/6141/26986/8891/6160/6193/8668/6128/6175/51386/6122/8664/3646/6217/6223/6142/7458/8661/6158/6143/6164/6207/1967/6206/6152/8890/6209/6146/6230/8892/6144/6125/9349/25873/1968/8666/6155/1965/6210/11224/6194/6176/6229/6187/6205/23521/6135/6202/6233/6161/8893/6189/6167/6134/6129/8667/6130/10480/6188/6156/1974/9669/6132/6154/6159/6133/6208/6166/6157/6137/3921/6203/6227/6201/6169/1964/6124/6138/8665/6181/6232/27335/6218/6165/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/7311/6171/6222/6234/6173,100,down,Reactome,Anelloviridae.pbmc,FALSE,-1,19.408293734372645,-19.408293734372645
R-HSA-727661,R-HSA-72766,Translation,202/3436,286/8020,3.8288256896972e-22,6.35585064489735e-20,6.116045246437369e-20,6224/6301/55173/84545/60488/1975/6141/3735/23471/26986/8891/6160/6193/8668/4528/6128/6175/51650/16/55168/51386/6122/8664/10240/124454/3646/1936/54938/6217/51073/6223/6142/64983/7458/10952/8661/6158/6143/6164/6207/1967/54516/6206/51069/10884/23107/5917/6152/11222/28972/1933/8890/6209/1615/10056/6146/10352/6230/9789/6185/8892/63931/6144/51116/6125/10102/57505/6745/51081/9349/64949/6183/25873/64981/1968/8666/64432/6155/55037/7818/51520/1965/6210/4677/8565/64965/2058/54534/11224/6194/57176/79731/6176/6229/51067/6727/6187/6205/23521/6135/6202/79590/80222/65005/6233/64969/6161/58477/8893/6189/6167/10667/6134/6129/8667/92399/6130/10480/6188/740/54148/29104/6156/1915/1974/63875/9669/6132/6154/6159/128308/6746/6133/9255/6208/6166/6157/90701/4141/6137/1938/3396/6730/3921/85476/65008/3035/6203/6227/6201/5859/6169/51504/78988/1964/6124/65003/6138/6731/8665/51642/6181/6232/7284/27335/2193/5464/6748/64928/64963/51021/6218/6165/6734/116541/64976/6228/9045/23708/3376/6231/6168/6136/6191/6147/4736/6170/64978/7407/28973/6235/7311/6171/6222/6234/6173/55052/64968/1650/92935/26589/54460,202,down,Reactome,Anelloviridae.pbmc,FALSE,-1,19.19682631676029,-19.19682631676029
R-HSA-156902,R-HSA-156902,Peptide chain elongation,79/3436,86/8020,6.03750983816064e-22,8.90868118341925e-20,8.57255782868657e-20,6224/6141/6160/6193/6128/6175/6122/6217/6223/6142/6158/6143/6164/6207/6206/6152/6209/6146/6230/6144/6125/9349/25873/6155/6210/11224/6194/6176/6229/6187/6205/23521/6135/6202/6233/6161/6189/6167/6134/6129/6130/6188/6156/1915/6132/6154/6159/6133/6208/6166/6157/6137/1938/3921/6203/6227/6201/6169/6124/6138/6181/6232/6218/6165/6228/9045/6231/6168/6136/6191/6147/4736/6170/6235/7311/6171/6222/6234/6173,79,down,Reactome,Anelloviridae.pbmc,FALSE,-1,19.050186582961565,-19.050186582961565
