Tissue,omic,virus,direction,count,.group
Virus in Nasal RNA,Nasal DEGs,CMV,Down,129,1
Virus in Nasal RNA,Nasal DEGs,CMV,Up,186,1
Virus in Nasal RNA,Nasal DEGs,EBV,Down,1099,2
Virus in Nasal RNA,Nasal DEGs,EBV,Up,718,2
Virus in Nasal RNA,Nasal DEGs,HSV1,Down,729,3
Virus in Nasal RNA,Nasal DEGs,HSV1,Up,571,3
Virus in Nasal RNA,PBMC DEGs,CMV,Down,1122,4
Virus in Nasal RNA,PBMC DEGs,CMV,Up,1142,4
Virus in Nasal RNA,PBMC DEGs,EBV,Down,227,5
Virus in Nasal RNA,PBMC DEGs,EBV,Up,497,5
Virus in Nasal RNA,PBMC DEGs,HSV1,Down,1103,6
Virus in Nasal RNA,PBMC DEGs,HSV1,Up,1126,6
Virus in PBMC RNA,Nasal DEGs,Anelloviridae,Down,13,7
Virus in PBMC RNA,Nasal DEGs,Anelloviridae,Up,10,7
Virus in PBMC RNA,Nasal DEGs,CMV,Up,1,8
Virus in PBMC RNA,Nasal DEGs,EBV,Down,9,9
Virus in PBMC RNA,Nasal DEGs,EBV,Up,18,9
Virus in PBMC RNA,PBMC DEGs,Anelloviridae,Down,2998,10
Virus in PBMC RNA,PBMC DEGs,Anelloviridae,Up,1945,10
Virus in PBMC RNA,PBMC DEGs,CMV,Down,1538,11
Virus in PBMC RNA,PBMC DEGs,CMV,Up,1142,11
Virus in PBMC RNA,PBMC DEGs,EBV,Down,2459,12
Virus in PBMC RNA,PBMC DEGs,EBV,Up,1921,12
