...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-449147,R-HSA-449147,Signaling by Interleukins,14/66,396/8368,1.82544427481866e-6,8.4700614351586e-5,7.72451156291688e-5,11213/3162/4792/6648/6364/9173/8809/3656/3569/2919/1901/6351/6349/6348,14,up,Reactome,EBV.pbmc,FALSE,1,4.072113439627544,4.072113439627544
R-HSA-372790,R-HSA-372790,Signaling by GPCR,12/66,473/8368,2.7800413841926e-4,0.00921385144475286,0.00840283185297335,6364/9034/6372/53831/6374/2919/1901/2015/6351/9560/6349/6348,12,up,Reactome,EBV.pbmc,FALSE,1,2.0355587941719206,2.0355587941719206
R-HSA-68055671,R-HSA-6805567,Keratinization,16/108,67/8368,1.23320746267395e-16,2.4355847387810502e-14,2.4355847387810502e-14,2312/7062/84648/6703/26085/144501/6699/6698/196374/43849/3868/6701/6704/1041/6700/6705,16,up,Reactome,Anelloviridae.pbmc,FALSE,1,13.613396755870571,13.613396755870571
R-HSA-68093711,R-HSA-6809371,Formation of the cornified envelope,16/108,67/8368,1.23320746267395e-16,2.4355847387810502e-14,2.4355847387810502e-14,2312/7062/84648/6703/26085/144501/6699/6698/196374/43849/3868/6701/6704/1041/6700/6705,16,up,Reactome,Anelloviridae.pbmc,FALSE,1,13.613396755870571,13.613396755870571
R-HSA-2024242,R-HSA-202424,Downstream TCR signaling,14/282,90/8368,1.59713314322409e-6,0.00141068634612339,0.00122336383580665,5689/5685/5720/5684/5687/5716/5715/6500/5686/915/3932/3123/3122/3113,14,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.8505695371245885,-2.8505695371245885
R-HSA-1632001,R-HSA-163200,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",15/282,122/8368,1.3578292878199e-5,0.00141068634612339,0.00122336383580665,4706/51300/515/1349/4711/4715/4712/509/10632/54205/4729/84987/4700/4697/4722,15,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.8505695371245885,-2.8505695371245885
R-HSA-14285171,R-HSA-1428517,The citric acid (TCA) cycle and respiratory electron transport,18/282,169/8368,1.43425202646039e-5,0.00141068634612339,0.00122336383580665,4706/1738/4967/23530/51300/515/1349/4711/4715/4712/509/10632/54205/4729/84987/4700/4697/4722,18,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.8505695371245885,-2.8505695371245885
R-HSA-89399021,R-HSA-8939902,Regulation of RUNX2 expression and activity,11/282,68/8368,1.45259865241467e-5,0.00141068634612339,0.00122336383580665,5689/5685/5720/9978/5684/5687/5716/10891/5715/6500/5686,11,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.8505695371245885,-2.8505695371245885
R-HSA-689491,R-HSA-68949,Orc1 removal from chromatin,11/282,69/8368,1.67711480791862e-5,0.00141068634612339,0.00122336383580665,5689/5685/4171/5720/9978/5684/5687/5716/5715/6500/5686,11,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.8505695371245885,-2.8505695371245885
R-HSA-2024032,R-HSA-202403,TCR signaling,14/282,111/8368,1.96760964631194e-5,0.00141068634612339,0.00122336383580665,5689/5685/5720/5684/5687/5716/5715/6500/5686/915/3932/3123/3122/3113,14,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.8505695371245885,-2.8505695371245885
