Module (or Feature),Analysis,P value,Adj. p value,Direction
Basophil,Visit 1 analysis Parent population - overall,2.3794658499404293e-6,5.778702778426756e-6,Mild
CD4pos_T_Cell,Visit 1 analysis Parent population - overall,1.83732214788349e-12,1.5617238257009665e-11,Mild
CD8pos_T_Cell,Visit 1 analysis Parent population - overall,1.5628456781760303e-10,4.428062754832086e-10,Mild
Conventional_DC,Visit 1 analysis Parent population - overall,7.765672221373802e-4,0.0013201642776335463,Mild
gd_T_Cell,Visit 1 analysis Parent population - overall,0.0023962079557665315,0.0033946279373359197,Mild
Monocytes,Visit 1 analysis Parent population - overall,2.622829756835346e-5,5.57351323327511e-5,Mild
Neutrophil,Visit 1 analysis Parent population - overall,1.328461668444168e-12,1.5617238257009665e-11,Severe
NK_Cell,Visit 1 analysis Parent population - overall,2.2983021021467101e-4,4.341237304054897e-4,Mild
Plasmacytoid_DC,Visit 1 analysis Parent population - overall,0.002313490908547072,0.0033946279373359197,Mild
Myeloid,Visit 1 analysis Parent population - overall,7.51882163153491e-12,3.1954991934023366e-11,Severe
Lymphocyte,Visit 1 analysis Parent population - overall,5.364146545333604e-12,3.0396830423557095e-11,Mild
MyeloidToLymphocyte,Visit 1 analysis Parent population - overall,3.135199382106505e-11,1.0659677899162116e-10,Severe
Basophil,Visit 1 analysis Parent population - 1|2,0.0018517877436607258,0.006424569722904559,Mild
Basophil,Visit 1 analysis Parent population - 1|4,5.8945946604520504e-6,8.342663415766607e-5,Mild
Basophil,Visit 1 analysis Parent population - 1|5,0.03129521593573249,0.08721617555859874,Mild
Basophil,Visit 1 analysis Parent population - 2|4,2.15132713563786e-4,0.0014066369733016777,Mild
Basophil,Visit 1 analysis Parent population - 3|4,5.436330905325971e-5,4.4008393043115e-4,Mild
Basophil,Visit 1 analysis Parent population - 3|5,0.03256307145354624,0.0892858410823042,Mild
CD4pos_T_Cell,Visit 1 analysis Parent population - 1|2,0.00235156789155943,0.007687818107021214,Mild
CD4pos_T_Cell,Visit 1 analysis Parent population - 1|3,0.0039390056446811815,0.012370671879195043,Mild
CD4pos_T_Cell,Visit 1 analysis Parent population - 1|4,1.8263318703740233e-9,3.10476417963584e-7,Mild
