Predicted_celltype,CD45,GranzymeB,IgA,CD11b,IgM,CD69,IgG,CCR6,ICOS,CD123,CD19,CD4,CD8a,CD11c,CD16,CD45RO,CD45RA,CD161,CCR4,CD25,CD27,CD57,CXCR3,CXCR5,CD39,CD28,CD38,CD169,CD56,TCRgd,CD64,CD294,CCR7,CD14,CD71,CD3,CD20,CD66b,HLADR,IgD,PD-1,CD127,CD61,Tier1
B Cell (CD11c+ CXCR5-),5.30331960031302,0.600366035454009,1.14560458210068,0.259676198459751,1.75046874290006,0.0767262705709782,2.11589706304802,4.84962295044927,0.782921897643646,1.20665416533035,6.42005520413764,1.64313155481749,0.754919894789335,2.75415333604381,1.21558256161274,0.183786913906527,5.87635063363826,0.199294435248675,0.137768169456664,0.58699483694837,0.365875657688304,0.272218013221705,0.298050728815939,0.159089045641343,1.29217264371993,2.24565627178411,0.330404131075352,0.057181464512622,0.098584860309983,0.138149003052853,0.18745059258242,1.2596046486309,0.309839088378046,0.133168037477936,0.517108648588294,0.27124737825869,0.232680624195964,0.466285221613888,1.08753751351476,0.211630620063854,0.668604054672933,0.577023382294351,0.547595879963043,B Cell
B Cell (CD27- IgD- memory),6.36854838471845,0.814986830912231,1.21462102712449,0.170426257050704,1.93146657448174,0.10090554932864,2.12702354816162,5.50584428352833,1.18629769063988,1.01508072966598,6.98594729194516,1.60142152650726,1.22001324887017,0.538619837170609,0.740927283802358,0.194447063159604,6.86336115715927,0.390670879790086,0.215142439395603,0.950412376202826,0.955816209638662,0.26989609704427,0.787418777270531,3.65280437590298,2.23892912469352,2.81122789320141,0.69346716124325,0.123432289108408,0.0677828700931518,0.139666896034511,0.103569437446202,2.07648018052581,3.22910706714071,0.292938904428511,0.428397619085734,0.270795622589569,4.89554088064607,0.901730200199981,4.10667503591343,1.01622906824621,0.391775318469146,0.400379424388243,0.435596832855964,B Cell
B Cell (CD27+ non-switched memory),6.43431439967429,0.972788763743258,1.27993165546918,0.210219100343974,3.06958537517772,0.152392590784814,2.10118324302385,5.8683488890073,1.21944913793391,1.02105757554106,7.13642570700736,1.75296080324531,1.27136276935392,0.675591483984008,0.757453985943873,0.313390817811288,6.23637185238706,0.360240453859802,0.250233175871556,1.93362860793052,2.61366174492088,0.366751174550666,2.3429435976314,3.26999357698827,3.65449257144247,2.9733911724773,0.31043418974047,0.11531828492986,0.0850216762953717,0.144609563004909,0.13711819766455,1.76602010077795,4.26863759944297,0.491464127074796,0.580623960547733,0.305907841656429,1.85106936543499,0.560918029610203,4.3409692752627,3.13579247198561,0.651581650267584,1.34185458482832,0.366589680475339,B Cell
B Cell (CD27+ switched memory),6.46046178515787,0.735612509741907,1.50632786317708,0.201203829413789,2.20106816214989,0.0984875998904272,1.91324469798245,5.49030136680391,1.20120157134851,1.01307440814791,6.96708354581129,1.51761436495745,1.24023648219049,0.606309626814468,0.733104208229627,0.225713631290303,7.03709072698536,0.450079662749552,0.266773671676975,1.06043912437997,3.04287865180319,0.314069989143839,1.17565105469869,3.33682770993268,3.12444689957569,2.71841353290966,0.557464539849075,0.110592206394806,0.0757381106516372,0.12913321060759,0.107807267403655,2.21483562193036,2.52007660986159,0.2086768331553,0.5102140418109,0.257544469651451,4.29176491128779,0.69562695212405,3.70704614171652,0.883000208359923,0.499157312377861,0.550074194892584,0.514317870808506,B Cell
B Cell (CD71+ activated),6.6273821357933,0.925200634988229,1.77718911948982,0.333397225127664,1.46978734002238,0.119455176919977,1.79927113297913,4.64081837414221,1.02579546509745,0.919680938674724,6.97002561344348,0.974255149885203,1.35254642476761,0.971631586276464,1.13322233383509,0.201736222429552,6.84592537899878,0.476038852092946,0.245269272455975,0.656142181442337,2.16300451536878,0.474121768556874,0.65804407735923,2.77133997258143,3.86747615716466,2.35338995825222,1.03217698707801,0.150128483154589,0.208064811902944,0.261339203038781,0.125064036199214,2.16861223935475,1.38685119978409,0.167807586796047,2.63245710470607,0.504543545537049,5.24019206324081,1.40371584624099,4.55089659508714,0.888959874439061,0.520674564192104,0.468844250455023,0.269812471763808,B Cell
B Cell (naive),6.49776057178721,0.658919493842569,1.12736498886656,0.170949045201551,2.4317964306443,0.119921651545048,1.55796713512746,5.36486402139758,1.17245365894863,1.21642507135419,6.8978929809536,1.52901072364159,1.15673142563656,0.458280360462487,0.686133678434027,0.196769803132542,6.7649881197194,0.435446145572482,0.243178617526979,0.671103937204057,0.302552138692382,0.277081502204225,0.236170896684397,4.32528898853479,3.20063709561618,2.70923724322343,1.27929291664508,0.132979163886817,0.0949260117607859,0.15655211170974,0.108164033489324,2.06158407241217,3.46459295495337,0.307202405893204,0.526920629779919,0.263699554000801,4.46647308373982,0.82167497061555,4.23494261372278,5.11713659069881,0.635983838155726,0.745558035308972,0.405756315155009,B Cell
B Cell (Plasmablast),5.53078098474038,1.34272678586844,3.0647920984256,0.646096216666505,1.21553694498073,0.189176012457742,2.05660236219519,0.858339136945625,0.692845111812036,0.881747025271886,5.5339147427183,0.64571002525976,0.699869025223092,0.246507295931961,0.711054671010797,0.176903798443191,6.44439565836854,0.332795080708538,0.416615456749924,0.397850617849069,4.46259055874426,0.284993575343264,1.16500211367477,0.114982449544596,4.24141348599478,1.35582954408438,5.20335940554093,1.38904103141521,0.715994174157413,0.357454000907148,0.148751172651708,1.6999281877342,0.240277183337679,0.121098982398372,2.86450820876494,0.330446621666479,0.371369680158866,0.328268209400134,2.46401257843706,0.294309561724235,0.653287830318377,0.408003687774352,0.558267144498195,B Cell
B Cell (transitional),6.50882778359916,0.643916855566262,1.03833316846438,0.166100322080684,2.32283021473992,0.116551245852533,1.27821228466538,4.77101032348264,1.03402249929179,1.36132403912955,6.74020209681493,1.54268598518497,1.0618062150567,0.413390685251051,0.821875777729573,0.179910480601902,6.67780621747422,0.443341162353008,0.253311661116032,0.441921442931142,0.209925523091658,0.25808215353558,0.186910117201354,4.48996809413761,1.14335960020844,2.56464038640949,4.39822570014256,0.490644213010138,0.227607457645155,0.274278719264162,0.121450305113656,1.81188261143845,2.67633900329036,0.219633098267749,0.461737542348061,0.312038509714771,5.19569201419878,1.261566601324,4.60481386140927,5.49914262123486,0.736922809839791,0.768233432096784,0.325047727747059,B Cell
Basophil,5.80642715836858,0.797376083097344,0.795804650159945,0.731640259078449,0.383203572165135,0.169472496753769,1.32743983901113,0.774222378754841,0.64331699965456,5.91927697331457,2.79684892365834,0.430267103001221,0.276449827877424,1.50839125647021,0.499724340399892,3.48771484993074,1.79000851111181,0.111901573127801,0.151945975180437,1.53946891481052,0.212121202548037,0.122946138560425,0.113754953133947,0.0956975885856066,1.93388969652563,0.371793478969771,5.68955897272943,1.17281073637094,0.484081959987903,0.390592263543112,0.181057380529666,4.7134583964226,0.49377891291932,0.224127931129944,0.429846728971631,0.270846920136112,0.0611359696665958,0.21624613099235,0.111126708685661,0.0932356624078482,0.172405324805444,2.67492115739072,0.548574288212872,Basophil
CD4-CD8- T Cell,6.65748535706248,3.90330572729853,1.03296793241833,0.50971150923395,1.08467526207302,0.220050012489151,1.33591827572063,2.06134590108333,1.14667250626298,0.486059720124425,4.53279020956568,1.09754318381619,1.60252229237974,0.260743476004485,0.954006286031909,0.380281431165748,6.71340612308358,1.02546076437338,0.409445031867428,0.604700396777256,1.88102700463284,2.29226430031168,0.993208040486865,0.159949679696969,0.29375863376899,2.18939134898286,0.384075090781832,0.191427447629092,0.592649066016949,0.219612179717994,0.154373282712186,2.10567765391394,0.366608257988534,0.308342724066061,0.197519405805551,5.50579014395984,0.392959761497945,0.32117333076213,0.298767067823414,0.142891196994023,0.697308012899253,2.00825655037641,0.329253996013387,CD4+ T Cell
